"","Overall","importance","pvalue"
"ZNF85",67.3184498892834,0.000136580019928571,0.00236826524570755
"PPP1R14B",36.7493792035113,-1.77890925324675e-05,0.895204262877442
"GAL3ST2",40.2720789093737,0,0.705743043220841
"STIP1",40.2720789093737,0,0.705743043220841
"BCAR3",41.6955605412351,7.18836363636344e-06,0.180580224985198
"CARD9",39.8585559271135,-2.0882275555556e-06,0.744819419775015
"PPARGC1B",40.2720789093737,0,0.705743043220841
"PAK1",48.5163956253595,4.16325333333334e-05,0.0485494375370041
"TNFRSF21",54.2572566733915,7.06230000000001e-05,0.0177619893428064
"ACAA2",34.0519107103704,-3.1410894171717e-05,0.938425103611604
"ZNF439",52.5414963343628,6.19586737777775e-05,0.0272350503256364
"CD180",49.5136795430878,4.66686639646465e-05,0.0361160449970397
"SPRY4",44.8474036884058,2.31046875000001e-05,0.0864416814683244
"SLC13A3",40.2720789093737,0,0.705743043220841
"ZNF521",44.8475264754181,2.31053075555556e-05,0.0864416814683244
"AKR7A3",40.7429205983902,2.37767822222223e-06,0.251036116044997
"RFX5",40.2720789093737,0,0.705743043220841
"CHD6",40.2720789093737,0,0.705743043220841
"DUSP6",40.9962876369207,3.6571428571428e-06,0.228537596210776
"CMBL",43.5581590369761,1.65942000000001e-05,0.113084665482534
"CHKA",42.1658538707417,9.56327272727275e-06,0.161634103019538
"DDAH2",58.4099492782616,9.15934599242423e-05,0.0118413262285376
"IFNGR2",40.2720789093737,0,0.705743043220841
"ELL2",40.2720789093737,0,0.705743043220841
"ENTPD5",40.2720789093737,0,0.705743043220841
"FAM110D",49.6669388641645,4.74426000000001e-05,0.0343398460627591
"RTN4RL2",45.64800476733,2.71475999999999e-05,0.0722320899940794
"DST",51.4445294305329,5.64191593749999e-05,0.029603315571344
"KDELC2",84.1615572172483,0.000221635125333333,0
"ATXN1",40.8148196865291,2.74075757575742e-06,0.245707519242155
"UBR1",45.624255247371,2.70276685714286e-05,0.0728241563055062
"INHBB",41.7957831109522,7.6944722222223e-06,0.17643576080521
"PRR18",40.2720789093737,0,0.705743043220841
"NPC1",65.9000269287506,0.000129417201805555,0.00236826524570755
"PLCB2",58.6111360174055,9.26094220606062e-05,0.0112492599171107
"TMEM2",42.587731011442,1.16936874999998e-05,0.143280047365305
"KIAA1257",35.6898165706358,-2.31397211111115e-05,0.914150384843102
"ZNF98",68.5990471207439,0.000143046839285714,0.0017761989342806
"TRAK1",41.8682488209825,8.06041292929272e-06,0.17465956187093
