"","Overall","importance","pvalue"
"SPG11",62.2788265064838,0.000186804244642857,0
"EMC4",75.6306659979228,0.00026185548907231,0
"PNPLA3",61.0462676653367,0.000179875980195106,0
"VPS18",29.0457960650579,0,0.736206896551724
"KNSTRN",52.2953252547438,0.000130686569382716,0.00344827586206897
"FGFR3",84.2362034219803,0.000310227572415124,0
"CDAN1",36.1867895438007,4.01398209876544e-05,0.0350574712643679
"VPS39",29.0457960650579,0,0.736206896551724
"USP6NL",52.1465150132095,0.000129850100833333,0.00344827586206897
"SWSAP1",100,0.000398836527823232,0
"MRPL35",30.7552459630688,9.608888888889e-06,0.135632183908046
"EIF2AK4",33.4321528923078,2.46558939393939e-05,0.0683908045977012
"ZNF397",29.0457960650579,0,0.736206896551724
"KIF5B",31.4789532794538,1.36768777777776e-05,0.111494252873563
"SPATA5L1",29.0457960650579,0,0.736206896551724
"TDP1",30.6561010317036,9.05159111111109e-06,0.140804597701149
"CHRAC1",29.1206820976435,4.20937500000163e-07,0.253448275862069
"HAUS8",29.0457960650579,0,0.736206896551724
"GMCL1",23.8843940177488,-2.90124553174607e-05,0.938505747126437
"HAUS2",29.0457960650579,0,0.736206896551724
"CEP76",30.6944189599911,9.26697777777785e-06,0.138505747126437
"NSMCE2",29.0457960650579,0,0.736206896551724
"TUBGCP4",29.0457960650579,0,0.736206896551724
"CPSF2",29.5464029583459,2.81393214285708e-06,0.219540229885058
"MFAP1",29.0457960650579,0,0.736206896551724
"USP39",30.3753247701755,7.47333608134904e-06,0.154597701149425
"CYP51A1",31.7163655378307,1.50113819444446e-05,0.104597701149425
"RMDN3",29.0805859797261,1.95555555555726e-07,0.256896551724138
"ZNF396",28.1225654112123,-5.18951785714283e-06,0.816091954022989
"CCNA2",29.4711414361218,2.3908840000002e-06,0.224137931034483
"PADI3",37.0773554406664,4.51457288888888e-05,0.0304597701149425
"UPF2",29.0457960650579,0,0.736206896551724
"ZC3H14",22.8706205665072,-3.4710918e-05,0.955172413793103
"PLK4",41.4484344740463,6.97157457142858e-05,0.014367816091954
"ZNF14",52.5203942479682,0.00013195169154321,0.00344827586206897
"ZNF236",39.7078163980207,5.99316592020203e-05,0.0160919540229885
"LEO1",29.0457960650579,0,0.736206896551724
"RPS27L",41.1802514863733,6.82082780000002e-05,0.014367816091954
"FRYL",30.0948325160749,5.8966774691358e-06,0.176436781609195
"RPAP1",29.0457960650579,0,0.736206896551724
"SKA1",29.0457960650579,0,0.736206896551724
"STAM",35.5575835178157,3.66030277777778e-05,0.0402298850574713
"C18orf8",28.2795000348999,-4.3073818181818e-06,0.800574712643678
"CCDC117",29.0457960650579,0,0.736206896551724
"TRAPPC8",31.5338552392299,1.39854839743587e-05,0.108620689655172
"NDUFV2",22.4993683263864,-3.6797742263889e-05,0.960919540229885
"LRRC57",27.3296418605746,-9.6465740740741e-06,0.864942528735632
"RNASEH2A",41.038213219233,6.74098750000001e-05,0.014367816091954
"KIAA1328",20.9809627746104,-4.53327629464286e-05,0.970114942528736
"GATAD2A",29.642235548148,3.35261111111107e-06,0.211494252873563
"PITPNM3",65.5532301700165,0.000205209803657407,0
"CABLES1",29.0457960650579,0,0.736206896551724
"NDUFAF3",67.9640779851184,0.000218761279375,0
"ZNF16",22.241512207058,-3.8247162222222e-05,0.961494252873563
"CTDSPL2",29.0457960650579,0,0.736206896551724
"AQR",29.0457960650579,0,0.736206896551724
"G3BP2",51.0850567640161,0.000123883599920635,0.00402298850574712
"ZSWIM4",40.1741863685639,6.25531441798941e-05,0.0155172413793103
"NDC80",31.379395613192,1.311726e-05,0.113793103448276
"ID2",35.7508262732095,3.76892533333335e-05,0.039080459770115
"RNF125",44.0663490862254,8.44311525000001e-05,0.00919540229885063
"CENPA",26.1174591941025,-1.6460303197531e-05,0.905172413793103
"ZNF24",35.2781888155076,3.50325385497834e-05,0.0442528735632184
"ZNF106",29.0457960650579,0,0.736206896551724
"INO80",47.3325791109936,0.000102790767151515,0.0051724137931034
"IER3IP1",15.4493337444834,-7.64262795138888e-05,0.989655172413793
"C2orf68",43.4233937913412,8.08170740784835e-05,0.00977011494252877
"CPSF3",29.0457960650579,0,0.736206896551724
"ZNF43",43.008190803043,7.84832008333332e-05,0.0103448275862069
"BMP2K",28.6501042731014,-2.22420000000012e-06,0.773563218390805
"TRAPPC12",30.1545002001547,6.2320720000002e-06,0.171264367816092
"FARSA",23.4411169063117,-3.15041343750002e-05,0.944252873563218
"KLHL26",39.2756345751146,5.75023472222222e-05,0.0183908045977011
"TPX2",29.0457960650579,0,0.736206896551724
"COPS2",29.0457960650579,0,0.736206896551724
"RPS9",24.6964241876398,-2.4448e-05,0.929885057471264
"RGS2",47.2647724354203,0.000102409623011364,0.0051724137931034
"SQLE",35.4503853076543,3.60004621853456e-05,0.0413793103448276
"ARHGAP11A",27.4105786532953,-9.19162499999993e-06,0.860919540229885
"YTHDC1",29.0457960650579,0,0.736206896551724
"DBF4",31.8322856188624,1.56629735353537e-05,0.100574712643678
"AK5",30.3241277591416,7.18555555555556e-06,0.158620689655172
"ATG4D",29.0457960650579,0,0.736206896551724
"AEN",29.0457960650579,0,0.736206896551724
"USE1",29.5372657345928,2.7625714285715e-06,0.219540229885058
"TNFRSF10C",35.7358966557376,3.76053333333335e-05,0.039080459770115
"ZFYVE19",29.0457960650579,0,0.736206896551724
"KATNBL1",29.0457960650579,0,0.736206896551724
"SMAD4",25.383793438154,-2.05842688888889e-05,0.917241379310345
"NOP10",29.0457960650579,0,0.736206896551724
"TPRKB",30.2920063890646,7.00500000000015e-06,0.160344827586207
"ACAA2",42.463829553499,7.54233236363637e-05,0.0109195402298851
"GABPB1",29.0457960650579,0,0.736206896551724
"BUB1B",29.0457960650579,0,0.736206896551724
"RNF138",33.5158361932013,2.51262812499999e-05,0.0672413793103448
"OTUB2",29.0457960650579,0,0.736206896551724
"NCOA6",44.3458970330331,8.60025031216931e-05,0.00862068965517238
"MASTL",36.70080849357,4.30291428571428e-05,0.0327586206896552
"EPC1",30.2408549639026,6.71747571428583e-06,0.164367816091954
"TMEM60",52.3935058217855,0.000131238446428571,0.00344827586206897
"MAN1A2",40.8453829869467,6.63259682539681e-05,0.014367816091954
"TMEM5",44.9867453070549,8.96047378914144e-05,0.00747126436781609
"TUBG1",37.8951154853721,4.9742392070707e-05,0.024712643678161
"TYRO3",24.8831816454746,-2.33982285714285e-05,0.927011494252874
