"","Overall","importance","pvalue"
"ELL2",37.6743976163761,-1.38083682539758e-07,0.71042026482441
"GOLPH3L",56.0772055620089,4.04296833333333e-05,0.0120898100172712
"BCAR3",37.7370366935826,0,0.705814622913069
"TMEM108",40.1882378337243,5.40351000000006e-06,0.176165803108808
"RBX1",37.7370366935826,0,0.705814622913069
"DDAH2",37.7370366935826,0,0.705814622913069
"ATP6V0A1",38.2708499986648,1.17675595238098e-06,0.251007484168106
"FAM161B",37.7370366935826,0,0.705814622913069
"ACOT4",39.3565003515208,3.57000000000007e-06,0.202648244099021
"RFX5",37.4788998775178,-5.69045454545503e-07,0.728842832469776
"GAL3ST2",38.8297588340205,2.40883333333319e-06,0.223949337938975
"TMEM2",34.8112271092484,-6.44975277146487e-06,0.838226827864134
"CALHM2",38.746378157133,2.22502617283937e-06,0.228554979850317
"FBXO7",38.906815666895,2.57869999999993e-06,0.222222222222222
"CNN3",65.3657544432471,6.09056720000001e-05,0.00460564191134138
"ACAA2",38.0983288037632,7.96444444444377e-07,0.264248704663212
"KIAA1257",37.7370366935826,0,0.705814622913069
"TNFRSF21",37.7370366935826,0,0.705814622913069
"AKR7A3",28.8043957224979,-1.96914133333335e-05,0.938975244674727
"NPC1",40.7612452051385,6.6666666666666e-06,0.159470351180196
"HMGCS1",35.7619261146855,-4.35399999999997e-06,0.813471502590674
"C14orf28",37.5265517811783,-4.6400000000002e-07,0.725388601036269
"DYNLRB1",44.3321172077645,1.45384166666667e-05,0.0880829015544041
"MCAM",52.1559902982798,3.17856248989901e-05,0.0259067357512953
"CTNNA1",37.7370366935826,0,0.705814622913069
"ACTR3B",37.7370366935826,0,0.705814622913069
"CHD6",37.7370366935826,0,0.705814622913069
"PPP1R14B",30.3240786628072,-1.63413732936506e-05,0.919401266551526
"CTC1",98.8551078685726,0.000134730725833333,0
"LMNTD2",39.5251654089151,3.94181090909096e-06,0.196891191709845
"C2CD4A",38.6997443298482,2.12222500000014e-06,0.23028209556707
"SPAG4",46.5422012274882,1.94103999999999e-05,0.0621761658031088
"CACNG4",61.6435007440347,5.27002111111112e-05,0.00633275762809438
"GNAS",100,0.000137254564444445,0
"CTNNAL1",48.8147326328019,2.44200444444445e-05,0.0454807138744963
"ITPRIPL1",2.35181398364751,-7.80043716666667e-05,0.999424294761082
"LYSMD2",38.9305898340639,2.63110857142856e-06,0.219919401266552
"ISG20L2",37.8589727807686,2.68799999999958e-07,0.284974093264249
"CMBL",36.5556570256317,-2.60427296031729e-06,0.778929188255613
"EPB41L1",31.347766169481,-1.40847222222222e-05,0.91076568796776
"LAMB1",26.2502507206365,-2.53218562345678e-05,0.959124928036845
"RALGPS2",44.5964079531454,1.51210280493828e-05,0.0846286701208981
"DYNC1H1",37.7370366935826,0,0.705814622913069
"TRAK1",37.7370366935826,0,0.705814622913069
"SETD3",43.5345723342553,1.2780282e-05,0.09902130109384
"P2RX5",38.0283550337934,6.42191919191681e-07,0.269430051813471
"GATA6",97.3384279853169,0.000131387305833334,0
"PPARG",70.7597730240353,7.27964274603175e-05,0.00172711571675299
"STIP1",37.7370366935826,0,0.705814622913069
"ACTR10",39.3058751010373,3.45839999999997e-06,0.203799654576857
"MMP15",33.2852443797211,-9.81368027777774e-06,0.8762233736327
"PYCR2",40.1019677496193,5.21333333333329e-06,0.179044329303397
"HIST1H2AJ",30.0855812450111,-1.68671250000001e-05,0.924582613701785
