"","Overall","importance","pvalue"
"BCAR3",57.8474645507455,6.38396432451498e-05,0.00523255813953494
"ELL2",78.8355837484054,0.000130600915277778,0
"KIAA1257",39.2772122425751,4.7693828571429e-06,0.190697674418605
"C14orf28",47.883957021479,3.21466444444445e-05,0.0366279069767442
"ATXN1",37.7778343419253,0,0.708139534883721
"FAM161B",37.9631194986562,5.89374999999892e-07,0.276744186046512
"MRPL24",39.4895864765759,5.4449257142859e-06,0.184302325581395
"CNN3",37.7778343419253,0,0.708139534883721
"BOLA1",54.1511956828613,5.20821527777779e-05,0.0110465116279069
"LANCL2",45.8181042153734,2.55753571428572e-05,0.0517441860465117
"CDK17",35.8564576126099,-6.11172222222223e-06,0.825
"CSNK1G3",33.4251476416765,-1.38454950694444e-05,0.88953488372093
"GOLPH3L",37.7778343419253,0,0.708139534883721
"ACAA2",44.5668390436266,2.1595198e-05,0.0656976744186046
"CHD6",50.0805620468594,3.91338425000001e-05,0.0267441860465116
"UBR1",47.1785940916038,2.99029499999999e-05,0.0401162790697674
"CTNNAL1",37.1244372202135,-2.07839599999993e-06,0.759302325581395
"HSP90B1",33.6059794644102,-1.32702857142857e-05,0.884883720930233
"HDAC10",22.8793284632473,-4.73907735361552e-05,0.984302325581395
"CCDC183",42.909133305182,1.63221888888889e-05,0.0936046511627907
"C2CD4A",57.4756041339687,6.26567895454544e-05,0.0058139534883721
"INHBA",90.3381348051523,0.000167189469637346,0
"TYMS",37.657079505782,-3.8411000000016e-07,0.718604651162791
"TMEM2",66.8852960848354,9.25881520538721e-05,0.000581395348837166
"PIGU",44.8965640291346,2.26440227777778e-05,0.0616279069767441
"SHISA2",44.7242094490904,2.209577875e-05,0.0651162790697675
"GAL3ST2",63.9663959965904,8.33033999999999e-05,0.00116279069767444
"LYSMD2",42.5216076642636,1.50895055555555e-05,0.103488372093023
"SPIN4",37.7778343419253,0,0.708139534883721
"RFX5",39.5194755182379,5.53999999999988e-06,0.183139534883721
"NCOA3",37.7778343419253,0,0.708139534883721
"GLT8D1",44.9643430161371,2.28596214861112e-05,0.061046511627907
"TPRG1",43.4914411951437,1.81744565972224e-05,0.0813953488372093
"SALL4",57.8847299928498,6.39581811805556e-05,0.00523255813953494
"CALHM2",37.7778343419253,0,0.708139534883721
"PRSS23",37.7778343419253,0,0.708139534883721
"RAB8B",67.3667096994734,9.41194843749999e-05,0.000581395348837166
"PTP4A3",37.7778343419253,0,0.708139534883721
"PYCR2",43.8776284273223,1.94028825757577e-05,0.0755813953488372
"SLC37A3",47.9534871376898,3.23678133333332e-05,0.0366279069767442
"JTB",38.9127304875009,3.60999999999989e-06,0.208720930232558
"LAMB1",47.5368618374303,3.10425666666667e-05,0.0383720930232558
"MAP4K5",39.555943095215,5.65600000000011e-06,0.182558139534884
"MCAM",40.1194352742358,7.44841666666662e-06,0.161046511627907
"NIPBL",41.9592926474498,1.33008333333333e-05,0.11453488372093
"IL1RAP",37.7778343419253,0,0.708139534883721
"PRR18",37.7778343419253,0,0.708139534883721
"APH1A",37.7778343419253,0,0.708139534883721
"NRM",50.180299909299,3.94510994444444e-05,0.0255813953488372
"SLX4",44.0905978304792,2.00803186111111e-05,0.0715116279069767
"NPC1",38.3009750946253,1.66406250000017e-06,0.255232558139535
"PTPN12",44.3621182402452,2.09439999999999e-05,0.0686046511627907
"ACTR8",61.8401262880434,7.65399321022728e-05,0.00232558139534889
"RRNAD1",35.9019547572578,-5.96700000000006e-06,0.823255813953488
"KDELC2",33.348525756286,-1.40892222222222e-05,0.892441860465116
"RBBP9",46.8984282637624,2.90117683333335e-05,0.0424418604651163
"FBLN1",43.698401353139,1.88327777777777e-05,0.0773255813953488
"UBE2B",37.7778343419253,0,0.708139534883721
"FBXO7",37.3811434084353,-1.26183728395057e-06,0.736627906976744
"KDM3B",32.7577739999646,-1.5968349090909e-05,0.905232558139535
"TRIM24",44.3535253054403,2.09166666666667e-05,0.0686046511627907
"AKR7A3",36.5831855824442,-3.80006755555562e-06,0.79593023255814
"FST",48.7791801472561,3.49942666666667e-05,0.0296511627906977
"CTC1",37.7778343419253,0,0.708139534883721
"CARD9",37.7778343419253,0,0.708139534883721
"CMBL",41.7920622597322,1.27688888888888e-05,0.117441860465116
"FN1",48.8128138896054,3.51012524999998e-05,0.0296511627906977
"RPL18A",57.6976369795684,6.33630555555556e-05,0.0058139534883721
"BEND6",37.7778343419253,0,0.708139534883721
"CHODL",37.7778343419253,0,0.708139534883721
"RPS12",37.7778343419253,0,0.708139534883721
"ZSWIM6",37.7778343419253,0,0.708139534883721
"NUDT4",37.7778343419253,0,0.708139534883721
"P2RX5",48.9323033126677,3.54813373376623e-05,0.0296511627906977
"SULT1E1",41.9900334974576,1.33986171428573e-05,0.11453488372093
"HHIP",76.7561260460326,0.000123986352055556,0
"HS3ST3B1",31.5317966513364,-1.986807e-05,0.927325581395349
"APC",64.5303433799287,8.50972646296297e-05,0.000581395348837166
"C1orf43",37.7778343419253,0,0.708139534883721
"ISG20L2",37.7778343419253,0,0.708139534883721
"CHKA",37.7778343419253,0,0.708139534883721
"ACTR10",36.4479881711276,-4.23011805555551e-06,0.801744186046512
"PAK1",37.7778343419253,0,0.708139534883721
"HMGCR",53.5203233096444,5.00754059259259e-05,0.0127906976744186
"SLC1A2",40.8847805091325,9.8829092929289e-06,0.143604651162791
"PRSS3",37.7778343419253,0,0.708139534883721
"TMEM108",42.5829989937512,1.52847857142857e-05,0.101162790697674
"MGAT2",42.9452609605618,1.64371076296297e-05,0.0924418604651163
"PSEN1",38.9368046772063,3.6865777777777e-06,0.205813953488372
"NPAT",47.6036358833271,3.12549687500001e-05,0.0383720930232558
"MIB1",50.8513883118958,4.15857697777777e-05,0.022093023255814
"MAP3K5",37.7778343419253,0,0.708139534883721
"DDAH2",37.7778343419253,0,0.708139534883721
"PPARGC1B",42.9594121354284,1.64821212121213e-05,0.0918604651162791
"TNFRSF21",37.7778343419253,0,0.708139534883721
"STK11",37.7778343419253,0,0.708139534883721
"TUB",39.1890628146193,4.48898765432104e-06,0.194186046511628
"CGRRF1",37.7778343419253,0,0.708139534883721
"TMOD2",37.7778343419253,0,0.708139534883721
"RPP25L",38.9202056421686,3.63377777777774e-06,0.207558139534884
"CACNG4",46.8326549616818,2.88025495238093e-05,0.0424418604651163
"ESCO1",37.7778343419253,0,0.708139534883721
"PRKAA1",49.2619324222176,3.65298571428572e-05,0.0290697674418605
"POU5F1",76.8487112735721,0.000124280857127866,0
"MAPK14",39.2045968535819,4.53839999999994e-06,0.193023255813954
"FOXH1",50.2274853560523,3.96011919999999e-05,0.025
"SC5D",37.003153985946,-2.46418678571425e-06,0.765697674418605
"MTMR2",31.6264668279799,-1.95669328968253e-05,0.925581395348837
"NDUFAF4",53.9077849609766,5.13078857142857e-05,0.0122093023255814
"GALNT1",40.9031563382619,9.94136111111121e-06,0.143023255813953
"STRN3",37.7778343419253,0,0.708139534883721
"DCST2",38.1291933550697,1.11764062500019e-06,0.266860465116279
"ZNF569",35.9755186625389,-5.73299999999999e-06,0.820348837209302
"MBD6",37.7778343419253,0,0.708139534883721
"ATP5S",37.8879943688992,3.50408888889042e-07,0.283139534883721
"ACTR3B",37.7778343419253,0,0.708139534883721
"CCDC84",50.2446731717972,3.96558648571428e-05,0.025
"ZNF571",37.5398323161054,-7.57062499999961e-07,0.726744186046512
"CHCHD6",100,0.000197922971984127,0
"RBX1",37.7778343419253,0,0.708139534883721
"IFNGR2",37.7778343419253,0,0.708139534883721
"FEM1C",42.4390277955441,1.48268266071427e-05,0.105232558139535
"CDC14A",29.8711494744607,-2.51504355555556e-05,0.94593023255814
"SYS1",35.9815756336576,-5.71373333333325e-06,0.818604651162791
"THEM5",53.6650676651031,5.05358243749998e-05,0.0127906976744186
"ADAMTS3",37.7778343419253,0,0.708139534883721
"ACOT4",46.531388127023,2.78442475e-05,0.0459302325581395
"ENTPD5",34.1771850748914,-1.14533333333333e-05,0.87093023255814
"CTNNA1",40.3432758199731,8.16043280423284e-06,0.155813953488372
"HMGCS1",48.4341699336579,3.38968209876545e-05,0.0337209302325582
