"","Overall","importance","pvalue"
"NPB",49.8167309078587,4.58024968888888e-05,0.0367607884922749
"RNF40",39.595247035081,6.90857142857215e-07,0.290889717634523
"APOL2",39.4387112677299,0,0.676611614278103
"WDR25",52.4975509074286,5.76340653333331e-05,0.0218433670751199
"CAMK2N2",39.6904644266131,1.11109090909101e-06,0.28023441662227
"MRPL28",42.6205869437278,1.40429345679012e-05,0.124134256792754
"WDR24",42.249989205859,1.24073333333334e-05,0.136387852956846
"APBA3",58.246455088751,8.30063593749999e-05,0.0101225359616409
"COL11A2",44.7214613353841,2.3314962962963e-05,0.0836441129461908
"CNPY3",48.2173745065508,3.87438750000002e-05,0.0500799147575919
"CCNI",39.4387112677299,0,0.676611614278103
"RING1",54.2986518315626,6.55830693181816e-05,0.0159829515183804
"THTPA",39.4387112677299,0,0.676611614278103
"RHOT2",39.1611317474524,-1.22507333333322e-06,0.723494938732019
"TXN2",79.9479542589448,0.000178784059041666,0
"MSRB3",39.4387112677299,0,0.676611614278103
"C1orf74",39.7658200945,1.44366666666662e-06,0.267980820458178
"C16orf58",39.4387112677299,0,0.676611614278103
"UBE2M",39.4387112677299,0,0.676611614278103
"IL17B",44.5956411008497,2.27596661818184e-05,0.0868407032498668
"EMB",39.4387112677299,0,0.676611614278103
"NUDT16L1",48.9757071441131,4.20907108585857e-05,0.0426212040490144
"MAP1LC3A",39.0459691991073,-1.73333333333336e-06,0.740543420351625
"PSME2",47.0677259507243,3.36699999999999e-05,0.0612679808204581
"NEDD8",38.6343602798478,-3.54993388888891e-06,0.772509323388386
"SCAND1",68.2893019413206,0.0001273296,0.00159829515183807
"PGS1",39.4387112677299,0,0.676611614278103
"MPI",57.7952716313847,8.10150999999999e-05,0.0106553010122536
"FGFBP3",39.4387112677299,0,0.676611614278103
"AARS2",41.0103077922078,6.93610606060591e-06,0.182205647309536
"RNF31",53.2996155070771,6.11739084444445e-05,0.0197123068726691
"DESI1",50.6477363867443,4.94700680808078e-05,0.0309003729355354
"NME3",39.4387112677299,0,0.676611614278103
"EFCAB13",42.0916140085712,1.17083580246915e-05,0.138518913159297
"CCNYL1",39.4387112677299,0,0.676611614278103
"BTN3A3",39.4387112677299,0,0.676611614278103
"MAFG",24.6308924728054,-6.53530343749997e-05,0.98401704848162
"ZNF688",47.696862239786,3.64466388888889e-05,0.056473095364944
"CCR10",39.4387112677299,0,0.676611614278103
"C7orf43",35.992408343168,-1.52099614814813e-05,0.885455514118274
"FAM3A",55.6989112384571,7.176299375e-05,0.0127863612147043
"CES2",38.5752668228322,-3.81073777777785e-06,0.774640383590836
"PLEKHG1",39.4387112677299,0,0.676611614278103
"MT1F",49.7536946225834,4.55242916666665e-05,0.0372935535428875
"RNF187",47.1040380390007,3.38302602777778e-05,0.0612679808204581
"RNF13",33.7627396378646,-2.50504125e-05,0.921150772509323
"FBXL8",41.306609917383,8.24381000000018e-06,0.171550346297283
"MANBAL",64.5971590019039,0.000111034644761905,0.00266382525306341
"WDR46",39.4387112677299,0,0.676611614278103
"SPNS1",39.4387112677299,0,0.676611614278103
"MUL1",39.7198994833996,1.24100000000005e-06,0.275439531166755
"AAR2",29.3196331953756,-4.46596805555555e-05,0.9621736814065
"ZNF33B",39.1107686193373,-1.44734666666646e-06,0.732551944592435
"GPR3",46.8196875153854,3.2575303703704e-05,0.0628662759722962
"KCNB1",39.4229512334378,-6.9555555555656e-08,0.681406499733618
"ATP6V1D",100,0.000267282037896825,0
"ZNF564",42.6655292466435,1.42412835555554e-05,0.122003196590304
"CCDC97",36.5612265116943,-1.26995314285714e-05,0.865210442194992
"BTG3",38.7522223005203,-3.02975999999999e-06,0.759722962173681
"ORAI2",39.4387112677299,0,0.676611614278103
"SPATA12",39.3773709987968,-2.70719999999836e-07,0.691529035695258
"OTUD5",43.7490983256245,1.90235224691357e-05,0.102290889717635
"THRA",47.5533372523045,3.58132037037038e-05,0.0580713905167821
"ZNF576",39.5857018203362,6.48730158730126e-07,0.293020777836974
"LMF1",39.4926599295255,2.38097777777835e-07,0.310602024507192
"BAK1",44.838723947588,2.38324914141412e-05,0.0820458177943527
"PPP2R1A",41.4407215152658,8.83569999999989e-06,0.16302610548748
"PARD3",39.4387112677299,0,0.676611614278103
"FASTK",36.5279157851496,-1.28465454545454e-05,0.866275972296217
"TMX4",39.4387112677299,0,0.676611614278103
"RAMP1",38.5992798929186,-3.70475815873039e-06,0.773574853489611
"NFATC2IP",40.5283149740553,4.80887222222215e-06,0.20671283963772
"SIX5",44.5471828816252,2.25457999999998e-05,0.0873734683004795
"BSG",39.4387112677299,0,0.676611614278103
"FGF11",43.7461990545612,1.90107267857142e-05,0.102823654768247
"SMAD6",40.7841435520257,5.9379496428571e-06,0.196057538625466
"ORAI3",43.4887713294326,1.78745916666665e-05,0.106020245071923
"DNPH1",41.6386530950814,9.70925400000011e-06,0.157698454981353
"RBM23",61.9103477508493,9.91766344444445e-05,0.00532765050612682
"NUBP2",39.4387112677299,0,0.676611614278103
"CHRD",39.9205224037676,2.12643200000007e-06,0.253596164091636
"RBM10",46.1081620499773,2.94350472727272e-05,0.0697922216302611
"MED20",37.9751229592598,-6.45942109090925e-06,0.811933937133724
"ZNF250",39.4387112677299,0,0.676611614278103
"DCXR",38.916675489024,-2.30395999999988e-06,0.74960042621204
"PKM",37.1526382346915,-1.00893866666665e-05,0.845498135322323
"MYLPF",37.0744317639189,-1.04345441975309e-05,0.848161960575386
"RAB26",41.0585806851878,7.14915432098762e-06,0.180074587107086
"ASPSCR1",39.051627847602,-1.70835937500002e-06,0.7394778902504
"ZNF57",39.0001807608184,-1.93541666666674e-06,0.743740010655301
"U2AF2",40.3158131921852,3.87101388888889e-06,0.224826851358551
"SKIV2L",67.6280912818005,0.000124411403636363,0.00213106020245069
"MEGF10",37.4640436955471,-8.71502545454539e-06,0.835908364411295
"RICTOR",40.4374075212983,4.40765999999981e-06,0.213106020245072
"SLC39A7",40.6710345847921,5.43875294642859e-06,0.19872136387853
"SRF",44.9495980938881,2.43218249206352e-05,0.0809802876931274
"CUTA",39.4387112677299,0,0.676611614278103
"PIN4",59.7627497304276,8.96983953333332e-05,0.00745871070857751
"MRPS34",39.4387112677299,0,0.676611614278103
"C3orf70",39.4387112677299,0,0.676611614278103
"MLYCD",39.0029940276427,-1.9230005555555e-06,0.743207245604688
"CDK2AP2",39.4387112677299,0,0.676611614278103
"MPG",39.4387112677299,0,0.676611614278103
