"","Overall","importance","pvalue"
"HIST1H2AM",36.8294544166191,8.47150000000019e-07,0.246615656268393
"LOXL4",42.1702196385816,2.420768e-05,0.0606238964096527
"HIST1H2AH",48.8996597669683,5.364228e-05,0.0194231901118305
"COX6B1",42.4589997749092,2.54708055555555e-05,0.0576809888169512
"MAL",36.6357760515398,0,0.696880517951736
"PSMD8",35.806004981266,-3.62942222222218e-06,0.824014125956445
"PLEKHO1",36.6357760515398,0,0.696880517951736
"C19orf33",32.2094652364699,-1.93607025e-05,0.917010005885815
"ZC3H10",36.6975043860395,2.69999999999992e-07,0.280164802825191
"MECR",64.3517907728716,0.000121229967330447,0.00176574455562095
"RP9",36.6357760515398,0,0.696880517951736
"ADORA2A",57.5031780541914,9.12741059090911e-05,0.00706297822248381
"TBCB",36.6357760515398,0,0.696880517951736
"EPHX3",36.9595804828753,1.41632197222208e-06,0.224838140082401
"HIST1H2BD",65.6964395076338,0.000127111466666667,0.0011771630370806
"MCRS1",44.0815483532145,3.25678399999998e-05,0.0453207769276045
"SPATA20",58.1033861659045,9.38994187654321e-05,0.00647439670394345
"FDX1",33.9212756854888,-1.187323625e-05,0.885815185403178
"MRPL44",42.8645172501143,2.72445407323234e-05,0.0535609181871689
"TBC1D9B",46.9977977332694,4.53235273030304e-05,0.0282519128899352
"HIST1H2AG",36.6357760515398,0,0.696880517951736
"GZMM",36.1282319678757,-2.22000000000011e-06,0.79693937610359
"NUDCD2",36.6357760515398,0,0.696880517951736
"CBX2",36.366412746998,-1.17819625000015e-06,0.765155974102413
"EIF3K",36.3770505013837,-1.13166666666675e-06,0.763390229546792
"FANCC",37.8910560271101,5.49060000000012e-06,0.154208357857563
"TREX2",45.3738307819394,3.8220288888889e-05,0.0335491465567981
"HHLA3",53.2712020029416,7.27634245e-05,0.0111830488522661
"ADRA1B",36.6357760515398,0,0.696880517951736
"EIF3I",30.3284248883271,-2.75883810549944e-05,0.947616244849912
"UNC50",37.5265397786759,3.8962043650792e-06,0.171865803413773
"ACAD8",36.5958510792792,-1.74632000000008e-07,0.712772218952325
"GM2A",37.6092784731662,4.25810376984126e-06,0.167745732783991
"PRDX5",37.1086709795423,2.06844444444454e-06,0.206003531489111
"NDUFA2",36.6357760515398,0,0.696880517951736
"H1FX",37.9936993877686,5.93956250000005e-06,0.150088287227781
"ANKH",52.4078082677688,6.89869365972224e-05,0.012948793407887
"PPIC",36.2841668857603,-1.53794000000018e-06,0.77751618599176
"TM2D3",66.8708759638019,0.000132248456765873,0.0011771630370806
"DNAJC14",36.6357760515398,0,0.696880517951736
"TXLNA",41.724934295847,2.22599999999999e-05,0.0718069452619188
"PTP4A2",30.5622220855324,-2.6565751111111e-05,0.94526191877575
"LIN37",36.6357760515398,0,0.696880517951736
"MCM7",37.8809607136391,5.44644305555542e-06,0.155974102413184
"HIST1H2AD",52.2676806458879,6.83740177777778e-05,0.012948793407887
"ZNF565",36.6357760515398,0,0.696880517951736
"HIST1H2AI",36.6357760515398,0,0.696880517951736
"HIST1H1B",35.8134864118601,-3.59669841269827e-06,0.823425544437905
"ZCCHC4",36.6357760515398,0,0.696880517951736
"TCF3",36.6357760515398,0,0.696880517951736
"SLC27A6",36.6659543484063,1.32000000000021e-07,0.291936433195998
"STS",41.771713704303,2.24646133333335e-05,0.0694526191877575
"DYNC1I1",37.4659952237973,3.63138222222226e-06,0.175985874043555
"AES",37.0860811341223,1.96963636363634e-06,0.209535020600353
"TUBA1A",36.6357760515398,0,0.696880517951736
"MEF2A",61.6722668009247,0.000109509717978355,0.00235432607416131
"INPP5A",41.7557101313051,2.23946136363635e-05,0.0694526191877575
"P2RY4",38.630113612346,8.72324104938271e-06,0.13007651559741
"SIPA1L3",36.6357760515398,0,0.696880517951736
"SIAE",39.081957483494,1.06996080808082e-05,0.118304885226604
"CS",26.8148051771233,-4.295696875e-05,0.969982342554444
"SPINT2",56.3498879399,8.622961e-05,0.00765155974102416
"HIST1H2BF",39.6947706624942,1.33800555555554e-05,0.105944673337257
"KRT23",65.3201557737751,0.0001254656,0.00176574455562095
"HIST1H2AE",36.6357760515398,0,0.696880517951736
"HIST1H2BL",61.9568775442232,0.000110754606590909,0.00235432607416131
"POLR2I",37.8520528646447,5.31999999999999e-06,0.156562683931725
"DCAF4L1",36.6357760515398,0,0.696880517951736
"NDFIP1",36.6357760515398,0,0.696880517951736
"BSDC1",36.5112293058778,-5.4476800000014e-07,0.739258387286639
"BARX1",34.5122705395371,-9.28822222222214e-06,0.873454973513832
"GNG12",36.322525218929,-1.37016048611094e-06,0.773984696880518
"PA2G4",36.6357760515398,0,0.696880517951736
"CA6",36.6357760515398,0,0.696880517951736
"SNX19",35.8656960267012,-3.3683333333332e-06,0.819894055326663
"DAP",36.6357760515398,0,0.696880517951736
"STK32C",36.693693995021,2.53333333333217e-07,0.281341965862272
"SNRPA",36.6357760515398,0,0.696880517951736
"ATRIP",63.428711251263,0.000117192413541667,0.00176574455562095
"TMPO",39.4060382830674,1.21171388888888e-05,0.113007651559741
