"","Overall","importance","pvalue"
"ZNF444",37.9786703284477,0,0.6921454928835
"STRIP1",61.3699442888878,6.8106935063492e-05,0.00685292567211382
"CELSR2",35.0660715130145,-8.48043500000006e-06,0.850817079599367
"DESI1",35.4672151088042,-7.31244984127e-06,0.840801265155509
"ZNF576",37.9786703284477,0,0.6921454928835
"NFATC2IP",37.9786703284477,0,0.6921454928835
"CCDC97",49.578993818362,3.37759490987652e-05,0.0347917764891935
"NCAPH2",37.9786703284477,0,0.6921454928835
"FAM219B",57.214679474745,5.60083058333332e-05,0.011070110701107
"SRRM2",47.5239037222874,2.77922695454544e-05,0.0506062203479177
"SPNS1",35.169637290716,-8.17888888888874e-06,0.847127042698998
"PRPF31",47.6048351900988,2.80279127272727e-05,0.0495519240906694
"CYP2D6",38.6911557425351,2.0745000000002e-06,0.240906694781233
"STK25",56.4608464948519,5.38134166666666e-05,0.0131787032156035
"CCDC134",65.4011746302226,7.98444207407409e-05,0.00316288877174487
"MYPOP",51.5129645282569,3.94069727777777e-05,0.0305745914602004
"CCR10",58.0784467349683,5.85232838888887e-05,0.0105429625724829
"ZNF57",37.9786703284477,0,0.6921454928835
"CATSPER3",37.9786703284477,0,0.6921454928835
"RSRP1",58.2697917660673,5.9080411458333e-05,0.0100158144438587
"UBE2M",37.9786703284477,0,0.6921454928835
"TRIM28",43.5493542878086,1.62198181818181e-05,0.0927780706378493
"SCAF1",37.9786703284477,0,0.6921454928835
"CAPN15",52.0295154040422,4.09109822222224e-05,0.0289931470743279
"AAMP",38.2653542642621,8.34720000000067e-07,0.26462836056932
"SH2B1",47.5351449714849,2.7825e-05,0.0506062203479177
"PHLDB3",37.9786703284477,0,0.6921454928835
"RAB7A",50.4810036005239,3.64022755555555e-05,0.033210332103321
"CIPC",37.9786703284477,0,0.6921454928835
"PALM3",48.9635544657565,3.19840121527779e-05,0.0390089615181866
"GYG1",27.809287191582,-2.96095679999999e-05,0.955192409066948
"PPP2R1A",39.4330633067662,4.23466666666661e-06,0.20611491829204
"ZNF224",36.9200064961685,-3.08244642857169e-06,0.774907749077491
"MED25",37.9786703284477,0,0.6921454928835
"NHLRC1",58.1719542802972,5.87955440628509e-05,0.0105429625724829
"BOK",37.9786703284477,0,0.6921454928835
"CNOT3",33.0356804144307,-1.43922000000001e-05,0.894043226146547
"RAD9A",27.3323511611897,-3.09982333333334e-05,0.959936742224565
"BIN3",37.9786703284477,0,0.6921454928835
