"","Overall","importance","pvalue"
"NME3",41.3764975464734,6.95398412698389e-06,0.157215047725997
"SART1",52.2555950551655,4.33566666666667e-05,0.0230207748455924
"FGD1",74.789211461691,0.000118756678833333,0.00112296462661421
"APOOL",52.9653943937161,4.57317349999997e-05,0.021336327905671
"FIBP",53.0965761961665,4.61706840493825e-05,0.0207748455923639
"VOPP1",93.1872157670808,0.000180318468270162,0
"MED19",62.0334892243081,7.60745991111114e-05,0.00449185850645706
"TBX1",83.6099468971459,0.000148271850617284,0
"UXT",34.5304487084036,-1.59536644444445e-05,0.902863559797866
"DACT2",57.1050882613768,5.95836157792207e-05,0.0078607523862998
"DNPEP",54.9199063155487,5.22717514814817e-05,0.0162829870859068
"SLC44A4",47.0672161705242,2.5995768e-05,0.0561482313307131
"ANKRD52",39.2982696216801,0,0.708590679393599
"PDCL",95.5455951253446,0.000188209870568783,0
"RAB14",96.4641695598889,0.000191283523829365,0
"EREG",39.2982696216801,0,0.708590679393599
"CYP4B1",33.6822079467962,-1.87919733333335e-05,0.912970241437395
"ARL14",68.4614070584046,9.75831343658811e-05,0.00224592925322853
"PIGQ",42.1715808599733,9.61442222222209e-06,0.135317237507019
"TNS4",30.880785524638,-2.81658475e-05,0.95115103874228
"ADA",47.6309786380605,2.78821805555556e-05,0.0499719258843346
"ARHGEF25",73.7688955804906,0.000115342587261504,0.00112296462661421
"SCEL",39.4761889858255,5.95338181818228e-07,0.266704098820887
"ZDHHC1",48.137937191726,2.95785208333332e-05,0.0477259966311061
"RAB38",49.9383753878195,3.56029893181817e-05,0.0325659741718136
"TMEM126B",39.2982696216801,0,0.708590679393599
"FAM76B",36.2642304004319,-1.0152236111111e-05,0.871420550252667
"MSTO1",39.2982696216801,0,0.708590679393599
"RABGAP1",61.8393949246432,7.54251377777777e-05,0.00449185850645706
"MERTK",63.1634865053771,7.98556969696969e-05,0.00336889387984274
"IDUA",39.2982696216801,0,0.708590679393599
"RGR",48.1686875388075,2.96814149494948e-05,0.0477259966311061
"LRRN2",39.2982696216801,0,0.708590679393599
"GALNT12",29.2900026529958,-3.34887857142856e-05,0.962380685008422
"GOLGA1",32.3592102632919,-2.32188722222224e-05,0.934306569343066
"MED31",50.6971567909748,3.81419571428572e-05,0.029758562605278
"PI4KB",34.3737985921098,-1.64778333333335e-05,0.905670971364402
"PSMB10",62.9314220163823,7.90791831168831e-05,0.00336889387984274
"FAM160B2",31.9248514194521,-2.46722857142856e-05,0.93935991016283
"PRKCI",46.6549973459951,2.46164375e-05,0.0617630544637844
"UNC119",61.5709424257305,7.45268655555555e-05,0.00449185850645706
"ACYP1",39.2982696216801,0,0.708590679393599
"JMJD4",43.169528356751,1.29536666666665e-05,0.111173498034812
"SCAI",45.0134064715457,1.91234900000001e-05,0.085906793935991
"SLC4A3",38.7247421071225,-1.91908749999992e-06,0.769230769230769
"PSEN2",39.2982696216801,0,0.708590679393599
"CD27",63.8418434605157,8.21255555555556e-05,0.00280741156653563
"PEMT",64.679057519062,8.49269678571432e-05,0.00280741156653563
"UPK3B",59.1522679385828,6.64337089814813e-05,0.00505334081976416
"ZBTB43",41.2404787427349,6.49884992784977e-06,0.163952835485682
"TBKBP1",46.1942458148913,2.30747111111111e-05,0.0668163952835485
"MAP2K3",43.1461869318034,1.28755636363636e-05,0.111734980348119
"SULT1E1",47.690091101632,2.80799775e-05,0.0494104435710275
"CEP57",57.0067589543022,5.92545948703702e-05,0.00842223469960701
"CNTRL",39.1294593829707,-5.64858024691306e-07,0.731611454239191
"CYP27C1",72.1749827274423,0.000110009175777778,0.00112296462661421
"USF1",71.7657436355572,0.00010863981579798,0.00112296462661421
"FBXL3",35.1558804487378,-1.3860899573513e-05,0.894441325098259
"PLD1",58.1847311616246,6.31962222222222e-05,0.00673778775968559
"UROS",42.4743014642374,1.06273593749999e-05,0.126333520494104
"SETDB2",39.1480271694577,-5.02728124999852e-07,0.728242560359349
"SAMD13",39.6407085972964,1.14583928571421e-06,0.252105558674902
"CHPT1",50.0616701164522,3.60155473324515e-05,0.0325659741718136
"DGKQ",41.0824323947663,5.97000909090917e-06,0.171813587871982
"CDK5RAP2",39.5489336496804,8.38749999999999e-07,0.261089275687816
"SYNE2",41.09472421096,6.01113888888882e-06,0.171252105558675
"SDHC",39.2982696216801,0,0.708590679393599
"RPS3",39.2982696216801,0,0.708590679393599
"CUEDC2",39.2982696216801,0,0.708590679393599
"PDZD11",52.2215147091668,4.32426299999999e-05,0.0230207748455924
"POMGNT2",37.5654899216431,-5.79807555555556e-06,0.828186412128018
"ACOX3",40.0140277456336,2.3950070987655e-06,0.221785513756317
"WNT9A",39.2982696216801,0,0.708590679393599
"AGPAT4",39.2982696216801,0,0.708590679393599
"PBDC1",41.3632870142709,6.90978020202015e-06,0.158338012352611
"MTA2",39.2982696216801,0,0.708590679393599
"ADORA1",33.8576579897126,-1.82048977777778e-05,0.91184727681078
"ATF6",21.653244945383,-5.90422349999999e-05,0.991577765300393
"SPRY2",36.9669335271007,-7.80091250000003e-06,0.849522740033689
"ANKRD35",39.2982696216801,0,0.708590679393599
"SHPK",39.2982696216801,0,0.708590679393599
"EYA2",39.2982696216801,0,0.708590679393599
"EGF",44.0935180526048,1.60454399999999e-05,0.0960134755755194
"KCTD18",40.3693633639791,3.58400000000003e-06,0.201010668163953
"FUK",39.2982696216801,0,0.708590679393599
"GABARAP",43.1306621796467,1.28236160714286e-05,0.111734980348119
"WDR45",100,0.00020311480973545,0
"NAA38",39.6488720154431,1.17315500000004e-06,0.250982594048287
"TMEM126A",38.8217950348043,-1.59433750000004e-06,0.759685569904548
"SH3BGRL",43.8924070528998,1.53724999999998e-05,0.0988208871420551
"CRABP1",49.0685270382513,3.26923790123455e-05,0.0398652442448063
"RALGPS1",30.1686381196999,-3.05487727272726e-05,0.95508141493543
"GPR89A",39.9148006662362,2.06298214285727e-06,0.228523301516002
"GPR89B",31.1543576464257,-2.72504444444444e-05,0.946659180235823
"EEF1G",36.751679850627,-8.52117548540976e-06,0.856260527793374
"HSD17B10",48.9528432321622,3.23052879999999e-05,0.0404267265581134
"SEMA4G",39.2982696216801,0,0.708590679393599
"CHRD",39.2982696216801,0,0.708590679393599
"SLC41A1",83.5528169812193,0.0001480806875,0
"PEX19",36.9429439866686,-7.88118419753081e-06,0.850084222346996
"ZNF790",79.3081799897579,0.000133877655238095,0
"ACSL4",39.2982696216801,0,0.708590679393599
"B3GNT7",39.2982696216801,0,0.708590679393599
"MBNL2",57.5687546133172,6.11350954861112e-05,0.0078607523862998
"TMX2",38.533036632739,-2.56055555555568e-06,0.783267827063447
"SPNS1",39.4597443252615,5.40312499999862e-07,0.270634475014037
"DCTD",54.4744718688136,5.07812777777779e-05,0.0179674340258282
"SPTAN1",37.6178043634928,-5.62302555555561e-06,0.825379000561482
"SLC39A3",34.9281392135602,-1.46229473333332e-05,0.897248736664795
