"","Overall","importance","pvalue"
"PRDM13",78.2066130815448,0.000511080755634921,0
"SF3A2",10.7986376536321,-0.000103560908571429,0.99009900990099
"ASB6",32.6982994731311,9.61253229292931e-05,0.0110658124635993
"CLEC7A",24.4760370088073,2.11528133333334e-05,0.0751310425160163
"PRPF4",38.549643225755,0.000149479241944444,0.00291205591147348
"DEGS1",30.6328589777141,7.72921540740741e-05,0.0133954571927781
"BMP6",63.985722708788,0.000381411355690476,0
"PTGES2",23.1496919052244,9.05888888888895e-06,0.149097262667443
"PRRX2",34.7000959216755,0.0001143781705,0.00931857891671517
"IFNGR1",50.463295039975,0.000258110701818182,0
"MXRA5",100,0.000709797947765653,0
"RPL35",19.3111804009261,-2.59415555555556e-05,0.939429237041351
"HES6",37.2629378618344,0.000137746761904762,0.00465928945835759
"TPGS1",22.014672023002,-1.29048750000016e-06,0.768200349446709
"GTF3C5",23.8426728316572,1.53776508333334e-05,0.0972626674432149
"NCL",18.0412331848673,-3.75212308888893e-05,0.960978450786255
"PI3",36.2097284320512,0.000128143352329406,0.00582411182294695
"DAZAP1",34.534685372929,0.000112869918482143,0.00931857891671517
"SURF6",23.2604279489692,1.00686059999999e-05,0.139778683750728
"PON2",21.0255751759526,-1.03093035714286e-05,0.86488060570763
"MET",25.1527297231499,2.73230555555557e-05,0.0599883517763541
"GALR3",26.0193059751354,3.5224700224467e-05,0.040768782760629
"S100A9",23.0131360324787,7.81374054629635e-06,0.162492719860221
"TMEM133",32.081235330869,9.04987879545454e-05,0.0110658124635993
"AMN",21.7768918974574,-3.45862222222215e-06,0.791496796738497
"TMEM45A",21.7961158938167,-3.28333333333331e-06,0.789749563191613
"PLA2G6",23.2677102805211,1.0135008e-05,0.139196272568433
"C4orf33",37.075962075743,0.000136041873015873,0.00465928945835759
"RPRML",69.3370662308628,0.000430206155820105,0
"FOXI1",24.2363862142515,1.89676214141417e-05,0.0838672102504369
"LMBRD2",21.4562526562387,-6.38228571428567e-06,0.825859056493885
"DLG5",22.1562002576725,0,0.746068724519511
"ZFP36L2",21.1326660172009,-9.33282426807769e-06,0.853232382061736
"CPA4",78.251808795863,0.000511492860714286,0
"CLCF1",21.9133637495027,-2.21424000000003e-06,0.77693651718113
"PPP2R3A",24.2239472464062,1.88542e-05,0.0838672102504369
"SPEF2",28.3358710685088,5.63476818181818e-05,0.023296447291788
"CX3CL1",45.8619053442347,0.00021615415584127,0
"TMEM248",22.1562002576725,0,0.746068724519511
"NAA20",39.0670252244641,0.000154196851851852,0.00232964472917885
"SEC23B",22.1562002576725,0,0.746068724519511
"WNT4",21.6671989285506,-4.45882833333333e-06,0.801397786837507
"RAB5B",22.1562002576725,0,0.746068724519511
"FBLN5",39.6305291196781,0.000159335011984127,0.00174723354688411
