"","Overall","importance","pvalue"
"ENTPD5",62.7876925414254,9.1625638888889e-05,0.00851305334846764
"PIGU",41.5173241772527,0,0.698070374574347
"MESP1",41.5173241772527,0,0.698070374574347
"ACAA2",57.8635318125533,7.0414e-05,0.0221339387060159
"FZD5",41.5173241772527,0,0.698070374574347
"SOAT1",39.9070359178102,-6.93658370370365e-06,0.786038592508513
"PLXDC2",41.5173241772527,0,0.698070374574347
"SALL4",49.912597963593,3.61640339814815e-05,0.0629965947786606
"ESCO1",66.756559070114,0.000108722189598765,0.00681044267877418
"UBR1",47.3894508981267,2.52951595959596e-05,0.0925085130533485
"SPRY4",41.5173241772527,0,0.698070374574347
"CEP41",65.9173968949212,0.000105107359375,0.00681044267877418
"SPIN4",37.2050445972275,-1.85758593750001e-05,0.880249716231555
"DUSP6",41.5173241772527,0,0.698070374574347
"PDE9A",77.5700141869808,0.000155302940656566,0.00113507377979571
"CYP51A1",44.8948924813902,1.45494355555555e-05,0.149262202043133
"ATP2B4",23.2197687292216,-7.88197542857143e-05,0.98410896708286
"RSPH1",66.39550154674,0.000107166874444444,0.00681044267877418
"PLK3",33.0437847049641,-3.65011764021166e-05,0.938706015891033
"LANCL2",40.7160938282062,-3.45143259259251e-06,0.743473325766175
"SHISA2",41.5173241772527,0,0.698070374574347
"CLDN10",37.9568387055018,-1.53373815873015e-05,0.856413166855846
"RARB",59.0472341917038,7.55129942857144e-05,0.0198637911464246
"CHCHD6",41.5173241772527,0,0.698070374574347
"RASSF9",46.727160424292,2.24422335555556e-05,0.102156640181612
"HOXA9",64.0985716440368,9.72724680000001e-05,0.00737797956867192
"LYZ",41.5173241772527,0,0.698070374574347
"DHRS7",41.5173241772527,0,0.698070374574347
"C2CD4A",39.4962296092058,-8.7062e-06,0.80533484676504
"INTS6",50.6635327378623,3.93988100454545e-05,0.0527809307604994
"LRRC56",60.6972805283827,8.26208424999999e-05,0.0158910329171397
"CCDC183",53.1545411068902,5.01292416666665e-05,0.0408626560726447
"FAM161B",57.4996253803352,6.88464126984125e-05,0.0227014755959137
"FAAH",52.4994412374843,4.73072903472223e-05,0.0442678774120318
"GRASP",41.5173241772527,0,0.698070374574347
"KALRN",41.5173241772527,0,0.698070374574347
"RASAL2",34.0669161901513,-3.20938678688276e-05,0.929625425652667
"ARID4A",38.5997658751793,-1.25678661904762e-05,0.83938706015891
"SPRED1",39.1172002849796,-1.03389316666667e-05,0.822360953461975
"MGST3",35.7127739704876,-2.50040625555554e-05,0.906923950056754
"TOP1",90.2200900327182,0.000209795240061728,0
"HMGCR",47.8924779415506,2.74620320000001e-05,0.0862656072644722
