"","Overall","importance","pvalue"
"DUSP6",77.6374504565332,0.000409815220012346,0
"ERC2",35.1186368292784,7.70901740079366e-05,0.0132336018411968
"INHBB",31.2260457304491,4.66292452579367e-05,0.0281933256616801
"TMOD2",42.3860216051272,0.00013396008,0.00230149597238205
"TMEM108",31.8176747484904,5.1258955625e-05,0.0253164556962026
"SETBP1",57.5612487138197,0.000252711703272727,0
"SPRY4",34.8587543612753,7.50564999999999e-05,0.0132336018411968
"SPRED2",61.0562673147021,0.000280061483888889,0
"STRN3",29.0125184138939,2.93075959595956e-05,0.0586881472957422
"COQ6",25.2673112963858,0,0.743383199079402
"RPP25",37.9630227842078,9.93485195959598e-05,0.00747986191024164
"FUT8",27.6870026861702,1.89349575e-05,0.093210586881473
"PKNOX2",37.5538813033678,9.61468400000001e-05,0.00747986191024164
"SLC19A2",25.4206497763268,1.19992888888887e-06,0.23590333716916
"LYSMD2",25.0311816008191,-1.84779999999996e-06,0.779631760644419
"IER5",28.471049141561,2.50704036868685e-05,0.0701956271576525
"PPP1R14B",51.2898585250982,0.000203635814012346,0
"IMPDH2",26.2276537220218,7.51502571428575e-06,0.159953970080552
"TMED10",61.9129707505365,0.000286765497142857,0
"NIPBL",49.8159177921524,0.000192101696375,0.000575373993095485
"PAIP1",25.2673112963858,0,0.743383199079402
"WDR31",25.6203006672645,2.76226909090882e-06,0.207134637514384
"POGK",27.4082705161385,1.67537777777778e-05,0.101841196777906
"GDE1",30.3264605211869,3.95896666666666e-05,0.0356731875719217
"RASSF9",26.6968929876886,1.11869921436589e-05,0.132336018411968
"ENTPD5",25.2673112963858,0,0.743383199079402
"WDR70",25.2673112963858,0,0.743383199079402
"BCAR3",30.6549233743132,4.21600069135803e-05,0.0327963176064442
"JTB",25.2673112963858,0,0.743383199079402
"FAM20B",26.5882053536794,1.03364722222221e-05,0.136363636363636
"DUSP4",24.9950244351518,-2.13074285714288e-06,0.784810126582278
"ZNF563",25.2673112963858,0,0.743383199079402
"RRNAD1",29.8719533738989,3.60329843749998e-05,0.0420023014959724
"CALHM2",65.0796455149388,0.000311545868860269,0
"PAK1",25.6460645157296,2.96388049382723e-06,0.204833141542002
"AKT3",40.0795327129885,0.000115910972857143,0.0046029919447641
"TICAM1",43.6073197266422,0.000143517178117284,0.00172612197928657
"IER3",43.5705254890266,0.000143229249942461,0.00172612197928657
"MESP1",27.2399604239097,1.54366906249999e-05,0.109896432681243
"CMBL",31.2418095039778,4.67526024691358e-05,0.0281933256616801
"ZNF433",17.6502536563733,-5.96062222222222e-05,0.982738780207135
"GNA14",49.4340648216449,0.000189113559210758,0.000575373993095485
"SYN3",27.7168853664598,1.91688002469137e-05,0.0920598388952819
"FAM161B",23.0343093299929,-1.74740454545455e-05,0.901035673187572
"FAM110C",25.2673112963858,0,0.743383199079402
"CCDC183",30.6880477560249,4.24192171428572e-05,0.0322209436133487
"ISYNA1",26.0991463364093,6.50940909090902e-06,0.172036823935558
"CD180",38.8177888633284,0.000106037372335165,0.00690448791714615
