"","Overall","importance","pvalue"
"CARD9",57.2932523357383,0.00010919129469697,0.00125391849529777
"ENTPD5",60.4090479808826,0.000121625569722222,0
"DUSP6",26.5906691072667,-1.33341874999999e-05,0.865203761755486
"FBLN1",39.7075361454774,3.90115857142856e-05,0.0357366771159875
"PIGU",47.379333961544,6.96276e-05,0.0087774294670846
"C1orf194",63.0272818884176,0.000132074214047619,0
"RFX5",31.2843596069227,5.39702763828775e-06,0.198746081504702
"PAK1",50.5266596768018,8.21877027777778e-05,0.00689655172413794
"SPRY4",35.7702296082956,2.3298888888889e-05,0.0727272727272728
"GRASP",32.2792308870415,9.36728259740272e-06,0.159247648902821
"HS3ST3B1",35.4581339476691,2.20534017901233e-05,0.0802507836990596
"DCAF4",34.6184205291968,1.87023387626262e-05,0.103448275862069
"ATP2B4",29.9319659066105,0,0.718495297805643
"UBR1",64.1986022209984,0.000136748628167388,0
"BCAR3",37.2636626666136,2.92587654320988e-05,0.0551724137931034
"COQ6",41.8687291325585,4.76363066666667e-05,0.0213166144200627
"RNF39",46.6960265737363,6.69007099999999e-05,0.0106583072100314
"AKR7A3",33.8375084981869,1.55859357407406e-05,0.116614420062696
"COG2",36.2314255855104,2.5139393939394e-05,0.0695924764890282
"HMGCS1",48.0966924954752,7.24903786666666e-05,0.00815047021943571
"PPP1R14B",43.3764829377979,5.36533333333336e-05,0.0200626959247648
"FZD5",44.2277769041809,5.70506111111111e-05,0.0175548589341693
"CLDN10",29.9319659066105,0,0.718495297805643
"TICAM1",35.2986392568426,2.1416902777778e-05,0.0821316614420062
"C2CD4A",30.8636607403822,3.71813530864196e-06,0.223197492163009
"ZBTB18",30.148119045714,8.62607142857241e-07,0.263322884012539
"ACAA2",32.6011728344747,1.06520634920637e-05,0.147335423197492
"LANCL2",38.6796656632052,3.49096401047175e-05,0.038871473354232
"SPIN4",29.9319659066105,0,0.718495297805643
"COL21A1",22.3697314352953,-3.01787774074074e-05,0.949216300940439
"GSTM4",29.9319659066105,0,0.718495297805643
"DLK1",38.3316165411534,3.35206727272728e-05,0.0420062695924764
"MTA2",45.2890543423758,6.12858746031748e-05,0.0163009404388714
"FAM161B",31.8411441234461,7.61900000000004e-06,0.176802507836991
"ZNF521",13.4848270786918,-6.56359629629628e-05,0.988087774294671
"ZNF85",33.2402290552631,1.32023593749999e-05,0.135423197492163
"CYP51A1",50.6621158478192,8.27282707341273e-05,0.00626959247648906
"ALG8",29.6733085069885,-1.03222984126994e-06,0.741065830721003
"FAM110C",33.4014176235483,1.38456181818181e-05,0.129153605015674
"DST",51.2938760785648,8.52494503472221e-05,0.00564263322884018
"SALL4",53.2855775604775,9.31977777777777e-05,0.00501567398119118
"SLC45A3",31.0722983347854,4.55074999999994e-06,0.208150470219436
"NUDT4",29.9319659066105,0,0.718495297805643
"GOLPH3L",26.2854298743775,-1.45523125e-05,0.875235109717868
"RBX1",38.3456034260207,3.35764905000002e-05,0.0420062695924764
"FCGR2A",38.7312901783762,3.51156592063493e-05,0.038871473354232
"AQP5",43.563665011319,5.4400325e-05,0.019435736677116
"NIPBL",29.9319659066105,0,0.718495297805643
"ADAMTS3",29.9778322907567,1.83040000000023e-07,0.277115987460815
"SETBP1",35.371469598832,2.17075484444444e-05,0.0802507836990596
"HOXA13",37.3554551876962,2.96250838888887e-05,0.0539184952978057
"MESP1",29.9319659066105,0,0.718495297805643
"ACSM3",30.8141520810511,3.52056000000012e-06,0.225078369905956
"KCNK17",43.0665337526978,5.24164122222224e-05,0.0206896551724138
"CHD6",53.823740223386,9.5345435493827e-05,0.0043887147335423
"SYN3",46.6840769128173,6.68530222222223e-05,0.0106583072100314
"WDR70",37.4693980263826,3.00797981111109e-05,0.05141065830721
"CALHM2",29.9319659066105,0,0.718495297805643
"CDC14A",29.9319659066105,0,0.718495297805643
"NPC1",28.8026077963008,-4.50695454545458e-06,0.790595611285266
"RRNAD1",30.4529242361553,2.07900000000016e-06,0.24576802507837
"RBM25",55.2763140785238,0.000101142254305556,0.0043887147335423
"DHRS7",30.9086893542132,3.89783200000005e-06,0.218808777429467
"GGT7",35.9758342729503,2.41193999999998e-05,0.0702194357366771
"LRP12",45.2943955802419,6.130719e-05,0.0163009404388714
"PRKACB",61.0792934752412,0.000124300333333333,0
"LRTOMT",41.8723063881073,4.76505824999995e-05,0.0213166144200627
"SCD5",29.9319659066105,0,0.718495297805643
"RIN1",26.4742443353073,-1.37988064285717e-05,0.869592476489028
"FOLH1",30.80045364173,3.46589333333336e-06,0.225078369905956
"INHBB",32.5261496165672,1.03526666666669e-05,0.151097178683386
"SLX4",23.894666347628,-2.40931857142859e-05,0.929780564263323
"ELF4",21.8708013284346,-3.21698688888892e-05,0.95423197492163
"CMBL",43.0672983215208,5.24194634040405e-05,0.0206896551724138
"ESCO1",59.1524075197711,0.000116610666666667,0.000626959247648884
"MRPL48",50.3949806445926,8.16622083333334e-05,0.00752351097178683
"DMC1",29.9319659066105,0,0.718495297805643
"CEP41",66.0406239641722,0.000144099625333333,0
"FERMT2",22.2930555614065,-3.04847695238095e-05,0.951724137931034
"RASSF9",29.9319659066105,0,0.718495297805643
"PNMA1",39.1820664617581,3.69145821527779e-05,0.0376175548589341
"PHF2",36.4973689392713,2.62007e-05,0.0652037617554859
"OSBPL1A",29.9319659066105,0,0.718495297805643
"EIF2B2",28.5214129692376,-5.62912499999979e-06,0.803761755485893
"HMGCR",32.0087714958498,8.28795428571416e-06,0.166771159874608
"INHBA",31.2792416201584,5.3766031746032e-06,0.198746081504702
"PNMT",51.6097074312822,8.65098455555555e-05,0.00501567398119118
