"","Overall","importance","pvalue"
"HIST1H2AM",53.6075782620725,5.31954987202379e-05,0.0238772029562251
"MAL",49.3481619808543,3.26125714285714e-05,0.0517339397384877
"COX6B1",44.1392617405243,7.44141936507936e-06,0.162023877202956
"HIST1H2AH",48.5842692692665,2.89211857777778e-05,0.0602615122228539
"LOXL4",42.9236135903969,1.5670000000001e-06,0.234223990903923
"RP9",39.2406821828143,-1.62301591358023e-05,0.893689596361569
"PSMD8",51.8263457469604,4.45879861111111e-05,0.030699260943718
"TBCB",42.5993397289539,0,0.710062535531552
"PLEKHO1",42.0303227975661,-2.74968055555558e-06,0.786242183058556
"C19orf33",42.5993397289539,0,0.710062535531552
"ZC3H10",45.3575127598543,1.33284166666665e-05,0.121091529277999
"HIST1H2AG",80.7711554779562,0.000184459009469697,0.000568504832291095
"HIST1H2BD",48.623880909126,2.91126024999999e-05,0.0596930073905628
"ADORA2A",45.2433753965622,1.27768666666668e-05,0.127913587265492
"MCRS1",42.5993397289539,0,0.710062535531552
"H1FX",46.9599827619276,2.10720888888889e-05,0.0886867538374077
"HIST1H2AI",42.9135195518822,1.51822222222231e-06,0.234223990903923
"HIST1H2AD",50.5719051505909,3.85261086419753e-05,0.0397953382603752
"MECR",55.625159999618,6.29451300000001e-05,0.0164866401364412
"EPHX3",63.6022664466677,0.00010149318239899,0.00341102899374646
"FANCC",42.5993397289539,0,0.710062535531552
"CBX2",42.5993397289539,0,0.710062535531552
"SPATA20",42.5993397289539,0,0.710062535531552
"MRPL44",52.0920684941875,4.58720475000001e-05,0.0301307561114269
"MCM7",42.5993397289539,0,0.710062535531552
"HIST1H2BF",42.414439189337,-8.93501388888884e-07,0.749857873791927
"HIST1H2BL",39.3358554510846,-1.57702499999999e-05,0.890278567367823
"EIF3K",42.5993397289539,0,0.710062535531552
"INPP5A",52.947229297958,5.00044711666667e-05,0.0255827174530984
"LIN37",47.7652341096102,2.49633333333334e-05,0.0722001137009665
"HIST1H2AE",55.5630099237998,6.26448000000002e-05,0.0164866401364412
"ACAD8",56.5374057795872,6.73534074074074e-05,0.0142126208072768
"FDX1",46.0073464954377,1.64686311111111e-05,0.104036384309267
"TM2D3",56.7164849063125,6.82187777777781e-05,0.0136441159749858
"ZNF565",42.5993397289539,0,0.710062535531552
"ANKH",44.2956540202378,8.19715928571441e-06,0.157475838544628
"ADRA1B",59.6492493610594,8.2390878730159e-05,0.00852757248436609
"PRDX5",48.3205345959737,2.76467314285715e-05,0.0648095508811825
"UNC50",42.5993397289539,0,0.710062535531552
"HIST1H1B",73.584863077433,0.000149732435636364,0.000568504832291095
"GZMM",42.5993397289539,0,0.710062535531552
"KBTBD2",42.3467496362434,-1.22059999999991e-06,0.759522455940876
"SPINT2",53.4073010553105,5.22276921212121e-05,0.0250142126208073
"ZCCHC4",42.5993397289539,0,0.710062535531552
"DNAJC14",39.0203682061847,-1.72947901234568e-05,0.89937464468448
"TBC1D9B",47.0965299746903,2.1731930793651e-05,0.0869812393405344
"P2RY4",51.6826925183141,4.38938055555556e-05,0.030699260943718
"POLR2I",52.4734514643442,4.77150178571428e-05,0.0272882319499715
"SHPK",42.4708835926398,-6.20743111111155e-07,0.741898806139852
"DCAF4L1",42.8116594365739,1.02599999999997e-06,0.245025582717453
"NDUFA2",42.5993397289539,0,0.710062535531552
"PPIC",45.7015937001077,1.49911311111111e-05,0.115406480955088
