"","Overall","importance","pvalue"
"LZTS2",49.3461299929973,2.85723369682542e-05,0.00893854748603351
"RAI1",48.9546493436721,2.78619851428572e-05,0.00949720670391063
"TRIM7",38.570816369052,9.02024999999984e-06,0.0648044692737431
"CRABP1",35.7022297870721,3.81512499999981e-06,0.148603351955307
"MET",33.5996834728961,0,0.697765363128492
"DLG5",41.4840169614329,1.43063282828282e-05,0.0340782122905028
"DCTN6",33.5996834728961,0,0.697765363128492
"CASP8",38.7779395142138,9.39608033670036e-06,0.0608938547486033
"SGK1",29.1407412656314,-8.09086666666681e-06,0.920670391061453
"SEMA4G",68.7641865093633,6.38069058181821e-05,0
"PFKFB4",29.0246127933253,-8.30158480158705e-06,0.923463687150838
"RPRML",27.0900438283585,-1.18119105303029e-05,0.956424581005587
"DEGS1",33.5996834728961,0,0.697765363128492
"HIF1AN",41.7974937097439,1.487514e-05,0.0307262569832403
"C16orf74",46.0110266948206,2.25207052469134e-05,0.0167597765363129
"S100A9",30.5511518275766,-5.53164000000006e-06,0.884916201117318
"RABEP2",33.5996834728961,0,0.697765363128492
"COL1A1",22.8510583437209,-1.950366e-05,0.978212290502793
"TSPAN6",32.5019462893059,-1.9918726851853e-06,0.797206703910615
"HOXC13",33.143610897788,-8.2755555555547e-07,0.75195530726257
"EXTL3",34.5205750984323,1.67098181818193e-06,0.216759776536313
"ELN",32.5040724439689,-1.98801472222199e-06,0.79608938547486
"CERCAM",26.0441225512778,-1.37097619047617e-05,0.962569832402235
"IFNGR1",38.5494134121662,8.98141377777795e-06,0.0659217877094972
"MXRA5",34.4645771039491,1.56937199999985e-06,0.219553072625698
"COL16A1",48.9946270756154,2.79345257777777e-05,0.00949720670391063
"PDZD8",33.5996834728961,0,0.697765363128492
"MERTK",31.8605079923472,-3.15577916666676e-06,0.834078212290503
"ENAH",33.5996834728961,0,0.697765363128492
"ARMCX3",45.499209704852,2.15919999999998e-05,0.017877094972067
"SLC37A2",68.4107632728828,6.31656101587301e-05,0
"PRDM13",43.4368460604789,1.78497874999999e-05,0.0245810055865922
"AMN",36.440809562622,5.15529722222219e-06,0.121787709497207
"SPEF2",37.3380908679538,6.78343750000021e-06,0.0977653631284916
"CPA4",32.3375457079182,-2.29018181818175e-06,0.807262569832402
"TCF7",28.1634153349945,-9.86424999999991e-06,0.941899441340782
"USP9X",36.6830317172756,5.59481562499986e-06,0.115083798882682
"TPGS1",89.4191790969377,0.000101285927357143,0
"TXN",56.6147249869623,4.17613917297979e-05,0.0027932960893855
"LAMC2",58.1035779636687,4.44629541992947e-05,0.00167597765363126
"CLEC7A",33.5996834728961,0,0.697765363128492
"WNT4",32.6154894425315,-1.7858456790123e-06,0.78659217877095
"LIMCH1",33.5996834728961,0,0.697765363128492
"FAM160B1",41.2207239144077,1.38285761975308e-05,0.0374301675977654
"PI15",33.9121789913157,5.67031250000127e-07,0.263128491620112
"KCNQ5",48.9713376439708,2.78922664980157e-05,0.00949720670391063
"CD81",35.2149312318231,2.93090909090909e-06,0.173743016759777
"ANKRD40",32.5141444038688,-1.96973888888885e-06,0.794413407821229
"ACSS1",31.9328856629116,-3.0244479999999e-06,0.829608938547486
"LAMC1",33.5996834728961,0,0.697765363128492
"SYNE4",30.1784043487769,-6.20799999999999e-06,0.893296089385475
"LMBRD2",32.9477519755358,-1.18294666666663e-06,0.768156424581006
"MAPK3",33.5996834728961,0,0.697765363128492
"DAPK2",36.669249812418,5.56980799999995e-06,0.115083798882682
"ODC1",48.1006114226021,2.6312311111111e-05,0.0106145251396648
"MAPK10",33.9437184489843,6.24260416666633e-07,0.260335195530726
"KIAA0232",47.8231929094774,2.5808928e-05,0.0106145251396648
"ATP7A",33.2322780686736,-6.66666666666815e-07,0.741899441340782
"RPL35",33.5996834728961,0,0.697765363128492
"CALR",33.5996834728961,0,0.697765363128492
"BMP6",32.2803539353423,-2.39395777777784e-06,0.81340782122905
"CA5B",57.0860501925396,4.2616623580247e-05,0.00223463687150838
"GAL3ST2",41.5821789217885,1.44844457142856e-05,0.0340782122905028
"CTSA",37.6369981271264,7.32581249999997e-06,0.0888268156424581
"TMEM164",34.5461435224388,1.71737638888891e-06,0.215642458100559
"SMURF1",32.2958700361544,-2.36580340909076e-06,0.810614525139665
"PGAP3",29.1401147628746,-8.09200347222205e-06,0.92122905027933
"TNS1",33.5996834728961,0,0.697765363128492
"BAG3",34.6628518392026,1.92914666666666e-06,0.208379888268156
"MED14",34.1060814032476,9.188722222222e-07,0.244692737430168
"CLCN3",33.5996834728961,0,0.697765363128492
"ACTR3B",33.5996834728961,0,0.697765363128492
"SHC3",33.5996834728961,0,0.697765363128492
"S100A2",33.5996834728961,0,0.697765363128492
"CHKA",38.536801014477,8.95852825396837e-06,0.0659217877094972
"POLR2J",32.4434143803354,-2.09808035714265e-06,0.802793296089386
"UNC119",9.20567660563451,-4.42635602469137e-05,0.998324022346369
"HIVEP2",33.5996834728961,0,0.697765363128492
"COL17A1",40.4541745587898,1.24376524444443e-05,0.0424581005586592
"TUBA4A",31.0354781844407,-4.65281722222222e-06,0.86536312849162
"SNED1",29.2398047179709,-7.91111345454554e-06,0.918994413407821
"PXN",29.424512953006,-7.57595555555568e-06,0.912849162011173
"ARAF",33.5996834728961,0,0.697765363128492
"CAPN7",33.8606294871911,4.73493333333463e-07,0.270949720670391
"DCUN1D3",58.6030535602006,4.53692656666667e-05,0.00111731843575424
"HIST1H1A",39.6913238597686,1.105344e-05,0.0469273743016759
"DENND2D",58.6411111877628,4.54383222222223e-05,0.00111731843575424
"PI3",45.5846486069192,2.1747031111111e-05,0.017877094972067
"EPAS1",33.646448932205,8.48571428571088e-08,0.295530726256983
"GZF1",25.5918290420632,-1.45304602469138e-05,0.966480446927374
"PLOD3",32.6752914758725,-1.67733333333331e-06,0.783798882681564
"S100A8",31.5819263933979,-3.66127272727268e-06,0.846927374301676
