"","Overall","importance","pvalue"
"RILPL2",42.1820793837126,1.22348914285713e-05,0.012262415695892
"KIAA2013",27.2257822405526,-3.31155234567881e-06,0.898221949724096
"MFN2",37.3484697147428,7.21055684722227e-06,0.0386266094420601
"ASAP3",61.0456537046629,3.18427859999999e-05,0
"INO80B",30.4116272869378,0,0.727161250766401
"OSBPL3",36.3103259557029,6.13144993827164e-06,0.0521152667075414
"ILVBL",32.2485844992577,1.90943999999993e-06,0.160024524831392
"CCDC96",43.839317374554,1.39575208333333e-05,0.00551808706315149
"POLR2L",32.9876704811693,2.67768888888886e-06,0.122011036174126
"TTC31",42.6760142386796,1.27483159999999e-05,0.0110361741263029
"PDE9A",30.4116272869378,0,0.727161250766401
"BCL11B",44.0321318200831,1.41579433648991e-05,0.00551808706315149
"PEX14",37.6303327621173,7.50354166666667e-06,0.0380134886572655
"CPTP",43.1293240987346,1.32195125925925e-05,0.00858369098712441
"AKR7A2",29.1871430717539,-1.27279999999996e-06,0.806253832004905
"NCKIPSD",50.0514048859187,2.04147253333336e-05,0.00306560392397304
"AP4M1",40.0681399277906,1.00375399999999e-05,0.0239117106069896
"MIIP",30.4116272869378,0,0.727161250766401
"HSD17B14",30.4116272869378,0,0.727161250766401
"AGTRAP",27.3517443415869,-3.1806200231479e-06,0.896382587369712
"ACAD9",35.2036846935796,4.98114274691353e-06,0.0686695278969958
"AURKAIP1",40.0595276311873,1.00285878787878e-05,0.0239117106069896
"KCNJ15",31.0951565412495,7.10499999999836e-07,0.220110361741263
"SSU72",30.4116272869378,0,0.727161250766401
"PSMG3",30.4116272869378,0,0.727161250766401
"SYDE1",30.4116272869378,0,0.727161250766401
"SCRIB",28.7237285160858,-1.7545000000001e-06,0.830778663396689
"GLI4",24.1682930980742,-6.48968411111106e-06,0.952176578786021
"MT2A",38.5031633830426,8.4108125000002e-06,0.0331085223789086
"RBM38",38.5883351686966,8.49934499999994e-06,0.0331085223789086
"AP5Z1",30.9424949554456,5.51814682539842e-07,0.227467811158798
"EFHD2",50.9253519539931,2.13231566666667e-05,0.00122624156958917
"PPP1R8",39.7096326171637,9.66488668253973e-06,0.0251379521765788
"PPP1R16A",37.9238927833582,7.80868500000009e-06,0.0355610055180871
"BRAT1",41.2007856889696,1.12148777777776e-05,0.0177805027590435
"MCEE",32.7660280099289,2.44730083333322e-06,0.132434089515635
"FAM86C1",46.9188580913992,1.71585742857143e-05,0.00306560392397304
"SH3BP1",37.473441713548,7.34046000000022e-06,0.0380134886572655
"CAMTA1",30.3686048685663,-4.47200000002201e-08,0.732066217044758
