"","Overall","importance","pvalue"
"CRIP1",35.9920789555386,4.73577777777567e-07,0.274407856730214
"RAET1L",32.6343175534395,-1.41774318181818e-05,0.882726747544772
"HSD11B2",35.8835430097597,0,0.711149624494512
"CHAC2",36.2838117157364,1.74650308641966e-06,0.244945118428654
"IMMP1L",37.5995710817219,7.48759090909101e-06,0.169844020797227
"ANXA1",39.3494594278176,1.51229252525253e-05,0.112073945696129
"SNRNP48",35.8835430097597,0,0.711149624494512
"CCNT2",35.8835430097597,0,0.711149624494512
"ZNF511",57.1592252594444,9.28327500000001e-05,0.00866551126516468
"CCDC88B",43.9748361659859,3.53049545454547e-05,0.0525707683419988
"THEMIS2",67.289389801664,0.000137033966269841,0.00115540150202198
"MRPL11",43.1260147226971,3.16012693750001e-05,0.0600808781051415
"PRPF4B",35.8835430097597,0,0.711149624494512
"HOXA4",48.5821623403253,5.54082233333333e-05,0.0259965337954939
"CD7",34.9032875014639,-4.27717492063495e-06,0.793760831889081
"LONP2",35.8835430097597,0,0.711149624494512
"ACOX2",42.8940198547913,3.0589e-05,0.0623916811091855
"C19orf57",37.0316054638498,5.0093714285715e-06,0.196418255343732
"MCM6",44.9263718874292,3.94568156565656e-05,0.0462160600808781
"C3orf67",45.2660631331213,4.09389995e-05,0.0439052570768342
"SKAP2",39.7908798386171,1.70489866666668e-05,0.107452339688042
"GDF15",30.9496658553188,-2.15281173611113e-05,0.915077989601387
"L1CAM",35.0505289044043,-3.63471259259263e-06,0.785095320623917
"MAU2",53.9270040915456,7.87295134455668e-05,0.0155979202772963
"FLT4",37.0215904671643,4.96567272727266e-06,0.196995956094743
"MNS1",35.8835430097597,0,0.711149624494512
"ABCG2",56.303559306822,8.90992000000002e-05,0.00982091276718655
"ZNF69",54.5560528613005,8.14742586666668e-05,0.0132871172732525
"RBM48",37.5666624955197,7.34400000000002e-06,0.170999422299249
"CALB2",33.9714160556713,-8.34323437500006e-06,0.838821490467938
"UBTF",63.7027208810816,0.000121384158412698,0.00288850375505489
"SHF",35.4429846508985,-1.92230000000015e-06,0.758521086077412
"GAS1",35.8835430097597,0,0.711149624494512
