"","Overall","importance","pvalue"
"FAM204A",55.6388132746271,1.00616662698412e-05,0.178217821782178
"NES",100,0.000214229768315697,0.000550055005500538
"FAM8A1",51.9109014334855,-7.09568999999988e-06,0.796479647964796
"ZBED6CL",75.1286778425916,9.97618963968254e-05,0.00990099009900991
"PSD4",51.4278603938702,-9.31883999999994e-06,0.817931793179318
"PCDHB2",59.7564561777877,2.90127223280423e-05,0.0737073707370737
"EGF",50.7577236527491,-1.24030800000001e-05,0.838283828382838
"UROS",53.4526370223516,0,0.689218921892189
"DCST1",53.4526370223516,0,0.689218921892189
"ATP6V1G1",53.4526370223516,0,0.689218921892189
"STX6",61.9391746868252,3.90584746666667e-05,0.0522552255225522
"BNIPL",53.4526370223516,0,0.689218921892189
"OAT",51.7983754572776,-7.61358000000012e-06,0.803080308030803
"UBQLN4",30.5676112957956,-0.000105326133333333,0.991749174917492
"LMX1B",54.4691779973178,4.67853222222248e-06,0.233773377337734
"ALCAM",56.6432932476698,1.4684688888889e-05,0.143564356435644
"KRT83",59.5784290956334,2.81933697777779e-05,0.077007700770077
"PDCD4",54.4289746115882,4.49349999999993e-06,0.235973597359736
"TRUB1",48.136136558896,-2.44686828571428e-05,0.907040704070407
"DPH1",45.378355216121,-3.71611066666666e-05,0.945544554455445
"LY6D",53.4526370223516,0,0.689218921892189
"RRM2B",59.1297381370652,2.61283127272727e-05,0.0847084708470847
"DTNBP1",53.7113061889225,1.19050000000009e-06,0.288228822882288
"ARHGAP30",53.4526370223516,0,0.689218921892189
"FANK1",47.2174829495739,-2.86966978787879e-05,0.925192519251925
"PWWP2B",53.4526370223516,0,0.689218921892189
"ARAP3",53.4526370223516,0,0.689218921892189
"ACYP1",58.1022198905087,2.13992586666667e-05,0.101760176017602
"CES3",67.9273209124219,6.66183426481481e-05,0.0242024202420242
"NUP62CL",57.9724744054829,2.08021175308641e-05,0.106160616061606
"TGM5",58.9873418521949,2.54729475000002e-05,0.0885588558855885
"GALNT12",60.9017440974312,3.42838000000001e-05,0.0632563256325632
"GUCY1A3",73.617752310379,9.2808006723986e-05,0.0121012101210121
"SHOC2",57.5622045141988,1.89138897530865e-05,0.116611661166117
"GADD45A",58.5418782397248,2.34227440000001e-05,0.0962596259625963
"CCDC84",53.0007724434509,-2.07966333333331e-06,0.731573157315732
"EIF2S3",68.9779806447034,7.14539031746031e-05,0.0209020902090209
"RC3H2",53.5715558532873,5.47312500000174e-07,0.297579757975798
"ACADSB",53.4526370223516,0,0.689218921892189
"CAMP",79.4480267430151,0.000119641284938272,0.0027502750275028
"MTG1",85.7124214438908,0.00014847256,0.00165016501650161
"PYURF",47.2251306656353,-2.86614999999999e-05,0.924642464246425
"NODAL",53.4526370223516,0,0.689218921892189
"HAPLN3",57.8040426753062,2.00269266666664e-05,0.112211221122112
"HINFP",50.6133961801534,-1.30673333333335e-05,0.843234323432343
"THEG",53.7208237305557,1.23430357142862e-06,0.287678767876788
"MTCL1",52.551779310784,-4.14611111111096e-06,0.760726072607261
"ZNF569",54.2920775553523,3.86344444444453e-06,0.241474147414741
"CHRNE",54.2825932807828,3.81979398148169e-06,0.242574257425743
"GMFB",53.4526370223516,0,0.689218921892189
"CUEDC2",47.3791057533643,-2.79528444444446e-05,0.921342134213421
"ANKRD35",48.0395738624236,-2.49131033950618e-05,0.909240924092409
"KHDRBS1",57.0345905596861,1.64855971924602e-05,0.131463146314632
"CCL22",60.8697915175603,3.41367413194447e-05,0.0632563256325632
"BCCIP",53.4526370223516,0,0.689218921892189
"ATG4C",49.2831312355367,-1.918975e-05,0.885038503850385
"PDZD8",79.6463959142182,0.00012055426,0.0027502750275028
"EIF4EBP2",74.4437641345153,9.66096468253967e-05,0.011001100110011
"MAPK10",54.4831220386238,4.74270833333335e-06,0.233223322332233
"TIAL1",53.4526370223516,0,0.689218921892189
"KRT75",68.7997132142658,7.06334444444443e-05,0.022002200220022
"ACOX3",54.4109362124209,4.41047999999999e-06,0.235973597359736
"SLC31A1",57.3412397910564,1.78969208333333e-05,0.122662266226623
"UCHL1",58.557210196144,2.34933078571427e-05,0.0962596259625963
"VIPR1",60.7358723283916,3.35203911111113e-05,0.064906490649065
"CDC26",58.6524492297089,2.39316363636364e-05,0.0951595159515951
"EEPD1",49.0678814068797,-2.01804166666666e-05,0.888888888888889
"ACOT13",53.4526370223516,0,0.689218921892189
"TRAPPC11",62.1484665214867,4.00217202380952e-05,0.0511551155115512
"TDRKH",54.7440677395721,5.94368586419747e-06,0.21947194719472
"PAAF1",55.2912018747373,8.46181818181835e-06,0.19031903190319
"SEMA4G",66.6093361456934,6.05524443209875e-05,0.0291529152915292
"DIO1",61.7506537156769,3.8190825e-05,0.0539053905390539
"EIF5A",70.8725364242859,8.01734142222219e-05,0.017051705170517
"SLC44A4",53.4526370223516,0,0.689218921892189
"GJB1",42.2313584378794,-5.16448571428572e-05,0.964796479647965
"SLC30A1",53.4526370223516,0,0.689218921892189
"MSL3",53.4526370223516,0,0.689218921892189
"DHX32",45.8390795717473,-3.50406670617287e-05,0.939493949394939
"CDK5RAP2",59.0217180641056,2.56311607142856e-05,0.088008800880088
"PDIA5",53.0279072965146,-1.95477777777775e-06,0.726622662266227
"MEX3B",51.7190261042233,-7.97877777777756e-06,0.805280528052805
"CFAP36",57.5759731142564,1.89772584126984e-05,0.116611661166117
"IGSF8",53.4526370223516,0,0.689218921892189
"RPL39",53.4526370223516,0,0.689218921892189
"FAM76B",53.012919959858,-2.02375555555556e-06,0.728822882288229
"PPA1",66.6508697960323,6.07435989583334e-05,0.0291529152915292
"TRAPPC1",61.1438475251698,3.53980577777779e-05,0.05995599559956
"GPR89A",54.4325596945353,4.51000000000001e-06,0.235423542354235
"SLC7A5",53.4526370223516,0,0.689218921892189
"THEM5",69.8756074705523,7.55851444444449e-05,0.0187018701870187
"GLRX3",47.1592220325556,-2.89648381547618e-05,0.926292629262926
"VOPP1",53.4526370223516,0,0.689218921892189
"CBWD1",47.7686536506194,-2.61599876543208e-05,0.915841584158416
"PDCL",55.155970457852,7.83942857142828e-06,0.195269526952695
"TMEM168",53.4526370223516,0,0.689218921892189
"NEK6",49.7424718323012,-1.70756790123456e-05,0.871837183718372
