"","Overall","importance","pvalue"
"WNT2B",51.1948250131001,2.00628572469135e-05,0.0408626560726447
"PIK3IP1",74.9063808071035,7.22839102222224e-05,0.00113507377979571
"PABPC1",63.8181424336502,4.78637714285717e-05,0.00567536889897846
"BMP4",66.0177907836927,5.27081584444447e-05,0.00283768444948918
"VPS13B",64.7864020704018,4.99962142857142e-05,0.0051078320090806
"PROSER2",35.8439185170751,-1.37451521604939e-05,0.921679909194098
"BID",52.3032182192218,2.25039227272728e-05,0.036322360953462
"MPP7",62.139856288989,4.41676044444446e-05,0.00624290578887632
"KRCC1",49.18945691586,1.56463425925926e-05,0.065266742338252
"C15orf62",43.4746022364828,3.06025454545456e-06,0.221906923950057
"ZNF750",53.4372566807754,2.5001467936508e-05,0.0283768444948922
"NIPAL2",92.6699375767289,0.000111405410606061,0
"DERL1",42.0850592789191,0,0.68955732122588
"ANKRD23",47.5462232906979,1.20273733888889e-05,0.101589103291714
"RARRES1",30.5798346101844,-2.53384869444446e-05,0.972758229284904
"PPFIBP2",42.0850592789191,0,0.68955732122588
"DIP2B",35.1304444743647,-1.5316468952381e-05,0.933030646992055
"CGNL1",64.840016711077,5.01142922817459e-05,0.0051078320090806
"GPRIN2",39.7925041046577,-5.04900000000008e-06,0.820090805902384
"VPS18",49.5850678033783,1.65176146969699e-05,0.0590238365493757
"SOWAHC",42.0850592789191,0,0.68955732122588
"RORC",41.9790973476684,-2.33364848484907e-07,0.698637911464245
"CPLX1",44.7054239616096,5.77095000000005e-06,0.169125993189557
"KCNK7",42.0850592789191,0,0.68955732122588
"HDX",67.0208662358998,5.49172777777778e-05,0.00227014755959143
"TMOD3",43.5022861022957,3.12122399999981e-06,0.221906923950057
"PEX11B",43.986168262701,4.18689999999988e-06,0.198637911464245
"MYO1G",49.6961131565434,1.6762175e-05,0.0567536889897844
"ZHX2",72.1343388493999,6.61789143636364e-05,0.00113507377979571
"KATNBL1",74.6529481938179,7.17257638888889e-05,0.00113507377979571
"MMP25",39.8086863425519,-5.01336111111095e-06,0.819523269012486
