"","Overall","importance","pvalue"
"PAX8",69.1476760243359,9.8712911031746e-05,0.000587544065804968
"EIF2D",63.6106744771546,8.23312220202022e-05,0.00235017626321976
"ZNF486",36.5660185039098,2.31731200000018e-06,0.216216216216216
"TMX2",35.7827683689414,0,0.709165687426557
"DIP2B",37.2727696463778,4.40829523809527e-06,0.165099882491187
"WNT2B",36.5733355155689,2.33896000000011e-06,0.215041128084606
"UTP23",45.38717909869,2.84154642857144e-05,0.0352526439482961
"MYB",61.6990540905687,7.66755308641975e-05,0.00293772032902473
"GAL3ST2",90.6369068931739,0.000162290624382716,0
"MED19",33.8784795807195,-5.63400000000014e-06,0.849001175088132
"ZFP91",75.7389230036072,0.00011821367462963,0
"SNRNP200",50.5885893567127,4.3804277986111e-05,0.0170387779083431
"MTBP",35.7827683689414,0,0.709165687426557
"ARID1A",53.4107228685898,5.21537995000001e-05,0.0099882491186839
"UBE4B",35.7827683689414,0,0.709165687426557
"TUBG2",47.1945039517213,3.37625882539683e-05,0.0287896592244419
"AMN",38.3640941581281,7.6370714285714e-06,0.131609870740306
"MCM2",29.847305236851,-1.75605714285714e-05,0.929494712103408
"ATAD2",41.2192685608378,1.60843472222221e-05,0.0757931844888367
"PROSER2",35.7827683689414,0,0.709165687426557
"DNAJC13",35.853657713665,2.09732142857133e-07,0.284371327849589
"SPDYC",38.0822348239889,6.80316666666658e-06,0.13807285546416
"SNIP1",37.9307364847841,6.35494597222208e-06,0.143360752056404
"CDC42EP5",34.7779477025633,-2.97284722222213e-06,0.801410105757932
"CHP2",33.6476682200066,-6.316875e-06,0.856051703877791
"PIM1",38.5085225216777,8.06437500000001e-06,0.126321974148061
"RARRES1",38.3602709017193,7.62576000000004e-06,0.131609870740306
"SLC51A",42.8966397417795,2.10469922222223e-05,0.0575793184488836
"KLHDC9",54.8995694836403,5.65586785714287e-05,0.00881316098707408
"MED30",34.9271971719499,-2.53127999999991e-06,0.792596944770858
"SNX15",33.6403097041635,-6.33864579365073e-06,0.856639247943596
"ZNF280D",32.7653352421516,-8.92733199999984e-06,0.882491186839013
"TMEM50A",29.664594212869,-1.81011375e-05,0.931257344300823
"ATP1B1",35.3520519398332,-1.27431111111109e-06,0.754406580493537
"PARS2",35.7827683689414,0,0.709165687426557
"THRAP3",39.3891098129532,1.06696672380953e-05,0.108108108108108
"RASA2",20.6587225436366,-4.47457731762064e-05,0.985311398354877
"RTN4R",50.1929929937637,4.26338725714284e-05,0.0170387779083431
"YPEL1",34.9171635649837,-2.56096527777783e-06,0.793772032902468
"PPARGC1B",58.8934611491201,6.83749460317462e-05,0.00411280846063455
"FBXO45",36.7149924954152,2.75806419753066e-06,0.205640423031727
"LRRC14B",35.7827683689414,0,0.709165687426557
"SRRM1",43.6441933955424,2.32586931529581e-05,0.0528789659224442
"RNF220",50.5635772345927,4.37302775000001e-05,0.0170387779083431
"PDIK1L",42.3423097856026,1.940696e-05,0.064042303172738
"EXOSC10",35.7827683689414,0,0.709165687426557
"TMCC2",46.910037783566,3.29209709523808e-05,0.0293772032902467
"ZNF106",43.8667528830445,2.39171542857142e-05,0.0511163337250293
"OTUD6B",36.2995694973034,1.52900000000011e-06,0.239130434782609
"BID",41.5957069008249,1.7198072e-05,0.0716803760282021
"IL1RN",23.5754027568032,-3.61165272222224e-05,0.974735605170388
"GLS2",34.0063407090686,-5.25571200000008e-06,0.842538190364277
"CTDSPL2",37.7379988351338,5.78471527777791e-06,0.149823736780259
"SLC26A5",36.2506561512292,1.38428571428562e-06,0.242068155111633
"CCDC77",35.7827683689414,0,0.709165687426557
"MXRA7",46.2266573702524,3.08991319999998e-05,0.0311398354876615
"MOK",27.6330907178234,-2.41115130070546e-05,0.949471210340776
"NSMCE2",40.3276743234918,1.344649e-05,0.0893066980023501
"NEURL1B",28.3586784904297,-2.19647999999999e-05,0.944770857814336
"TRAK1",36.4229893632172,1.89414814814826e-06,0.226792009400705
"LAMC1",32.6477682745144,-9.27516385185179e-06,0.884253819036428
"ABCA3",46.2897916077701,3.108592e-05,0.0311398354876615
"HAUS4",43.5603350911701,2.3010591242284e-05,0.0540540540540541
"TARDBP",35.7827683689414,0,0.709165687426557
"SLC12A6",35.7827683689414,0,0.709165687426557
"RAB11FIP1",34.4123990469875,-4.05435394444442e-06,0.830787309048179
"WDYHV1",30.107818949325,-1.67898195000002e-05,0.927732079905993
"SLC6A9",35.8364398617523,1.58791666666769e-07,0.285546415981199
"GTF3C5",35.7827683689414,0,0.709165687426557
"SSU72",57.0144395453503,6.28157011414141e-05,0.00646298472385431
"CENPU",32.4881066128689,-9.74753642857151e-06,0.887191539365452
"DNAJC9",42.1563199659602,1.88566933333334e-05,0.064042303172738
"CENPC",57.4352627891848,6.40607424242425e-05,0.00470035252643952
"SURF6",35.6784714019918,-3.08571428571325e-07,0.720916568742656
"FAM110D",35.7827683689414,0,0.709165687426557
"ITPRIP",75.0668906922437,0.00011622541,0
"TMEM9",46.5637315079646,3.18963944444446e-05,0.0305522914218567
"RERE",61.713198398614,7.67173779999999e-05,0.00293772032902473
"LONRF3",35.7827683689414,0,0.709165687426557
"AGO2",35.7069719967797,-2.24250000000037e-07,0.716803760282021
"FOXQ1",53.0743809315316,5.11587033333334e-05,0.0099882491186839
"TCTEX1D4",35.7827683689414,0,0.709165687426557
"MEAF6",35.7827683689414,0,0.709165687426557
"E2F2",41.5456586492364,1.705e-05,0.0722679200940071
"ZCCHC4",38.0719832690888,6.7728365714288e-06,0.138660399529965
"APOLD1",47.2645792596908,3.39699120000001e-05,0.0287896592244419
"JUN",35.6872169543411,-2.82696969696961e-07,0.719153936545241
"MYO3A",53.2683216974554,5.17324935493828e-05,0.0099882491186839
"TTC4",35.7827683689414,0,0.709165687426557
"RRS1",35.7827683689414,0,0.709165687426557
"POLR2K",45.2205588073136,2.79225040123456e-05,0.0376028202115158
"WDR76",57.3592444226068,6.38358356349207e-05,0.00470035252643952
"EXO5",42.4756257383177,1.98013865608464e-05,0.0622796709753232
"CBX5",83.1863790683593,0.000140247605474748,0
"ATG10",91.6859008667468,0.000165394162083333,0
"C8orf76",35.7827683689414,0,0.709165687426557
"TCEANC2",35.7827683689414,0,0.709165687426557
"SP1",46.5387863238149,3.18225919999999e-05,0.0305522914218567
"ANKRD17",47.7921560995927,3.55307928571429e-05,0.0282021151586369
"HBQ1",35.7827683689414,0,0.709165687426557
"DSCC1",35.7827683689414,0,0.709165687426557
"GTPBP3",49.6627420794196,4.10650802380952e-05,0.0170387779083431
"KLRG2",33.7707601281137,-5.95269714285718e-06,0.853113983548766
"CASZ1",45.2704143950542,2.80700060000001e-05,0.035840188014101
"USP24",35.7827683689414,0,0.709165687426557
"RAD54B",42.2171669452403,1.90367142857144e-05,0.064042303172738
"EIF1AD",41.9324008160037,1.81942095238095e-05,0.0687426556991775
"UBXN11",39.8145957638009,1.19285035353538e-05,0.0987074030552292
"ADPRHL2",52.6668010113854,4.99528435476189e-05,0.0111633372502937
"RPRML",36.5180532067302,2.17540259740256e-06,0.219741480611046
"SPESP1",36.5110214309853,2.15459849206323e-06,0.220916568742656
"C1orf174",19.9760944815037,-4.6765386233766e-05,0.988249118683901
"ARHGAP39",59.1531447698672,6.91432420634921e-05,0.00411280846063455
"RBM38",37.2664898911843,4.38971604938265e-06,0.165687426556992
"ATF1",46.1809586884708,3.07639285714285e-05,0.0317273795534665
"TBC1D31",35.7827683689414,0,0.709165687426557
"ZC3H10",35.7827683689414,0,0.709165687426557
"ZMYM4",37.274101771877,4.41223644444433e-06,0.165099882491187
"ASCL2",35.3645182172203,-1.2374285714285e-06,0.752643948296122
"RAD21",35.7827683689414,0,0.709165687426557
"KLHL38",35.7827683689414,0,0.709165687426557
"TOPBP1",38.436085801257,7.85006481481476e-06,0.129847238542891
"FOXA3",42.0498276122371,1.85416266666667e-05,0.0669800235017627
"PTMA",51.6979687258899,4.70864710046295e-05,0.0117508813160987
"LRRC20",38.4603913324393,7.92197479166679e-06,0.128672150411281
"GNA15",35.7827683689414,0,0.709165687426557
"ZBED3",35.7827683689414,0,0.709165687426557
"PITPNM2",59.8590765399441,7.12318011188271e-05,0.00411280846063455
"SPTBN5",55.9912545915212,5.97885216161616e-05,0.00763807285546414
"TMCC3",33.110829922106,-7.9051566666668e-06,0.871327849588719
"KLF13",35.7827683689414,0,0.709165687426557
"PLCB2",45.4968719851102,2.874e-05,0.0352526439482961
"RB1",35.7827683689414,0,0.709165687426557
"FAM111B",34.6519872858418,-3.34551180555542e-06,0.813748531139835
"HSPBAP1",37.5747257258082,5.30165792658743e-06,0.156874265569918
"SAT2",35.7827683689414,0,0.709165687426557
"CHRAC1",35.3897043252175,-1.16291333333329e-06,0.750293772032902
"UBR4",35.7827683689414,0,0.709165687426557
"FGD2",35.7827683689414,0,0.709165687426557
"ALG10B",32.13085352827,-1.08044999999999e-05,0.893066980023502
"DDB2",36.7737601641988,2.9319333333333e-06,0.199764982373678
"RMND5A",36.9707564743686,3.51476363636349e-06,0.181551116333725
"CUZD1",54.4509302323799,5.52313412698413e-05,0.00940070505287893
"TROAP",44.6966572498162,2.63724967901238e-05,0.0428907168037603
"YBX3",35.0947029294342,-2.0357000000002e-06,0.77614571092832
"MTSS1L",35.322247525657,-1.36248999999999e-06,0.756756756756757
"PPM1E",38.2748381658103,7.37299999999985e-06,0.132784958871915
"FRMD8",35.7827683689414,0,0.709165687426557
"HSD17B2",39.5504364063023,1.11469656565655e-05,0.106345475910693
"GPBP1L1",34.9736352891828,-2.39388888888881e-06,0.786721504112809
"DCUN1D1",46.7146152582456,3.23427968253969e-05,0.0305522914218567
"STIL",91.5572323657316,0.000165013485402778,0
"HAUS2",35.2816021284953,-1.48274285714289e-06,0.760282021151586
"MTOR",34.5285230366386,-3.71079126543217e-06,0.823149236192714
"SAMD12",49.1065932302788,3.94196666666666e-05,0.0205640423031728
"STIP1",35.7827683689414,0,0.709165687426557
"MRPL34",35.7827683689414,0,0.709165687426557
"DSEL",36.2978701112806,1.52397222222223e-06,0.239130434782609
"ADORA2B",42.223823409442,1.9056408e-05,0.064042303172738
"ZC4H2",36.4610656249235,2.00679999999998e-06,0.22502937720329
"ITM2A",36.8041181463303,3.02175000000005e-06,0.196827262044653
"DCK",61.5438188122302,7.62162541181659e-05,0.00352526439482959
"OCA2",35.7827683689414,0,0.709165687426557
"NDUFAF1",35.7827683689414,0,0.709165687426557
"AGO4",46.9891920459373,3.31551555555556e-05,0.0293772032902467
"SOX4",35.7827683689414,0,0.709165687426557
"ZNF34",30.7157956304657,-1.49910688888888e-05,0.919506462984724
"KATNBL1",37.0035325287476,3.61173437500018e-06,0.17978848413631
"LIG1",44.7552345983188,2.65458028472221e-05,0.0428907168037603
"CNTF",27.5986751836817,-2.42133342857143e-05,0.950646298472385
"FAM76A",34.9362699216477,-2.50443750000007e-06,0.790834312573443
"NUDCD1",35.8059354132011,6.85416666665883e-08,0.289071680376028
"PER2",35.7827683689414,0,0.709165687426557
"TLX1",37.5325931076827,5.17700499999996e-06,0.159811985898942
"VPS13B",37.7732495900095,5.88900762786593e-06,0.147473560517039
"TSPAN31",34.0308467192923,-5.18320888888901e-06,0.840775558166863
"UPK3B",33.4538318460224,-6.89035636363622e-06,0.862514688601645
"KIF1B",67.6635041238137,9.43218625e-05,0.000587544065804968
"ARHGEF25",35.2578606193315,-1.55298412698412e-06,0.762044653349001
"YTHDC1",35.7827683689414,0,0.709165687426557
"INPP5B",48.6445788840209,3.80527580113637e-05,0.0223266745005876
"C19orf71",35.7827683689414,0,0.709165687426557
"MTF1",69.6925380695414,0.000100324931635803,0.000587544065804968
"DDX23",35.7827683689414,0,0.709165687426557
"CHMP5",53.3577341158497,5.19970277777779e-05,0.0099882491186839
"RSC1A1",42.8236480137763,2.08310399999998e-05,0.0581668625146886
"FOXN4",35.8316388615163,1.44587500000126e-07,0.285546415981199
"VPS37A",54.3705789399063,5.49936151515151e-05,0.00940070505287893
"E2F7",35.984516473117,5.9688888888898e-07,0.267920094007051
"FRZB",36.5457998286773,2.25749333333325e-06,0.217978848413631
"INO80",39.1086964463365,9.84004049382725e-06,0.112808460634548
"DBP",35.7827683689414,0,0.709165687426557
"ZNF600",32.5579410774668,-9.54092523809535e-06,0.886016451233843
"BTF3L4",57.3929398272047,6.39355263492065e-05,0.00470035252643952
"ZNF597",35.5326773631462,-7.39915466269947e-07,0.737367802585194
"ZNF16",35.7827683689414,0,0.709165687426557
"PUM2",37.4041704120585,4.79705555555565e-06,0.162162162162162
"DPP4",35.7827683689414,0,0.709165687426557
"RHEBL1",43.3509271244662,2.239104e-05,0.0540540540540541
"ZNF407",37.6176827741702,5.42874999999987e-06,0.154524089306698
"MRPL37",27.7035815153179,-2.390296e-05,0.948883666274971
"GPM6B",33.4951882271797,-6.76799999999989e-06,0.861339600470035
"GPATCH3",35.4647622812913,-9.40847999999939e-07,0.742655699177438
"FOXK1",37.1109183511026,3.92944444444443e-06,0.172150411280846
"GYPC",35.7827683689414,0,0.709165687426557
"EIF3J",18.5672676446474,-5.09335200000001e-05,0.990011750881316
"ZNF33A",35.7827683689414,0,0.709165687426557
"PHLDA3",66.3470252022206,9.04269478787878e-05,0.00117508813160982
"PAK2",52.2870847073239,4.88294206349207e-05,0.0117508813160987
"ABCD3",31.4791249052549,-1.27326944444444e-05,0.90716803760282
"TOE1",35.7827683689414,0,0.709165687426557
"STX16",30.3846504534204,-1.59707899999999e-05,0.923031727379553
"CDCA8",32.8460526401952,-8.68852272727283e-06,0.879553466509988
"RNF168",35.6002486767796,-5.39999999999985e-07,0.731492361927145
"DUSP18",36.7719870755227,2.92668750000002e-06,0.199764982373678
"KIAA1257",36.2350278301595,1.33804800000004e-06,0.243830787309048
"TSPYL5",35.7827683689414,0,0.709165687426557
"SLC29A2",35.7827683689414,0,0.709165687426557
"NCAPH",23.5831014449297,-3.609375e-05,0.974148061104583
"RNASEL",35.7827683689414,0,0.709165687426557
"SCAI",36.3671881845075,1.72905562500003e-06,0.23090481786134
"PLOD3",49.2932415666994,3.99718816111108e-05,0.0193889541715628
"AKR7A3",55.6022007254237,5.8637472733686e-05,0.00822561692126911
"ZNF165",23.1359163520825,-3.74167850505049e-05,0.976498237367803
"TMC8",34.5255611407787,-3.71955428571447e-06,0.823736780258519
"CSPP1",32.1638719414698,-1.07068122222225e-05,0.892479435957697
"MGAT2",35.7827683689414,0,0.709165687426557
"SLC1A4",36.0843962947604,8.92391818181792e-07,0.258519388954172
"EPM2A",37.6549667401759,5.53905777777786e-06,0.151586368977673
"CMBL",35.7827683689414,0,0.709165687426557
"NOC2L",35.7827683689414,0,0.709165687426557
"GDF15",57.5006201591808,6.42541077503607e-05,0.00470035252643952
"NOM1",37.8378049029117,6.08000000000008e-06,0.145710928319624
"KNTC1",35.7827683689414,0,0.709165687426557
"ATP13A4",36.273948116274,1.45319696969692e-06,0.240893066980024
"KPNA1",35.7827683689414,0,0.709165687426557
