"","Overall","importance","pvalue"
"CCDC136",90.863663207942,0.000271414025537919,0
"RAC3",42.1962394352867,5.77535714285715e-06,0.20857908847185
"MAN1B1",66.1804340145275,0.00013668694063492,0.00857908847184985
"CHTF18",41.1381413985512,0,0.699195710455764
"EDC4",41.7006357050737,3.07023111111127e-06,0.230563002680965
"FBXL8",41.196157616425,3.16666666666521e-07,0.288471849865952
"ATP2A1",41.1381413985512,0,0.699195710455764
"ELOF1",41.4613069995346,1.76391666666675e-06,0.256300268096515
"RAVER1",54.314155414011,7.19178979797979e-05,0.0418230563002681
"NKD1",40.5447416677076,-3.23892045454532e-06,0.772117962466488
"FXR2",59.6577832980266,0.000101084722222222,0.0176943699731903
"SCAND1",56.1982581088606,8.22017899999998e-05,0.0327077747989276
"C11orf84",41.6939905071218,3.03396e-06,0.231099195710456
"DNPH1",23.9192491602153,-9.39849133333333e-05,0.975871313672922
"NCAPH2",41.1381413985512,0,0.699195710455764
"PIN1",49.295404491761,4.45243314285715e-05,0.0804289544235925
"TRABD",41.1381413985512,0,0.699195710455764
"TIGD3",41.1381413985512,0,0.699195710455764
"LAMTOR4",41.1381413985512,0,0.699195710455764
"PPAN",32.9468169656521,-4.47102465277776e-05,0.921179624664879
"TMEM11",41.1381413985512,0,0.699195710455764
"FBXL15",38.0765275367131,-1.67110351515152e-05,0.851474530831099
"CCDC142",41.1381413985512,0,0.699195710455764
"RANBP10",45.4709594223376,2.36495775000001e-05,0.122252010723861
"UQCC1",58.1556165958546,9.28855299999996e-05,0.0257372654155495
"SPNS1",43.3176745288142,1.1896423388889e-05,0.175871313672922
"RHBDD3",40.7522564855407,-2.10625396825392e-06,0.755495978552279
"CAMK2N2",41.1381413985512,0,0.699195710455764
"MRPL28",39.9416526732999,-6.53072727272708e-06,0.795174262734584
"TBCC",45.8204776688962,2.55573333333334e-05,0.115817694369973
"STOM",44.8776863544532,2.04113484027777e-05,0.132975871313673
"KDM6B",50.8310831353064,5.29064400000001e-05,0.0664879356568364
"TERT",42.5083725036105,7.4790555555555e-06,0.198391420911528
"ZNF57",41.4111397216207,1.49009142857137e-06,0.263270777479893
"GPR87",41.1381413985512,0,0.699195710455764
"ANAPC2",41.1381413985512,0,0.699195710455764
"SETD9",41.1381413985512,0,0.699195710455764
"TMEM208",44.1038781108053,1.61877142857145e-05,0.152815013404826
"SSC4D",53.9805120572459,7.00967911666666e-05,0.0450402144772118
"RPL15",30.0599059180513,-6.04677111111105e-05,0.94745308310992
"ZSWIM3",34.6807669231696,-3.52459247685184e-05,0.906166219839142
"CNPY3",41.1381413985512,0,0.699195710455764
"AAR2",41.1381413985512,0,0.699195710455764
"MDFI",44.3080432157718,1.73020972222222e-05,0.14745308310992
"ZNHIT2",42.9308529534174,9.78505688888887e-06,0.185522788203753
"SLC41A2",38.7967289845666,-1.278e-05,0.828954423592493
"PIN4",41.3723647787002,1.27844833333346e-06,0.264343163538874
"EIF3G",42.8496248277308,9.34169396825402e-06,0.186595174262735
