"","Overall","importance","pvalue"
"EDC4",46.2849606923198,3.16455977142853e-05,0.141369863013699
"FBXL8",53.9296844712813,0.000127562646904762,0.0438356164383562
"RAC3",40.3763518986502,-4.24887119999999e-05,0.874520547945206
"CCDC136",93.0439555081851,0.000618322753819445,0
"UQCC1",43.7627620280821,0,0.69041095890411
"AAR2",43.5959165517151,-2.09338181818186e-06,0.734246575342466
"SCAND1",43.7627620280821,0,0.69041095890411
"ZNHIT2",46.4434738223515,3.36344349999997e-05,0.13972602739726
"TBCC",43.4649696759133,-3.73635000000005e-06,0.756164383561644
"CNPY3",64.2595198661498,0.000257169334909091,0.00821917808219175
"DNPH1",43.7627620280821,0,0.69041095890411
"CCDC142",67.6548133526922,0.00029976950488005,0.00438356164383558
"RANBP10",43.7627620280821,0,0.69041095890411
"MAN1B1",46.4430724511261,3.36293990634917e-05,0.13972602739726
"TRABD",48.7086130434814,6.20547515972219e-05,0.0980821917808219
"LAS1L",43.9063002770787,1.8009499999998e-06,0.27013698630137
"MMP7",67.4920256195894,0.000297727034876543,0.00438356164383558
"CCL28",41.2479216694222,-3.15532743055555e-05,0.858082191780822
"VAC14",43.7627620280821,0,0.69041095890411
"DVL2",100,0.000705599061111111,0
"SOGA1",43.7268904911092,-4.50074074074269e-07,0.705753424657534
"AARS2",55.0874842343639,0.000142089363636364,0.04
"DDX28",43.7627620280821,0,0.69041095890411
"TERF2IP",43.7627620280821,0,0.69041095890411
"TTI1",40.9304679210577,-3.55363125000001e-05,0.862465753424658
"PRMT7",77.2451826888844,0.000420098238,0.000547945205479405
"FAM69B",59.5004495426293,0.000197458088888889,0.0202739726027398
"GPR87",69.3035639133658,0.000320456097777778,0.00273972602739725
"MTHFSD",43.7627620280821,0,0.69041095890411
"HOXA10",43.7627620280821,0,0.69041095890411
"CHTF18",56.7107776435896,0.000162456549984127,0.0312328767123288
"AARS",42.1126284442145,-2.07039454545455e-05,0.836164383561644
"LRRC73",43.7627620280821,0,0.69041095890411
"FXR2",43.7627620280821,0,0.69041095890411
"THAP11",43.7627620280821,0,0.69041095890411
"C2orf15",43.7627620280821,0,0.69041095890411
"GRHL3",89.6689844920446,0.000575977566428572,0
"TTLL12",65.5277842823052,0.000273082032857143,0.00602739726027401
"FAM192A",64.9092526637776,0.00026532142182716,0.00712328767123283
"MANBAL",58.3292121148453,0.000182762772063492,0.0235616438356164
"MICB",66.1964441894841,0.000281471595,0.00438356164383558
"POLR2C",42.851198793076,-1.14372288888887e-05,0.805479452054795
"SSC4D",52.127920306141,0.000104956218333333,0.0558904109589041
"FBXO31",46.8548886901523,3.87963873809525e-05,0.132054794520548
"ZDHHC24",29.3657116902186,-0.000180637342222222,0.974794520547945
"TRAPPC2L",43.7627620280821,0,0.69041095890411
"SNX18",42.8580071529361,-1.13518055555555e-05,0.803835616438356
"CAMK2N2",43.7627620280821,0,0.69041095890411
"EPB41L4B",43.7627620280821,0,0.69041095890411
"GSE1",43.4079951250956,-4.4512000000001e-06,0.764931506849315
"TMEM198",43.7117885504284,-6.39555555555393e-07,0.711232876712329
"DHX38",46.7709174742194,3.77428148148149e-05,0.134246575342466
"TERT",41.291828584847,-3.10023817045455e-05,0.855890410958904
"RAVER1",43.549633491802,-2.6740875000002e-06,0.73972602739726
"NKD1",43.83784712962,9.42079999999956e-07,0.284931506849315
"WDR77",50.0798015063076,7.92588200555557e-05,0.0783561643835616
"NEBL",31.4610185296547,-0.000154347883636364,0.966027397260274
"SRC",43.7627620280821,0,0.69041095890411
