"","Overall","importance","pvalue"
"OSBPL3",52.082374020234,7.824003625e-05,0.0229817324690631
"MCEE",47.4960118824514,5.37986444444445e-05,0.0436063641720683
"RBM38",41.7849692849294,2.33636666666666e-05,0.112551561579257
"OCA2",46.2128118242044,4.69602844444446e-05,0.0548025928108427
"GLCCI1",37.203065063389,-1.05396825396831e-06,0.720683559222157
"FBXW5",36.7840662434371,-3.28687398989902e-06,0.753093694755451
"NPEPL1",37.4008394018097,0,0.703594578668238
"EML6",38.9519256354357,8.2659644444445e-06,0.197407189157336
"MTBP",50.3879653812295,6.92102858333334e-05,0.028285209192693
"TRAPPC10",54.9565710649517,9.35570509090911e-05,0.0141426045963465
"ARHGEF2",37.4008394018097,0,0.703594578668238
"PPP1R16A",63.9571217598867,0.000141522296433081,0.00294637595757219
"ILVBL",27.4371409868682,-5.30980000000001e-05,0.955804360636417
"DSTYK",33.4444292893459,-2.10842857142857e-05,0.878020035356512
"EFCAB11",67.0346618916321,0.000157922956018518,0.00117855038302883
"MED30",37.4008394018097,0,0.703594578668238
"HGH1",30.2219565076108,-3.82573125000001e-05,0.927519151443724
"PTP4A3",47.2555293670605,5.25170780952382e-05,0.0465527401296405
"EVA1B",36.4741686056208,-4.93836363636357e-06,0.771950500883913
"RILPL2",43.768085714848,3.39319829494951e-05,0.0824985268120212
"MIIP",37.4008394018097,0,0.703594578668238
"LRRC14B",50.1939075114097,6.81761231818183e-05,0.0288744843842075
"CYBRD1",26.4578649244132,-5.83167047619046e-05,0.961697112551562
"LRP12",37.4008394018097,0,0.703594578668238
"CELSR3",43.0157062461703,2.99224431818181e-05,0.0883912787271656
"TMEM65",41.0820791000242,1.96178625000001e-05,0.129051266941662
"PPP1R8",37.4008394018097,0,0.703594578668238
"CRIPAK",43.431033386071,3.21357820000001e-05,0.0836770771950501
"AP4M1",83.8123050570887,0.00024733346,0
"PDXK",37.4008394018097,0,0.703594578668238
"ATAD3B",40.6912914129613,1.75352980000001e-05,0.138479670005893
"PIK3CD",60.2252163335687,0.000121634428888889,0.00589275191514438
"PRDM15",40.1592681547698,1.47000685714285e-05,0.15674720094284
"WDYHV1",57.7945714568179,0.000108681168333333,0.00824985268120215
"PDE9A",11.6807063500687,-0.000137066335,0.997053624042428
