"","Overall","importance","pvalue"
"GALNT1",100,0.000283547012276375,0
"KIDINS220",70.2080883673696,0.000160853207491582,0
"ACAA2",63.0932256660755,0.0001315516445,0
"ZNF433",34.9360815053456,1.55904e-05,0.103179753406879
"ACSS2",49.7422480432478,7.6567517857143e-05,0.0084360804672291
"PIP5K1B",73.5513747712131,0.000174622063093434,0
"FADS2",50.3059282298152,7.88889555555554e-05,0.00778715120051909
"TRIM24",36.4702095028044,2.19084907407407e-05,0.0785204412719014
"EPHB4",71.3049966481991,0.000165370670222222,0
"MBOAT2",73.8156394339954,0.0001757104,0
"RPS17",65.9956604295498,0.00014350491452381,0
"NPC1",70.0135809757205,0.000160052156111111,0
"NET1",49.3392768302026,7.49079374999999e-05,0.00973393900064889
"TOP1",92.1238815462465,0.000251110324361111,0
"IL12RB2",84.9582439810621,0.000221599652222222,0
"SPDEF",31.1504965694799,0,0.72485399091499
"DUSP6",42.7824061474954,4.79043862857143e-05,0.0227125243348475
"AKT3",46.9178066023822,6.49354523809524e-05,0.0123296560674886
"GGCT",56.1681188806749,0.000103031564603175,0.0019467878001298
"DISC1",39.9218867958721,3.6123739e-05,0.0389357560025957
"VWDE",37.8711336878567,2.76780002840911e-05,0.0577547047371837
"ASF1A",57.7929387959309,0.000109723157272727,0.0012978585334199
"TRAPPC8",47.5781808788334,6.76551111111112e-05,0.0116807268007787
"GATA6",52.3385673040062,8.72600941666666e-05,0.00324464633354959
"ST6GALNAC4",33.6345059286526,1.02300437499998e-05,0.141466580142764
"MMP15",37.4841355652764,2.60842028571429e-05,0.0622972096041532
"ANXA5",33.8329955144962,1.10474952380955e-05,0.133679428942245
"FHAD1",54.067891150554,9.43820716031745e-05,0.0025957170668397
"SLC39A6",31.1504965694799,0,0.72485399091499
"KIAA1324",55.718265834678,0.000101178908,0.0019467878001298
"COQ6",33.3187681934222,8.92972222222221e-06,0.151200519143413
"HNMT",35.1960879419556,1.66611999999999e-05,0.099935107073329
"SETD3",93.5143682615257,0.000256836848650793,0
"C11orf80",41.2532106552281,4.16066093749998e-05,0.0311486048020766
"PXDN",31.1504965694799,0,0.72485399091499
"ZFR",35.0081126123874,1.58870500000001e-05,0.102530824140169
"DSC1",64.9041826782899,0.000139009816666667,0
"PPP1R13B",72.5063958857121,0.000170318464285714,0
