"","Overall","importance","pvalue"
"DEDD",39.3181815877796,2.7069629629628e-06,0.196132596685083
"STX6",47.3314153015985,3.17221574603175e-05,0.0353591160220994
"SHPK",59.585207312031,7.60920299999999e-05,0.00276243093922657
"ISG20L2",40.2624336530638,6.12601428571424e-06,0.148618784530387
"ASPN",48.3645683248915,3.54631111111112e-05,0.030939226519337
"GPR89A",37.7074679777259,-3.12528533333345e-06,0.812154696132597
"RPL39",38.5691500464061,-5.21250000007356e-09,0.695027624309392
"ENOX2",41.8588659147005,1.19065511111112e-05,0.0972375690607735
"IGSF9",47.814696892427,3.34720763888889e-05,0.0331491712707183
"MPP6",60.202880093017,7.83285672727272e-05,0.00276243093922657
"SLC19A2",52.7502865154495,5.13434000000001e-05,0.0132596685082873
"KIAA0895",51.738613143028,4.76802222222221e-05,0.0149171270718232
"APH1A",38.5705896018341,0,0.694475138121547
"NUP210",40.0629770251682,5.40379987654305e-06,0.156353591160221
"TMEM126A",54.8138993862209,5.88155555555558e-05,0.00994475138121542
"CUEDC2",56.2266575263729,6.3931025e-05,0.00718232044198897
"ATF6",39.2203503996476,2.35272507936513e-06,0.206077348066298
"NODAL",38.5705896018341,0,0.694475138121547
"ZDHHC1",43.0581933858358,1.62492074074074e-05,0.0767955801104973
"PI4KB",42.8341490089807,1.54379629831647e-05,0.0784530386740332
"OPN3",38.5705896018341,0,0.694475138121547
"POMK",41.0908017712427,9.12546031746042e-06,0.11878453038674
"ZBTB37",35.415890530861,-1.142288e-05,0.898895027624309
"PEX19",36.1856915877267,-8.63550000000002e-06,0.875690607734807
"SNX27",65.0995609629399,9.60590058080808e-05,0.00165745856353594
"FGD1",38.5705896018341,0,0.694475138121547
"IMPDH2",37.8796447293069,-2.50184888888905e-06,0.798895027624309
"PYGO2",43.88961621897,1.92597142857143e-05,0.0679558011049723
"CRTC2",31.0740146770197,-2.71444197530863e-05,0.956353591160221
"U2AF1L4",43.0756952575597,1.63125801019117e-05,0.0767955801104973
"UBQLN4",38.5705896018341,0,0.694475138121547
"ANKRD52",35.3524469258077,-1.16526035555555e-05,0.901657458563536
"ZNF687",39.6447994407517,3.88961666666665e-06,0.176243093922652
"OSBPL5",42.3439018880194,1.36628225000002e-05,0.0878453038674033
"CBWD1",38.5979271161363,9.89866666667449e-08,0.300552486187845
"PHF2",38.3608943611548,-7.59287499999983e-07,0.738674033149171
"SLC44A4",38.5705896018341,0,0.694475138121547
"YY1AP1",33.7195893319619,-1.75650332142856e-05,0.92817679558011
"JTB",41.9153263405405,1.21109892063491e-05,0.0950276243093923
"FAM167A",41.5174238960897,1.06702204444444e-05,0.107182320441989
"CTC1",38.5705896018341,0,0.694475138121547
"COX6B1",72.9562064041306,0.000124507208333333,0.000552486187845314
"PEMT",38.5705896018341,0,0.694475138121547
"TRIM4",34.7243073902198,-1.392704e-05,0.913812154696133
"TOMM40L",38.692956818863,4.43080625000203e-07,0.279005524861878
"SFXN2",42.5106414654347,1.42665714285715e-05,0.085635359116022
"MSTO1",38.5705896018341,0,0.694475138121547
"PIGC",52.9416833154734,5.20364305014429e-05,0.0132596685082873
"HDGF",38.364822932083,-7.4506250000006e-07,0.738121546961326
"LIMD1",38.5705896018341,0,0.694475138121547
"PPRC1",41.5271097306458,1.07052919753083e-05,0.107182320441989
"PYY",38.5705896018341,0,0.694475138121547
"RAP1GDS1",35.3168491174143,-1.17815000000001e-05,0.902762430939226
"H1FX",38.4962432317826,-2.69201481481574e-07,0.711049723756906
"HUS1",38.0543686747899,-1.86918928571411e-06,0.782872928176796
"FAM76B",58.1411271658574,7.08631464047618e-05,0.0044198895027624
"EREG",32.2367780552206,-2.29341587301588e-05,0.940331491712707
"TBCB",38.5705896018341,0,0.694475138121547
"MESP1",35.3910883322517,-1.15126865178572e-05,0.9
"FLAD1",37.8457069895364,-2.62473437499988e-06,0.802209944751381
"CPQ",39.5130568251525,3.41258857142868e-06,0.183425414364641
"EXOC6",38.9915243544833,1.52416666666677e-06,0.228729281767956
"TTC9C",41.1497006969056,9.33872799999991e-06,0.118232044198895
"ACOT11",38.5705896018341,0,0.694475138121547
"EIF4EBP2",48.7547020381405,3.68757500000001e-05,0.0303867403314917
"NEIL1",38.5705896018341,0,0.694475138121547
"SEC22C",80.9610022295547,0.00015349185,0
"GEMIN6",38.5705896018341,0,0.694475138121547
"PCDHB2",47.248874860208,3.14232859876544e-05,0.03646408839779
"ATRIP",40.3680218386683,6.50833955555563e-06,0.145303867403315
"APOOL",38.5705896018341,0,0.694475138121547
"ETV3",37.2816537880884,-4.66712000000014e-06,0.835911602209945
"RASSF9",38.5705896018341,0,0.694475138121547
"UROS",38.5705896018341,0,0.694475138121547
"THAP10",38.5705896018341,0,0.694475138121547
