"","Overall","importance","pvalue"
"ERAL1",45.9368312812645,1.48345306666666e-05,0.0285075461151482
"CDC37",44.4873306394666,1.28045760634921e-05,0.0363331470095025
"SEC61B",48.6780437736456,1.86734644047619e-05,0.0173281162660704
"PCGF1",36.4501395587143,1.54888388888907e-06,0.193963107881498
"RNF181",35.3441501993936,0,0.697037451089994
"PTEN",35.3441501993936,0,0.697037451089994
"OASL",34.4946707582806,-1.18965432098772e-06,0.791503633314701
"TUBB3",63.8988827319326,3.99895033333333e-05,0.00111794298490775
"PSMD3",77.5491954108049,5.91060971851851e-05,0
"MED31",53.1151659945455,2.48874365945166e-05,0.00782560089435436
"SAMHD1",35.3441501993936,0,0.697037451089994
"PSMD7",35.3441501993936,0,0.697037451089994
"CDC123",34.9585601249423,-5.39999999999985e-07,0.747903856903298
"GRINA",66.3585295355897,4.3434118125e-05,0.00111794298490775
"CMPK2",23.1883635976749,-1.70235833333332e-05,0.978759083286752
"TMEM11",35.7444974248424,5.60666666666654e-07,0.249301285634433
"DYNLRB1",35.3441501993936,0,0.697037451089994
"VCP",36.0524934472744,9.91999999999882e-07,0.217998882057015
"ZNF830",35.3441501993936,0,0.697037451089994
"COPRS",50.425194875964,2.11202638888888e-05,0.0128563443264393
"UGT8",42.1276174886884,9.49991345454548e-06,0.0570150922302962
"PSMA6",35.3441501993936,0,0.697037451089994
"GADD45GIP1",37.0067408146726,2.32837666666663e-06,0.168250419228619
"FLCN",45.3663859928614,1.40356500000001e-05,0.0313024035774175
"VAC14",37.7801511975243,3.4114999999999e-06,0.129681386249301
"SLC24A1",35.3441501993936,0,0.697037451089994
"NNT",34.8817311325945,-6.47595238095322e-07,0.760201229737283
"NECAB3",31.275204244474,-5.69835937499996e-06,0.906651760760201
"MRPL53",41.2237255822652,8.23405714285719e-06,0.0642817216321968
"FXR2",37.1315258157267,2.50313194444463e-06,0.160983789826719
"ATP5C1",71.8795991818945,5.11661055555557e-05,0
"RCOR2",39.1326682669694,5.30563386363636e-06,0.0978200111794298
"ZC2HC1A",49.693889920497,2.00961071428571e-05,0.0156512017887088
"TMEM199",46.6166167840915,1.57865369444448e-05,0.0251537171604248
"CCDC94",35.3441501993936,0,0.697037451089994
"NKIRAS2",35.3441501993936,0,0.697037451089994
"WRAP53",39.3981385619323,5.67741200000027e-06,0.0944661822247065
"NDUFB1",38.5245950611061,4.45405714285729e-06,0.112912241475685
"PHF23",29.7330563569858,-7.8580619047619e-06,0.933482392397988
"CHMP5",57.4704321190345,3.09867733333336e-05,0.00335382895472336
"NANS",28.2805095813057,-9.89228246913565e-06,0.945779765231973
"ALG10B",53.2399076880699,2.50621312222221e-05,0.00782560089435436
"SNRPB2",55.268948097307,2.79037028641975e-05,0.00503074343208498
"FRA10AC1",45.4749289754375,1.41876591269843e-05,0.0313024035774175
"TXNDC17",42.3231258014099,9.77371326388909e-06,0.0553381777529346
"KREMEN2",35.4620675714671,1.65137500000023e-07,0.288988261598658
"FARSA",76.6459473725908,5.78411425793652e-05,0
"FBXL15",48.7710062979792,1.88036538636362e-05,0.0167691447736166
"PNPLA3",33.4278843748476,-2.68363636363644e-06,0.846841811067636
"KPNB1",35.3441501993936,0,0.697037451089994
"NOP10",58.3715761562561,3.22487813888888e-05,0.00335382895472336
"CLDND2",36.3040790699258,1.34433333333339e-06,0.202347680268306
"NSUN5",29.8742716024484,-7.66029687499992e-06,0.930128563443264
"KRI1",33.0646612835661,-3.19231249999996e-06,0.863051984348798
"GOLGA1",35.3441501993936,0,0.697037451089994
"MRPL10",35.3441501993936,0,0.697037451089994
"AGO4",35.7928945329525,6.28444444444431e-07,0.244270542202348
"PLIN2",35.3441501993936,0,0.697037451089994
"VAT1",40.9786684688109,7.89086666666661e-06,0.0659586361095584
"TUBG1",36.6215244293676,1.78889999999998e-06,0.185019564002236
"GCDH",37.5118249358384,3.03572222222237e-06,0.141419787590833
"TTC7B",35.5471460322397,2.84285714285737e-07,0.277249860257127
"RNFT1",46.4431808766135,1.55436484567901e-05,0.0257126886528787
"CKS2",35.09403111821,-3.50279513888774e-07,0.728339854667412
"SNX7",38.9087984519941,4.99211516049369e-06,0.103968697596423
"EXOSC4",33.4046559267599,-2.71616666666663e-06,0.848518725544997
"GNB1L",33.2163056482071,-2.97994200000029e-06,0.855785354946898
"TLX3",35.3441501993936,0,0.697037451089994
"COQ5",36.3848026252927,1.45738271604934e-06,0.197316936836221
"EEF1A1",35.3853869156891,5.77500000000786e-08,0.294577976523197
"FAM171A2",63.0325990920129,3.87763155555558e-05,0.00167691447736162
"GPT2",35.7255714778627,5.34161805555877e-07,0.25321408608161
"SLC2A4",35.7385232866417,5.52300178932263e-07,0.25041922861934
"ZNF462",32.1122606852084,-4.52610285714283e-06,0.888764673001677
"NFS1",34.6324239143162,-9.96737777777757e-07,0.782560089435439
"SCO1",38.2156524426211,4.02139814814828e-06,0.120178870877585
"CLPP",18.2718455182292,-2.3908925925926e-05,0.991615427613192
"AHSA1",37.9159804583188,3.60172222222221e-06,0.127445500279486
"MKNK2",36.6301295938685,1.800951111111e-06,0.184460592509782
"KCNH2",35.3441501993936,0,0.697037451089994
"SIRT6",41.8526339595506,9.11481250000001e-06,0.0598099496925657
"CDK5RAP1",33.0252867920619,-3.24745454545461e-06,0.865846841811068
"PTCD3",35.716030404531,5.20799999999877e-07,0.254332029066518
"HINT2",41.3280057090225,8.38009634920622e-06,0.0637227501397428
"LRRC37B",41.8460126514487,9.10553968253947e-06,0.0603689211850196
"NKD1",35.3441501993936,0,0.697037451089994
"HEY2",38.6367496353713,4.61112412698395e-06,0.110117384013415
"ARHGEF1",47.7126718435772,1.73215083333336e-05,0.0206819452207937
"MAEA",24.2470858199815,-1.55408947530862e-05,0.973728339854667
"ZDHHC11",30.976118510758,-6.11721428571421e-06,0.911123532699832
"MAPK8IP1",35.3441501993936,0,0.697037451089994
"UBAP1",35.9919766605457,9.07249206349325e-07,0.224706539966462
"RERG",35.3441501993936,0,0.697037451089994
"DVL2",33.3563489771969,-2.78381818181828e-06,0.852431525992174
"TUBB4A",35.3441501993936,0,0.697037451089994
"EIF2S2",34.5233941837757,-1.14942857142863e-06,0.788149804359978
"CDK6",70.2253092373672,4.88493535714287e-05,0.000558971492453875
"WDR92",42.6414795487855,1.02195520833335e-05,0.0514253773057574
"ATP6V0D1",33.9814145782462,-1.9084444444446e-06,0.820570150922303
"IFIT1",48.8686016913851,1.89403314285714e-05,0.0162101732811627
"IFIT3",37.2825852894153,2.71468333333336e-06,0.152040245947457
"CARM1",35.3441501993936,0,0.697037451089994
"CTBP1",63.2904264681619,3.91373901587302e-05,0.00167691447736162
