"","Overall","importance","pvalue"
"SEMA4G",55.7960310848386,0.000270080401126984,0
"DEGS1",26.9785979356873,5.71763875e-05,0.0432775533756492
"GPRC5B",20.6791351564619,1.06357777777777e-05,0.193883439122908
"LRRC75B",32.1989185287785,9.57442641369049e-05,0.0121177149451818
"KCNK3",19.239538927725,0,0.698211194460473
"PRPF4",25.8821137004859,4.90755308641977e-05,0.0542412002308136
"CAMP",36.5815472395425,0.000128123249382716,0.00346220427005195
"PDCL",37.6563651293972,0.000136064034444445,0.00115406809001728
"VSIG10L",18.8581712048577,-2.81755555555563e-06,0.735141373341027
"CRABP1",100,0.000596660577493506,0
"EGF",19.239538927725,0,0.698211194460473
"RAI1",23.1139515003949,2.86242699999999e-05,0.101557991921523
"LLPH",19.239538927725,0,0.698211194460473
"ARID5A",23.4875608761057,3.13845066666667e-05,0.0969417195614541
"MAPK10",44.1290358626082,0.000183884309444445,0
"LIMK1",19.239538927725,0,0.698211194460473
"AMN",33.4776320023653,0.000105191435555556,0.00865551067512982
"LMBRD2",15.3748948611296,-2.85520999999997e-05,0.898442008078477
"UNC119",19.239538927725,0,0.698211194460473
"PIGQ",34.7048588366234,0.000114258222222222,0.0069244085401039
"KCNQ5",19.239538927725,0,0.698211194460473
"C16orf74",19.239538927725,0,0.698211194460473
"PDZD8",19.239538927725,0,0.698211194460473
"CA8",22.1009248001417,2.11399999999999e-05,0.130409694171956
"NGFR",19.239538927725,0,0.698211194460473
"UROS",24.2622267338285,3.71077599999998e-05,0.0778995960761685
"CRY1",22.312134946831,2.27004265555557e-05,0.12463935372187
"LIAS",33.8750173500653,0.000108127329777778,0.00807847663012118
"FOXQ1",33.7008369444807,0.00010684048,0.00865551067512982
"WNT9A",21.0385574663941,1.32912000000001e-05,0.180611656087709
"TSC22D3",6.8047133151606,-9.18688443888889e-05,0.984997114829775
"ZMIZ1",22.2533189801615,2.22658925252526e-05,0.126947489901904
"NEK7",10.924232170079,-6.14337222222223e-05,0.962492787074437
"PLAC9",28.5836578236416,6.90346154861112e-05,0.0294287362954414
"MSRB2",18.7743088065513,-3.4371333333334e-06,0.740911713791114
"PDCD6",19.239538927725,0,0.698211194460473
"SLC36A4",27.9306823739149,6.42104143392856e-05,0.033467974610502
"MERTK",48.625280253142,0.000217102690555556,0
"CNTRL",20.7969254370947,1.15060157126825e-05,0.192152336987882
"ZNF547",22.4054698543335,2.33899874999999e-05,0.122908251586844
"CPA4",3.52058238409928,-0.000116132096875,0.993652625504905
"RASD1",32.3636135321209,9.69610354938273e-05,0.0115406809001731
"RRM2B",18.348429734419,-6.58354000000005e-06,0.777841892671668
"MTSS1",19.239538927725,0,0.698211194460473
"GJB1",22.7252674116693,2.57526609259258e-05,0.113675706866705
"DESI2",40.6671195919844,0.000158307573826058,0
"DCUN1D3",19.239538927725,0,0.698211194460473
"MACROD1",24.3980985786508,3.81115850440918e-05,0.0761684939411426
