"","Overall","importance","pvalue"
"LSM11",44.4643702115837,1.70289484126984e-06,0.25887802367473
"SLC25A29",64.0198189366501,3.9276235e-05,0.0149253731343284
"CDK13",68.9804667612088,4.88074971428571e-05,0.00720535254760679
"NSMCE1",44.2221117550981,1.23742562500007e-06,0.271744724652599
"MYLIP",47.0326385037379,6.63749999999985e-06,0.169840452907874
"ZC3H10",100,0.000108407636742424,0
"NUDCD3",56.430784109787,2.46948571428571e-05,0.0401441070509522
"MCM4",46.5999910496935,5.80622222222216e-06,0.181677817807514
"ZNF341",51.8190557730125,1.58339999999999e-05,0.0802882141019042
"RP9",29.2123143100159,-2.76020161616162e-05,0.96551724137931
"KBTBD2",49.3615400492699,1.11121919999999e-05,0.113741636644364
"SAV1",58.15886349331,2.80151447727273e-05,0.0334534225424601
"ELOVL2",48.1004875184684,8.68923784722209e-06,0.143592382913021
"PANK1",32.4363103194265,-2.14075124999999e-05,0.946989191971179
"GOLGA4",36.3952593340618,-1.3800888888889e-05,0.906330416881112
"THAP1",37.660353105228,-1.137017e-05,0.888317035512095
"BMF",43.5780802886769,0,0.691199176531137
"NOD1",47.703830467297,7.927111111111e-06,0.151312403499743
"GMEB1",43.5780802886769,0,0.691199176531137
"SP1",43.3513778675403,-4.35580246913592e-07,0.703551209469892
"C19orf71",43.5780802886769,0,0.691199176531137
"AVL9",45.1280560571895,2.97808388888887e-06,0.230056613484303
"ARHGAP19",43.5780802886769,0,0.691199176531137
"ARID1A",43.5780802886769,0,0.691199176531137
"RCOR1",25.4333954774299,-3.48627343750001e-05,0.980442614513639
"NFE2L3",43.5780802886769,0,0.691199176531137
"ZMIZ2",43.5780802886769,0,0.691199176531137
"PRKDC",43.1585340408116,-8.06105454545403e-07,0.717447246525991
"UNG",56.2965015717899,2.44368501010102e-05,0.0401441070509522
"BPTF",43.5780802886769,0,0.691199176531137
"ZHX2",62.043923536696,3.54798000000001e-05,0.0190427174472465
"MTA1",45.5830361139293,3.85227095959584e-06,0.21358723623263
"DDX56",43.332505543163,-4.71841049382693e-07,0.705609881626351
"ZNF106",50.6635573216544,1.36138547619049e-05,0.0946989191971178
"NANP",36.4751549165183,-1.36473795555556e-05,0.905815748841997
"LRRFIP2",43.5780802886769,0,0.691199176531137
"MOCOS",49.2173179306508,1.0835087301587e-05,0.116314976839938
"ANKRD9",0,-8.37298114285714e-05,1
"CDCA4",98.028580949883,0.000104619802486773,0
"AES",43.5780802886769,0,0.691199176531137
"ZNF24",43.5780802886769,0,0.691199176531137
"CEP76",43.5780802886769,0,0.691199176531137
"RECQL5",57.9229254538502,2.75618194444445e-05,0.0349974266598044
"KLF13",43.5780802886769,0,0.691199176531137
"PIAS4",54.7644259466982,2.14931590909091e-05,0.0530108080288214
"SPPL3",25.1119828823258,-3.54802883333334e-05,0.981471950591868
"UBR7",42.8737234096738,-1.35333333333332e-06,0.730828615542975
"PUM2",44.2244267366236,1.2418735714288e-06,0.271744724652599
"AZIN2",43.5780802886769,0,0.691199176531137
"PTPN2",43.5780802886769,0,0.691199176531137
"DPH6",42.0960618028969,-2.84751250000004e-06,0.765826042202779
"CHAC2",25.2951571500111,-3.51283419696968e-05,0.980957282552753
"EYA3",43.5780802886769,0,0.691199176531137
"MCM5",43.5780802886769,0,0.691199176531137
"DIP2B",39.2087400227347,-8.39513888888899e-06,0.853834276891405
"RALA",43.6798031853003,1.95447777777913e-07,0.302624806999485
"VSIG10",45.3743827849534,3.4513697777776e-06,0.220277920741122
"LRRC37A",43.5780802886769,0,0.691199176531137
"C9orf85",43.5780802886769,0,0.691199176531137
"CBX3",41.1702662242979,-4.62631250000012e-06,0.800823468862584
"TSSC4",43.0741447476848,-9.68248888888912e-07,0.721564590838909
"FANCC",52.1352356774419,1.64415e-05,0.0782295419454452
"SMARCC2",43.3043504640089,-5.25937499999962e-07,0.706639217704581
"FBXL14",46.2761533346888,5.1840087003967e-06,0.18991250643335
"VPS41",31.5735594523885,-2.30651799999999e-05,0.95573854863613
"SUMF2",46.3651949090007,5.35509090909092e-06,0.188883170355121
"INO80",39.6084288951075,-7.62718688888864e-06,0.846628924343798
"EIF5",51.9299111241608,1.60469946428572e-05,0.0792588780236747
"TNPO3",35.9806764942918,-1.45974577777779e-05,0.911477097272259
"GPATCH3",52.3853384635909,1.69220411111113e-05,0.0730828615542974
"IL17RA",40.422931576164,-6.06222222222219e-06,0.822954194544519
"BTBD7",38.5337812245118,-9.69198750000011e-06,0.868759650025733
"TRIM4",54.1105403544471,2.02368000000002e-05,0.0586721564590839
"MOK",68.4672264952288,4.7821370392817e-05,0.00772002058672161
"TDP1",45.5332778321164,3.75666666666663e-06,0.21461657231086
"PSPC1",43.5780802886769,0,0.691199176531137
"YY1",50.5429596193485,1.33821414141415e-05,0.0957282552753475
"RGS2",42.1858948219223,-2.67490962962968e-06,0.763252702007205
"RRP7A",43.5780802886769,0,0.691199176531137
"RBM48",48.8130158520901,1.00582716049382e-05,0.126093669583119
"AJUBA",29.0565828744559,-2.79012345679013e-05,0.96654657745754
"DPY30",50.3665799404429,1.30432500000002e-05,0.098816263510036
"C2orf68",43.5780802886769,0,0.691199176531137
"ZNF622",40.913321258754,-5.12000000000001e-06,0.80802882141019
"SCML2",41.2263548044746,-4.51854533333318e-06,0.798764796706125
"CBX2",43.5780802886769,0,0.691199176531137
"PAPOLA",41.5831025671538,-3.83309928571429e-06,0.78641276376737
"PPM1A",42.3409810023969,-2.37693099999992e-06,0.756562017498713
"MCM7",39.2511013510877,-8.31374691358033e-06,0.851775604734946
"WARS2",43.5780802886769,0,0.691199176531137
"TRA2A",40.5806890117896,-5.75911111111127e-06,0.818322182192486
"ZNF165",33.7617404235561,-1.88608649206352e-05,0.935666495110654
"P2RY4",43.5780802886769,0,0.691199176531137
"CWF19L1",50.3253443465431,1.29640209821429e-05,0.10036026762738
"SLC12A6",46.0267902791945,4.70488888888876e-06,0.198661863098302
"ZNF862",43.5780802886769,0,0.691199176531137
"CCDC117",52.9789949011174,1.80626774410775e-05,0.0699948533196089
"ANKH",43.8501506820787,5.22749111111054e-07,0.293875450334534
"HUNK",31.8849564051563,-2.24668698412696e-05,0.951106536284097
"MB21D1",43.5780802886769,0,0.691199176531137
"AS3MT",51.2273709715719,1.46971519212962e-05,0.0869788986103963
"COX6B1",43.5499197189831,-5.41069999999699e-08,0.693257848687596
"SHPK",42.8166593572546,-1.46297474747459e-06,0.734945959855893
"FOXM1",63.4673834657042,3.82147995833331e-05,0.0159547092125579
"ULK1",23.4377675431241,-3.86970829629629e-05,0.985074626865672
"RHBDD2",43.5780802886769,0,0.691199176531137
"DDX23",56.9860275158067,2.5761687654321e-05,0.0386001029336078
"HAUS4",53.6764924479263,1.94028314285715e-05,0.0617601646937725
"SIVA1",43.5780802886769,0,0.691199176531137
"H1FX",43.5780802886769,0,0.691199176531137
"DNAJC9",41.8632364754474,-3.29485714285727e-06,0.776634071024189
"PIGV",43.5780802886769,0,0.691199176531137
"TGS1",32.8578816458908,-2.05975161111109e-05,0.94287184765826
"SUPT16H",41.4821523275561,-4.02706249999984e-06,0.792074112197632
"POLE",43.5780802886769,0,0.691199176531137
"NUTM2G",46.7961716735295,6.18315866666652e-06,0.175501801338137
"HERC6",43.1428787891693,-8.36185055555827e-07,0.71847658260422
"MSH2",43.5780802886769,0,0.691199176531137
"POLR2L",57.5587221818294,2.68620485714284e-05,0.036026762738034
"PNRC2",34.9649753694984,-1.65489999999999e-05,0.922799794132784
"UBTF",61.4193516794162,3.42797635714285e-05,0.0205867215645908
"GIGYF1",37.6429957392811,-1.140352e-05,0.888831703551209
"ZNF236",48.9486569186451,1.03188888888888e-05,0.121461657231086
"CACNB3",43.5780802886769,0,0.691199176531137
"HIBCH",57.298026411262,2.63611543703706e-05,0.0365414307771488
"PLA2G4A",43.5780802886769,0,0.691199176531137
"CDC42EP5",43.5780802886769,0,0.691199176531137
"CCDC148",76.7579450279705,6.37509454166667e-05,0.00257334019557387
"MAK",42.4823022297708,-2.10539999999981e-06,0.752444673185795
"PELI3",80.2001154499528,7.03646438271603e-05,0.00205867215645905
"MPPED2",37.1074392874831,-1.24325244999999e-05,0.896551724137931
"C10orf95",43.5780802886769,0,0.691199176531137
"PYGO2",45.5650765380969,3.81776388888899e-06,0.214101904271745
"EIF5A2",43.5780802886769,0,0.691199176531137
"ABCB8",39.7591814784397,-7.33753472222221e-06,0.843026248069995
"SART3",43.5780802886769,0,0.691199176531137
"CTDSP1",43.5780802886769,0,0.691199176531137
"CELSR1",43.5780802886769,0,0.691199176531137
"SLC27A5",43.5780802886769,0,0.691199176531137
"GZMM",37.799652441731,-1.11025238095239e-05,0.886258363355636
"RBM14",43.5780802886769,0,0.691199176531137
"HAUS2",43.5780802886769,0,0.691199176531137
"PSMG2",45.0907330940859,2.90637249999981e-06,0.232115285640762
"CDKAL1",60.8832235758379,3.32496607142856e-05,0.0216160576428204
"CDC42BPB",43.5780802886769,0,0.691199176531137
"STK38",43.5780802886769,0,0.691199176531137
"ZNF34",51.9200983479235,1.6028140625e-05,0.0792588780236747
"WDHD1",43.5780802886769,0,0.691199176531137
"TCHP",84.1188237085751,7.78939498765432e-05,0.00154400411734434
"CDC25B",43.5780802886769,0,0.691199176531137
"PRDM15",53.9729107619184,1.99723620129872e-05,0.0602161605764282
"ZRANB1",66.2070438916446,4.34787132142855e-05,0.0118373648996397
"ZDHHC18",43.5780802886769,0,0.691199176531137
"AP2A2",40.7263457350236,-5.47924999999982e-06,0.814719505918682
"TTC17",35.8345758252685,-1.4878171875e-05,0.914565105506948
"CINP",39.2571581391504,-8.30210955555555e-06,0.851260936695831
"POLB",43.5780802886769,0,0.691199176531137
"H2AFY2",45.3892471953209,3.47992987654333e-06,0.220277920741122
"CIDEB",43.5780802886769,0,0.691199176531137
"MAL",43.5780802886769,0,0.691199176531137
"PPRC1",46.7974460768714,6.1856072727271e-06,0.175501801338137
"GDF15",43.5780802886769,0,0.691199176531137
"ATXN7L2",43.5977995054983,3.78880000000414e-08,0.307771487390633
"AP4M1",43.9964331437042,8.03812500000056e-07,0.283067421513124
"ST6GALNAC2",40.7629140168995,-5.40898863636352e-06,0.813175501801338
"ZNF396",42.0406444435983,-2.95399000000018e-06,0.768914050437468
"CPSF2",43.5780802886769,0,0.691199176531137
"RALBP1",43.5780802886769,0,0.691199176531137
"NARFL",52.770141096995,1.76613910714287e-05,0.0720535254760679
"TROAP",43.5780802886769,0,0.691199176531137
"S100B",71.0145822718105,5.27157947777777e-05,0.00463201235203292
"DRD4",45.8023496134075,4.27365432098759e-06,0.204323211528564
"GBA",39.9407460898322,-6.98868111111106e-06,0.837879567678847
"ST6GALNAC4",43.5780802886769,0,0.691199176531137
"PASK",50.3763385794684,1.30619999999999e-05,0.098816263510036
"USP39",53.8008329577093,1.96417361111112e-05,0.0617601646937725
"PARP16",47.6159541810366,7.75826785714284e-06,0.152341739577972
"ABHD15",77.5886528967319,6.53470463174606e-05,0.00257334019557387
"PCOLCE2",43.5780802886769,0,0.691199176531137
"ACVR1",54.6345821615702,2.12436805555556e-05,0.0540401441070509
"IL17RB",42.0800785978974,-2.87822222222212e-06,0.767884714359238
"SPIDR",43.5780802886769,0,0.691199176531137
"TUBGCP4",41.7615227901531,-3.49028722222244e-06,0.780751415337108
"USP37",43.5780802886769,0,0.691199176531137
"C9orf40",47.2799117182867,7.11260444444428e-06,0.160576428203809
"HCN3",47.8623554090391,8.23169688888892e-06,0.150283067421513
"NUP85",57.0769309651674,2.5936347222222e-05,0.038085434894493
"LRAT",43.5780802886769,0,0.691199176531137
"RRM1",43.5780802886769,0,0.691199176531137
"ATG14",43.5780802886769,0,0.691199176531137
"SLC29A2",52.0793823083476,1.63341847619047e-05,0.0782295419454452
"LEMD3",49.0290352243148,1.04733257142857e-05,0.119917653113742
"DDTL",43.5780802886769,0,0.691199176531137
"ZC3HAV1",46.0743765836769,4.79632000000008e-06,0.196088522902728
"MYB",56.2821249739191,2.44092272727274e-05,0.0401441070509522
"MCMBP",59.4124751512266,3.04238022222223e-05,0.0272774060730828
"IRF2BPL",45.5205612411727,3.73223333333317e-06,0.21461657231086
"NAPG",43.5780802886769,0,0.691199176531137
"NDUFB3",31.6172947328617,-2.29811481481483e-05,0.9547092125579
"BRD1",43.5780802886769,0,0.691199176531137
"CRNKL1",43.5780802886769,0,0.691199176531137
"NDC80",48.1812664601582,8.84444444444443e-06,0.142563046834792
"GTPBP10",34.9138661240417,-1.66472e-05,0.923829130211014
"SMCHD1",43.5780802886769,0,0.691199176531137
"TAS1R3",43.5780802886769,0,0.691199176531137
"BAG5",35.6920343126133,-1.51520475e-05,0.916109109624292
