"","Overall","importance","pvalue"
"DEDD",63.8402842847631,6.32406031746031e-05,0.00805987334484748
"IGSF9",46.2851343668195,3.04269642857147e-06,0.187104202648244
"APH1A",45.3978112879005,0,0.709268854346575
"SHPK",45.3978112879005,0,0.709268854346575
"STX6",49.8879305114279,1.53969507272727e-05,0.0690846286701209
"MESP1",61.0689508157498,5.37374958522727e-05,0.0132412204951065
"ISG20L2",45.3978112879005,0,0.709268854346575
"RASSF9",76.3572738224043,0.000106162285555555,0.0011514104778354
"IMPDH2",56.9573847671359,3.96386319444444e-05,0.0207253886010362
"NUP210",45.3978112879005,0,0.709268854346575
"OSBPL5",45.3978112879005,0,0.709268854346575
"POMK",70.8611197659973,8.73155670202022e-05,0.00287852619458839
"SLC19A2",45.3259097887481,-2.46555555555528e-07,0.723085780080599
"PPRC1",67.1563909335404,7.4611778e-05,0.00575705238917679
"RPL39",45.7347524361049,1.15539610389614e-06,0.236039147956246
"CUEDC2",45.3978112879005,0,0.709268854346575
"CMBL",69.2489598183788,8.17873513888887e-05,0.00402993667242368
"CTC1",43.6771248143233,-5.90036111111103e-06,0.860103626943005
"PHF2",45.3978112879005,0,0.709268854346575
"OPN3",44.9709905094256,-1.46360000000012e-06,0.773172135866436
"FAM167A",45.3978112879005,0,0.709268854346575
"KIAA0895",42.6052205700296,-9.57600000000003e-06,0.89119170984456
"ACOT11",45.3978112879005,0,0.709268854346575
"PLXDC2",45.3978112879005,0,0.709268854346575
"ALCAM",66.7365735566772,7.31721931818183e-05,0.00633275762809438
"TICAM1",45.3978112879005,0,0.709268854346575
"EEPD1",45.3745826321074,-7.96527777777722e-08,0.711571675302245
"SPRY4",45.3978112879005,0,0.709268854346575
"SPRY2",44.1822123835905,-4.16837849999996e-06,0.835348301669545
"CRTC2",46.1078523631609,2.43478333333336e-06,0.203223949337939
"TMEM126A",76.8028992245031,0.000107690368,0.0011514104778354
"ANKRD52",52.9124312992683,2.57681875e-05,0.0385722510074842
"ZNF687",54.0750178897303,2.97547828571427e-05,0.029936672423719
"CALHM2",44.6706271973429,-2.493568e-06,0.799078871617732
"LIMD1",83.853791845596,0.0001318684,0.000575705238917701
"CASC10",86.3329818288157,0.000140369725714286,0.000575705238917701
"TOMM40L",45.8986186766007,1.71730555555549e-06,0.220495106505469
"TAF5L",46.993960356274,5.47331314285726e-06,0.147380541162925
"PI4KB",73.4651413438379,9.62449494999997e-05,0.0011514104778354
"UBQLN4",48.2553632605122,9.79875694444443e-06,0.104202648244099
"HPS6",54.1452896740302,2.99957500000001e-05,0.0293609671848014
"ATRIP",67.4898835661154,7.57553488888887e-05,0.00518134715025909
"ATF6",36.9896008869843,-2.88323749999999e-05,0.968336211859528
"PRKAR2A",61.2488997907003,5.43545541892136e-05,0.0126655152561889
"COMMD4",49.0630704199782,1.25684445000001e-05,0.0823258491652274
"CLDN10",45.3978112879005,0,0.709268854346575
"GPR89A",37.1128484488201,-2.840975e-05,0.966033390903857
"ETV3",61.0584639791212,5.37015357142856e-05,0.0132412204951065
"FGD1",46.0056774490287,2.08441800000014e-06,0.210708117443869
"HSCB",45.3978112879005,0,0.709268854346575
"RASSF6",56.6689952472419,3.86497229629628e-05,0.0207253886010362
"PCBP2",47.2973876364825,6.51378771604927e-06,0.13126079447323
"DAD1",45.3978112879005,0,0.709268854346575
"H1FX",45.3978112879005,0,0.709268854346575
"ELF4",64.3642404219861,6.50372875e-05,0.00805987334484748
"NODAL",53.7480437740236,2.86335644444444e-05,0.0328151986183074
"DNAJC14",71.3484966465015,8.89868183703701e-05,0.00230282095567069
"SPATA18",51.6451184834091,2.14224781746033e-05,0.0466321243523317
"PIGC",43.162722195918,-7.66428571428568e-06,0.877950489349453
"AES",45.3978112879005,0,0.709268854346575
"GRASP",56.7908656126313,3.90676254545455e-05,0.0207253886010362
"CPQ",52.7698170734961,2.52791527777778e-05,0.0385722510074842
"JTB",46.9668063359675,5.38020000000006e-06,0.147956246401842
"AQP5",45.3978112879005,0,0.709268854346575
"PYGO2",45.3978112879005,0,0.709268854346575
"UROS",45.172750522809,-7.7174999999996e-07,0.746113989637306
"LRP12",55.3273129557809,3.40489952083329e-05,0.0253310305123776
"SDC2",44.6371204020807,-2.60846527777781e-06,0.803108808290155
"TMEM102",45.3978112879005,0,0.709268854346575
"NUPL2",47.8099947952939,8.2715555555557e-06,0.118595279217041
"CLN5",44.9602887445431,-1.50029714285704e-06,0.774899251583189
"ENOX2",48.7684722212938,1.15582455000001e-05,0.0892343120322395
"PRG2",51.1677332406626,1.97854888888889e-05,0.0523891767415083
"RORC",43.9223116112249,-5.05959746031737e-06,0.846862406447899
"LRAT",45.535784399893,4.73120000000327e-07,0.269430051813471
"TRIM4",45.2521952960487,-4.99328000000077e-07,0.731721358664364
"C15orf39",45.3978112879005,0,0.709268854346575
"ISG20",45.3978112879005,0,0.709268854346575
"PRKCQ",94.8945556689777,0.000169727995284091,0
"ZDHHC23",45.3978112879005,0,0.709268854346575
"ZBTB47",44.0017492281061,-4.78719999999999e-06,0.842832469775475
"U2AF1L4",23.9172687820231,-7.36583680952378e-05,0.994242947610823
"FAM76B",45.3575671860766,-1.37999999999971e-07,0.71790443293034
"SEC22C",45.3978112879005,0,0.709268854346575
"ATF4",45.5338713469366,4.66560000000005e-07,0.269430051813471
"FAM204A",46.2690406838432,2.98751000000008e-06,0.188831318364997
"OSBPL3",45.5831382930391,6.35500000000011e-07,0.261370178468624
"HDGF",45.9266226741863,1.81333333333322e-06,0.219343696027634
"YY1AP1",45.4817989786635,2.87999999999844e-07,0.274611398963731
"CBWD1",55.5181545086102,3.47034049999999e-05,0.0253310305123776
"SFXN2",65.5408137588467,6.90718444444443e-05,0.00748416810592978
"TMEM110",52.7108372222136,2.50769065079368e-05,0.0385722510074842
"TXNDC11",45.3978112879005,0,0.709268854346575
"STXBP1",73.0838655638986,9.49375266666666e-05,0.00172711571675299
"FAM107B",62.8584929185944,5.98739680059523e-05,0.00863557858376507
"PEX19",47.7565919738638,8.08843333333331e-06,0.119746689694876
"EIF4EBP2",46.6800233668828,4.39679999999987e-06,0.161197466896949
"CDC42EP4",45.5462677498167,5.09068181818284e-07,0.268278641335636
"SCAP",45.3978112879005,0,0.709268854346575
"MGEA5",45.1264766334144,-9.3042658730158e-07,0.754749568221071
"ADAM15",55.249727057674,3.37829474285713e-05,0.0253310305123776
"SLC44A4",52.430052607549,2.41140753086417e-05,0.0414507772020726
"PIGK",47.9446602439092,8.73333333333326e-06,0.113989637305699
"FLAD1",76.0301430629886,0.00010504053,0.0011514104778354
"EREG",57.2360846037549,4.05943142857144e-05,0.0207253886010362
"PDCD11",49.4796983139788,1.39970923456791e-05,0.0736902705814623
"ASPN",45.8780186864763,1.6466666666668e-06,0.222222222222222
"ERC2",42.1966360077434,-1.09770666666669e-05,0.905008635578584
"ZDHHC1",45.3978112879005,0,0.709268854346575
"EYA2",45.3978112879005,0,0.709268854346575
"FBXW4",40.3945103124921,-1.7156688888889e-05,0.94070236039148
"CCDC71",49.3967772827298,1.37127500000001e-05,0.07426597582038
"SPESP1",84.5982380276206,0.000134421160987654,0.000575705238917701
"DYRK3",45.3978112879005,0,0.709268854346575
"PEMT",45.1644790241745,-8.00113580246897e-07,0.747841105354059
"SF3B4",56.7796744119047,3.902925e-05,0.0207253886010362
"MPP6",40.4237977793799,-1.70562599999999e-05,0.940126655152562
"C3",45.3978112879005,0,0.709268854346575
"HS3ST3B1",60.8911359564218,5.31277555555554e-05,0.0132412204951065
"AEN",45.3978112879005,0,0.709268854346575
"CEP57",47.0785118926405,5.76324661111127e-06,0.143350604490501
"TGFA",28.6027194434291,-5.75916114285713e-05,0.990788716177317
"KLK6",45.5580910380392,5.49611111111181e-07,0.264248704663212
"PYY",52.5245919437352,2.4438257680776e-05,0.0408750719631549
"PTGDS",52.3740947233462,2.39221915873014e-05,0.0414507772020726
"CCDC183",61.0176758366615,5.35616701587303e-05,0.0132412204951065
"INHBB",45.8573367896318,1.57574691358042e-06,0.223949337938975
"DCAF12",45.1191899004322,-9.55413333333377e-07,0.755900978698906
"SLC41A2",45.3978112879005,0,0.709268854346575
"BOK",52.2584045646998,2.35254814814814e-05,0.0420264824409902
"TCAIM",42.8195731696615,-8.84096909090926e-06,0.887737478411054
"C1orf194",45.3978112879005,0,0.709268854346575
"COX10",45.8057515001781,1.39885714285715e-06,0.229130685089234
"SH3GL1",45.0807260726707,-1.08730864197537e-06,0.75993091537133
"FGF7",49.4535435463988,1.39074057142856e-05,0.07426597582038
"FAM160B2",45.3978112879005,0,0.709268854346575
"MCL1",44.3975412208269,-3.43000000000004e-06,0.821531375935521
"UBA7",53.2250625980769,2.68402233333329e-05,0.0374208405296488
"SLC25A20",57.4984718214188,4.14940594507576e-05,0.0195739781232009
"HSPA4L",54.1632309612216,3.00572720000001e-05,0.0293609671848014
"SLC2A9",45.3978112879005,0,0.709268854346575
"ZNF557",45.3178458201404,-2.74207499999957e-07,0.724812895797352
"TOR1AIP2",38.812248690256,-2.25823809523809e-05,0.955670696603339
"RBKS",45.2699550265157,-4.38428571428728e-07,0.729994242947611
"DENND4B",45.3978112879005,0,0.709268854346575
"THBS2",48.8497053782613,1.18368e-05,0.0886586067933218
"RRNAD1",43.9033617959175,-5.12457777777775e-06,0.849165227403569
"CHUK",42.320689281934,-1.05516788194444e-05,0.902705814622913
"FNTA",45.3978112879005,0,0.709268854346575
"IER5",61.720002440703,5.59700000000001e-05,0.0109383995394358
"UBE2Q1",50.0885169682723,1.60847765151515e-05,0.0662061024755325
"TOR3A",54.2509919620084,3.03582109589948e-05,0.0287852619458837
"COA4",45.3978112879005,0,0.709268854346575
"PRKACB",56.1877507475775,3.69995000000003e-05,0.0224525043177893
"KLHL18",71.2786376381251,8.87472666666667e-05,0.00287852619458839
"DPP9",45.3978112879005,0,0.709268854346575
"SARNP",45.8339097575629,1.49541388888896e-06,0.225676453655728
"ADD2",45.3978112879005,0,0.709268854346575
"CSK",43.7509715301618,-5.6471352637486e-06,0.856649395509499
"RAP1GDS1",45.3978112879005,0,0.709268854346575
"POMGNT2",45.3978112879005,0,0.709268854346575
"PAAF1",45.3978112879005,0,0.709268854346575
"LRMP",55.7169612464924,3.53851280000002e-05,0.0241796200345423
"MINK1",43.2560554193565,-7.34423919191918e-06,0.873344847438112
