"","Overall","importance","pvalue"
"EEFSEC",55.5055591851569,8.09253213333334e-05,0.00172910662824211
"SPSB4",29.7504959104005,0,0.724495677233429
"PDE9A",36.5405022523984,2.13349677777777e-05,0.0518731988472623
"PIP4K2A",58.3789791767026,8.99539318888887e-05,0.0011527377521614
"RTN4RL2",27.9195344384662,-5.75308799999985e-06,0.845533141210375
"BOLA1",29.7504959104005,0,0.724495677233429
"ADPRHL2",29.2221444619232,-1.66014000000003e-06,0.783861671469741
"SYTL4",16.3940656534932,-4.1967414285714e-05,0.987896253602305
"PAX8",100,0.000220731886049383,0
"FAM110D",27.040188672147,-8.51609183902502e-06,0.884726224783862
"COX19",27.5778215394666,-6.8267885714286e-06,0.864553314121038
"FOXH1",35.8495503576618,1.91639187878789e-05,0.059942363112392
"PEX10",77.4730653787854,0.00014994971,0
"MBD6",29.7504959104005,0,0.724495677233429
"LAMC1",51.2145492471516,6.74424828571432e-05,0.0040345821325648
"PPARGC1B",47.9380076146576,5.71472185185185e-05,0.00691642651296831
"KHK",34.0685298143906,1.35677508333334e-05,0.076657060518732
"GNB4",29.7504959104005,0,0.724495677233429
"OSBPL3",49.518588914584,6.21135837037039e-05,0.00576368876080691
"TOMM40L",60.1203958663789,9.54256600568182e-05,0
"KIAA1257",28.6544978013895,-3.44374999999997e-06,0.813256484149856
"TRAK1",60.2365826938548,9.57907322077922e-05,0
"FMO5",29.7504959104005,0,0.724495677233429
"BCAR3",48.8297940988609,5.99493124999999e-05,0.00576368876080691
"RTN4R",44.5882469855636,4.662189181257e-05,0.00979827089337171
"CHCHD6",29.7504959104005,0,0.724495677233429
"HTR1D",49.748455337798,6.28358500000001e-05,0.00576368876080691
"GAL3ST2",42.9712104289088,4.15409800881832e-05,0.0144092219020173
"ADD3",29.8650684894913,3.59999999999916e-07,0.256484149855908
"SPATA18",32.4669190338648,8.53530864197527e-06,0.114121037463977
"FIS1",29.7504959104005,0,0.724495677233429
"DLK1",79.9803230284785,0.000157827797069805,0
"COMMD3",42.8803427115576,4.12554634444449e-05,0.0144092219020173
"LRRC14B",29.5475735709039,-6.37604938271474e-07,0.752737752161383
"LINGO4",67.4878174318611,0.000118574931764069,0
"PELP1",42.5763287153362,4.03002170887445e-05,0.0155619596541787
"SFXN2",22.5778049038643,-2.25374062698414e-05,0.952737752161383
"PAIP2B",43.0395677569816,4.175576654321e-05,0.0126801152737752
"APH1A",29.7504959104005,0,0.724495677233429
"RAB6B",30.1693044002792,1.31594363636367e-06,0.222478386167147
"RPP25L",37.6396730317169,2.47886866666667e-05,0.0374639769452449
"THBS2",37.1721053932878,2.33195362716052e-05,0.0420749279538905
"ZNF687",28.7380035330489,-3.18136554783921e-06,0.810374639769452
"LRRC20",48.8224711960045,5.9926303111111e-05,0.00576368876080691
"UTP3",29.4829211996488,-8.40750000000057e-07,0.760806916426513
"ENSA",36.9746789306729,2.26992000000001e-05,0.0466858789625361
"RBM38",29.7504959104005,0,0.724495677233429
"SIM1",33.0933652771139,1.05036735802466e-05,0.0974063400576369
"THAP10",86.0860547588637,0.000177012696636364,0
"PMVK",24.646844660853,-1.60362493750001e-05,0.931988472622478
"FAM124A",69.444863351801,0.000124724191358025,0
"KATNAL2",55.8327711511254,8.19534583333332e-05,0.00172910662824211
"ZDHHC23",33.9562979283373,1.32151055555556e-05,0.0789625360230548
"THEM6",59.3326139155068,9.29503600804671e-05,0.000576368876080702
"AURKAIP1",29.7504959104005,0,0.724495677233429
"ATOH7",42.3093023334348,3.94611899999999e-05,0.01671469740634
"SPRY4",50.1400116924559,6.40661643456792e-05,0.0046109510086455
"WNT2B",32.5912436411211,8.92595061728407e-06,0.110086455331412
"CHKA",35.5529605270215,1.82319999999998e-05,0.0605187319884726
"SLC25A11",52.5463325470861,7.16270965909092e-05,0.00288184438040351
"SPDYC",42.2726080477421,3.9345892404762e-05,0.01671469740634
"DHX29",30.9288112349167,3.70240000000011e-06,0.182132564841499
"ISG20L2",31.9753016130929,6.990591111111e-06,0.131988472622478
"H1FX",42.2344046118354,3.92258528888889e-05,0.01671469740634
"ACTL8",51.1539496984594,6.72520722222221e-05,0.0040345821325648
"TUBA8",41.235382971613,3.60868139204544e-05,0.0172910662824207
"PTP4A3",29.7504959104005,0,0.724495677233429
"MPP6",29.9636000234617,6.69597222222151e-07,0.246685878962536
"TLX1",14.6039280206624,-4.75922291666666e-05,0.990778097982709
"SUV39H1",33.340985538711,1.12817244444443e-05,0.09164265129683
"CUZD1",39.2750920659149,2.99273582142858e-05,0.024207492795389
"FGR",68.4764429686924,0.000121681305,0
"ACAD9",29.7504959104005,0,0.724495677233429
"TLE4",36.9408812547013,2.25930038800706e-05,0.0466858789625361
"RANGRF",46.8431788902374,5.3707142857143e-05,0.00749279538904901
"CDC14B",34.0285263917391,1.34420555555554e-05,0.0778097982708934
"MRPS16",29.7504959104005,0,0.724495677233429
"EIF2D",41.8258959240252,3.79422723953824e-05,0.01671469740634
"RRNAD1",28.204869384177,-4.85653333333325e-06,0.834005763688761
"CHST4",32.5895089431215,8.92050000000011e-06,0.110086455331412
"JUN",53.0452780060492,7.3194839646465e-05,0.00230547550432281
"PSMG3",62.9103292281694,0.000104191946180556,0
"ZDHHC15",54.4900048986386,7.7734334920635e-05,0.00230547550432281
"B4GALNT4",65.0630886475853,0.000110956159722222,0
"PIK3CD",37.4652971025314,2.42407777777778e-05,0.0397694524495678
"HMG20B",75.4382549817575,0.000143556105625,0
"DGAT2",29.7504959104005,0,0.724495677233429
"KLHL38",51.2766082196386,6.76374791666667e-05,0.0040345821325648
"FAM81A",29.7504959104005,0,0.724495677233429
"TMEM65",27.2931974752973,-7.72110956790129e-06,0.879538904899135
"DPM3",38.7759861901859,2.8359111111111e-05,0.0270893371757925
"AGTRAP",49.1041808389967,6.08114666666666e-05,0.00576368876080691
"TMCC3",29.7504959104005,0,0.724495677233429
"FOXK1",33.5900883482644,1.20644336419753e-05,0.0887608069164265
"MESP1",29.7504959104005,0,0.724495677233429
"TMEM74",36.0256077776784,1.97171111111114e-05,0.0576368876080692
"DEDD",29.7504959104005,0,0.724495677233429
"DSEL",21.1989764269385,-2.68698412698414e-05,0.968876080691643
"LONRF3",29.7504959104005,0,0.724495677233429
"LYSMD2",29.7504959104005,0,0.724495677233429
"APOLD1",31.817278141137,6.49406349206338e-06,0.142363112391931
"MCL1",31.2650973832482,4.75904910714298e-06,0.16657060518732
"DYDC2",50.753185778991,6.59928266666667e-05,0.0040345821325648
"EPB41L2",26.3786673420466,-1.05946666666668e-05,0.903746397694524
"DOK1",28.6516776892961,-3.45261111111106e-06,0.813832853025937
"HIST2H3C",29.9177754120638,5.25611111111157e-07,0.250720461095101
"FRAT2",22.5694940221588,-2.25635200000001e-05,0.953314121037464
"KLHL31",48.1831637014022,5.79175266666669e-05,0.00634005763688761
"MAP7D1",27.3188255263499,-7.64058333333328e-06,0.878386167146974
"MRPL24",29.7504959104005,0,0.724495677233429
"CCDC82",66.7045308627949,0.000116113756785714,0
"IQCH",29.7504959104005,0,0.724495677233429
"XKRX",29.7504959104005,0,0.724495677233429
"DLX4",42.7447499747814,4.08294157319224e-05,0.0155619596541787
"AKR7A3",29.7504959104005,0,0.724495677233429
"MTMR2",30.9689807897723,3.82861728395056e-06,0.180403458213256
"SLC39A1",41.4353045092704,3.67149899999999e-05,0.0172910662824207
"PRKAG2",29.7504959104005,0,0.724495677233429
"SLC31A1",29.5639062815955,-5.86285714285761e-07,0.751585014409222
"LSM10",29.7504959104005,0,0.724495677233429
