"","Overall","importance","pvalue"
"KCTD12",80.4640267441682,9.25526770833331e-05,0.00107584722969334
"PHF12",82.4793510696766,9.97465067328041e-05,0.000537923614846725
"COL18A1",56.6484184587912,7.5413333333334e-06,0.164604626143088
"EFNA5",77.8137544866835,8.309236e-05,0.00161377084454006
"LYZ",65.7347274885949,3.99754971428572e-05,0.0215169445938677
"INTS6",52.6338742848765,-6.78884000000002e-06,0.828940290478752
"ZNF433",64.2346790229431,3.4620977777778e-05,0.0268961807423346
"PLXDC2",85.8176004132195,0.000111662602222222,0.000537923614846725
"DGKE",61.8755387454262,2.61998750000003e-05,0.0446476600322754
"SMARCE1",54.5357422829588,0,0.686390532544379
"SLC41A2",60.9237613505666,2.28024444444443e-05,0.0537923614846691
"PEX1",60.6915356815161,2.19735000000001e-05,0.0570199031737493
"NCOA6",53.3136183194785,-4.36244999999991e-06,0.79020979020979
"ZC3H12C",65.2990541952032,3.84203333333333e-05,0.0220548682087144
"KALRN",62.9821613713678,3.01500355555555e-05,0.0344271113501883
"C18orf8",54.5357422829588,0,0.686390532544379
"PIGU",67.2744170720809,4.54715180246914e-05,0.015599784830554
"SIDT1",55.0097497205704,1.6919999999998e-06,0.266272189349112
"ACAA2",53.5374294344139,-3.56354184704166e-06,0.775147928994083
"HOXA9",54.1543434280457,-1.36142771464653e-06,0.724045185583647
"CEP41",54.5357422829588,0,0.686390532544379
"MMP11",72.8112442067627,6.52355781818183e-05,0.00484131253362019
"STX1A",55.5295410579311,3.54742857142853e-06,0.225389994620764
"ESCO1",55.0963170097417,2.00100749999987e-06,0.260892953200646
"CLDN10",57.8349379575228,1.17766909090908e-05,0.114577729962345
"FAM110C",54.7205824917819,6.59798999999905e-07,0.293706293706294
"ENTPD5",74.2706441402582,7.04450000000001e-05,0.00430338891877358
"UBR1",67.0889537710825,4.48094948571429e-05,0.0166756320602475
"KIDINS220",54.5357422829588,0,0.686390532544379
"HMGCR",43.309294163572,-4.00735277777777e-05,0.979558902635826
"TRAPPC8",54.5357422829588,0,0.686390532544379
"TPK1",71.3912248886061,6.0166728e-05,0.00699300699300698
"GATA6",54.9049542753407,1.31792592592594e-06,0.277568585260893
"PLK3",61.0222203028853,2.31539000000001e-05,0.0532544378698225
"COG3",51.0742468556592,-1.23560303030303e-05,0.888649811726735
"HIST1H3J",54.7105003087605,6.23810000000002e-07,0.293706293706294
"LANCL2",54.3827722107322,-5.46036500000069e-07,0.703066164604626
"ASB1",53.4517558039149,-3.8693593750001e-06,0.779989241527703
"PLK4",90.6180350839977,0.000128798062171717,0.000537923614846725
"ARPIN",53.6376805950142,-3.20568888888895e-06,0.769768692845616
"IKZF3",50.9061526599725,-1.29560533333333e-05,0.892953200645508
"PSEN2",64.8975773038579,3.69872357777779e-05,0.0247444862829478
"TOP1",54.5357422829588,0,0.686390532544379
"RNF138",74.0490334568029,6.96539464285715e-05,0.00430338891877358
"MCTP2",63.4739085508205,3.19053587037035e-05,0.0306616460462614
"DUSP6",55.150291385018,2.19367250000002e-06,0.258203335126412
"CYP51A1",57.7739179436197,1.15588760493828e-05,0.116729424421732
"CDC6",53.1276152236142,-5.02639999999999e-06,0.804195804195804
"DHRS7",57.5823011234964,1.08748875e-05,0.124798278644432
"KREMEN1",60.8173555832478,2.24226222222224e-05,0.0548682087143626
"MPLKIP",55.0159929796271,1.71428571428578e-06,0.266272189349112
"MYCN",71.1525853647792,5.9314888888889e-05,0.00699300699300698
"THBS2",56.2227900129718,6.02202525252515e-06,0.181280258203335
"TMEM60",54.5357422829588,0,0.686390532544379
"EFHD1",51.4708179109474,-1.09404444444443e-05,0.876277568585261
"KMT2E",61.2578843779365,2.39951180555555e-05,0.0516406670252824
"TSG101",96.4734864256236,0.000149699471904762,0.000537923614846725
"TMPRSS5",54.2796352586633,-9.14190476190457e-07,0.713286713286713
"PDLIM2",49.2241695778074,-1.89599999999999e-05,0.930607853684777
"CCDC117",66.654237520309,4.32577472727274e-05,0.0177514792899408
"ZNF85",77.0829453955049,8.04836900000001e-05,0.00268961807423351
"TTC39C",59.6820467605424,1.83700644444444e-05,0.0736955352339967
"TET1",54.364604057848,-6.10888888888716e-07,0.705217859064013
"CBX5",81.5265258782251,9.63453360000002e-05,0.000537923614846725
"ZBTB47",54.5357422829588,0,0.686390532544379
"FAAH",69.5211120270889,5.34912400000001e-05,0.00806885422270043
"CHCHD6",53.6859755500089,-3.03329694444443e-06,0.766003227541689
"ZNF93",51.7478823863968,-9.951445e-06,0.862829478214094
"ZNF397",54.5357422829588,0,0.686390532544379
"FZD5",53.0795131974115,-5.19810327272752e-06,0.808499193114578
"RP9",54.5357422829588,0,0.686390532544379
"CCNA2",66.7522840404138,4.36077306249998e-05,0.0172135556750941
"VWDE",61.6096216001289,2.52506666666665e-05,0.0484131253362022
"SLX4",54.5357422829588,0,0.686390532544379
"FCGR2A",54.5357422829588,0,0.686390532544379
"PLSCR4",46.2623674813146,-2.95323428571428e-05,0.965034965034965
"PNMT",54.5357422829588,0,0.686390532544379
"INHBA",53.7665727671749,-2.7455999999999e-06,0.756320602474449
"ST6GALNAC4",54.5357422829588,0,0.686390532544379
"PDE8A",55.444312567629,3.2432e-06,0.230231307154384
"SALL4",54.5357422829588,0,0.686390532544379
"ACTR1B",54.1911624080993,-1.23000000000006e-06,0.720817643894567
"SOAT1",54.5357422829588,0,0.686390532544379
"SPRY4",71.4297818007803,6.03043593749999e-05,0.00699300699300698
"CRIM1",49.3440562156368,-1.85320569444447e-05,0.927918235610543
"ABHD17B",54.5357422829588,0,0.686390532544379
"ATP2B4",47.0127435817703,-2.68538271604939e-05,0.959655728886498
"FBLN1",54.5357422829588,0,0.686390532544379
"HEY2",54.5357422829588,0,0.686390532544379
"PDE9A",70.7406514166992,5.78444641975309e-05,0.00806885422270043
"ALG8",55.9851113511305,5.17361599999999e-06,0.192038730500269
"ANKH",42.3674330145572,-4.34355616567459e-05,0.982786444324906
"ERC2",54.5357422829588,0,0.686390532544379
"PTPRE",49.6666652325541,-1.73804833333333e-05,0.92200107584723
"CTCF",94.3715598612182,0.00014219651,0.000537923614846725
"ABCA7",65.6061473015164,3.95165219047617e-05,0.0220548682087144
"GRASP",56.8912518874427,8.40814285714275e-06,0.156535771920387
"HOXA10",54.0024049904952,-1.90378172839512e-06,0.739107046799355
"FADS2",60.4306348659147,2.10421977777777e-05,0.0597095212479828
"ZNF24",50.3509889911606,-1.49377457142859e-05,0.906939214631522
"IER5",58.2067382168361,1.31038558201058e-05,0.105970952124798
"SLK",58.2311113102559,1.31908571428572e-05,0.105433028509952
"MINOS1",54.5357422829588,0,0.686390532544379
"PPARGC1B",49.8488189634478,-1.67302738888886e-05,0.918235610543303
"TRAK1",44.5558821662635,-3.56237518181817e-05,0.974717590102205
"CPD",55.5356504289148,3.56923636363637e-06,0.224852071005917
"PAM",54.4609032160614,-2.67142857142799e-07,0.696611081226466
"TMOD2",54.5357422829588,0,0.686390532544379
"ARHGAP12",54.5357422829588,0,0.686390532544379
"FOXA1",55.619429647528,3.86829166666658e-06,0.220548682087144
"FOLH1",54.5357422829588,0,0.686390532544379
"FAM26F",54.5357422829588,0,0.686390532544379
"GPC2",54.5357422829588,0,0.686390532544379
"MESP1",61.0970473635154,2.34209999999999e-05,0.0521785906401291
"PPP1R10",68.3630311281956,4.93573958333333e-05,0.0118343195266272
"HMGCS1",52.0045471612892,-9.0352635972224e-06,0.852608929532007
"PNMA1",49.306261141707,-1.8666968888889e-05,0.928994082840237
"ZNF462",55.0012208239388,1.66155555555547e-06,0.266272189349112
"FAIM2",56.1678465450611,5.82590101410951e-06,0.184507799892415
"NAE1",54.5357422829588,0,0.686390532544379
"SPATA5",56.6758816838155,7.63936507936491e-06,0.164604626143088
"TMEM245",100,0.000162287588660714,0.000537923614846725
"RAB4A",58.9641892035545,1.58076257777779e-05,0.0871436256051641
"CHST4",45.7013306132883,-3.15350000000001e-05,0.969338353953739
"SPTSSB",63.7437942390415,3.28687330059523e-05,0.027972027972028
"SLC44A4",54.7376651903916,7.2077679012339e-07,0.293706293706294
"SMPD3",58.7943729729851,1.52014558333333e-05,0.0919849381387843
"CPSF3",88.4142802364724,0.000120931617668651,0.000537923614846725
"LRRC37A",56.5311280762383,7.12265777777765e-06,0.168370091447015
"ADPRHL2",54.2394035905796,-1.05780000000011e-06,0.716514254975793
"SETD3",57.3842744875626,1.01680187012987e-05,0.134480903711673
"SHISA2",51.1017673065157,-1.22577942857143e-05,0.888111888111888
"SAV1",65.1618136650989,3.79304444444444e-05,0.0231307154384077
"APCDD1",54.5357422829588,0,0.686390532544379
"CDC42BPA",54.5357422829588,0,0.686390532544379
"TSTD2",53.2779977250976,-4.48960000000009e-06,0.793975255513717
"ZNF563",56.8501669561676,8.26148755555578e-06,0.158149542764927
"RBM12",65.9063514161373,4.05881197777778e-05,0.0193652501344809
"CEP76",56.2219857224153,6.0191542857142e-06,0.181280258203335
"SRP14",63.7133302602419,3.27599898765434e-05,0.0285099515868746
"OSBPL3",54.8415788083217,1.09170312500018e-06,0.283485745024207
"CYBA",52.2118933657363,-8.2951280000001e-06,0.842388380849919
"WARS",53.6659890612646,-3.10464000000032e-06,0.768692845615923
"EGFR",54.5357422829588,0,0.686390532544379
"TAF1B",54.5357422829588,0,0.686390532544379
"PTGES",54.5357422829588,0,0.686390532544379
"SH3BGRL2",54.5357422829588,0,0.686390532544379
"NSUN5",55.4363862966865,3.21490666666668e-06,0.230231307154384
"NEBL",67.0960561408276,4.48348472222222e-05,0.0166756320602475
"SPTLC2",55.1849643847429,2.31743999999989e-06,0.252824098977945
"YWHAG",54.954546762545,1.49494949494944e-06,0.271651425497579
"KDR",68.0039300619876,4.80755615079365e-05,0.0118343195266272
"STK39",53.1655781518327,-4.89088888888878e-06,0.800430338891877
"MICB",54.5357422829588,0,0.686390532544379
"CDK13",73.0207094370133,6.59832777777778e-05,0.00484131253362019
"MFGE8",60.419102428065,2.1001032e-05,0.0597095212479828
"DLX5",54.5357422829588,0,0.686390532544379
"PPP1R14C",54.5357422829588,0,0.686390532544379
"PLA2G4A",70.6539549403375,5.75349955555555e-05,0.00806885422270043
"TRIM24",60.2065184966833,2.02422e-05,0.0623991393222162
"GALNT2",47.9988899670409,-2.33337142857144e-05,0.947821409359871
"RAB9B",55.5592298002578,3.65340444444429e-06,0.223238300161377
"HOXA7",52.4701306753999,-7.37333333333323e-06,0.834319526627219
"RIC3",58.0588193717815,1.25758499999999e-05,0.109736417428725
"SLAMF7",57.1041230087409,9.16800000000007e-06,0.145777299623453
"RARB",55.9427607219235,5.02244270833319e-06,0.196342119419042
"FKBP3",58.5407323611867,1.42960693749998e-05,0.0984400215169446
"IL12RB2",54.5357422829588,0,0.686390532544379
"ARID4A",54.597294691838,2.19715277777865e-07,0.305540613232921
"GNAI1",54.5357422829588,0,0.686390532544379
"PARP2",63.3852266607652,3.15888030000002e-05,0.0306616460462614
"SRR",51.2647153923861,-1.16761406249999e-05,0.884884346422808
"RCOR2",57.3967591016518,1.02125833333333e-05,0.132867132867133
"NSMCE4A",61.4759814679942,2.47736296296295e-05,0.048951048951049
"NBL1",54.5357422829588,0,0.686390532544379
"CA8",60.506800580894,2.1314076190476e-05,0.0586336740182895
"VPS35",52.7118219800711,-6.51060069444442e-06,0.825712748789672
"OXNAD1",51.6584242881883,-1.02707714285712e-05,0.868208714362561
"GGCT",63.5193895099394,3.20677059090908e-05,0.0306616460462614
"C2CD4A",51.9348217932488,-9.28415277777783e-06,0.856374394835933
"RBM48",53.9447905990371,-2.10944000000013e-06,0.741258741258741
"CRNKL1",54.5357422829588,0,0.686390532544379
"DLK1",55.0669487347028,1.89617555555577e-06,0.261430876815492
"SCARB2",53.3631621819735,-4.18560000000001e-06,0.786444324905863
"SLC13A3",77.4534994958907,8.18064066666666e-05,0.00215169445938679
"RASAL2",62.2444288660835,2.75166519841274e-05,0.0392684238838085
"PSEN1",86.8048174161758,0.00011518653673561,0.000537923614846725
"HOXA5",54.0096696666946,-1.87785000000007e-06,0.738031199569661
"BTBD7",54.531403377998,-1.54880000000635e-08,0.686928456159225
"ADAMTS3",53.8707171317919,-2.37385000000012e-06,0.750403442711135
"CABLES1",51.5936732429156,-1.05019044444443e-05,0.869822485207101
"METTL2B",68.5893333606962,5.01651961904759e-05,0.0118343195266272
"SUSD4",51.52182995763,-1.07583536666669e-05,0.873587950511027
"SPSB1",71.8675591857149,6.18670338744585e-05,0.00699300699300698
"MPC1",52.8034565644317,-6.18350515873023e-06,0.820333512641205
"PIP5K1B",73.6771098538658,6.83263412345678e-05,0.00430338891877358
"PSMA3",47.6719860748136,-2.45006187301586e-05,0.951048951048951
"BAZ1B",57.4982887680314,1.0575e-05,0.129639591178053
"SLC41A3",54.5357422829588,0,0.686390532544379
"PLOD2",54.2199530371556,-1.12723000000003e-06,0.717590102205487
"BCAR3",58.1392075946648,1.2862800925926e-05,0.108122646584185
"SCD5",81.2939481379817,9.55151348148149e-05,0.000537923614846725
"ZNF136",54.5357422829588,0,0.686390532544379
"RCSD1",66.2159068478141,4.16930977777776e-05,0.0188273265196343
"ALKBH1",60.2621164594919,2.04406605e-05,0.0618612157073696
"SPRED1",52.7868995683932,-6.24260641975316e-06,0.820871436256052
"CTNNAL1",52.3044335128116,-7.96480000000011e-06,0.839160839160839
"CCAR1",53.3506890300292,-4.23012371717202e-06,0.788058095750403
"FAM210A",54.5357422829588,0,0.686390532544379
"GPR132",81.3915094874816,9.58633863194445e-05,0.000537923614846725
"TMEM199",56.1114448187275,5.62457142857142e-06,0.187197417966649
"FGF19",54.5357422829588,0,0.686390532544379
"RPP25",64.4672471212508,3.54511445454546e-05,0.0263582571274878
"TUBG1",55.1340458046286,2.13568285714283e-06,0.258203335126412
"NPC1",55.2782854550251,2.6505555555556e-06,0.245831091984938
"CLIC2",54.5357422829588,0,0.686390532544379
"HHIP",54.5357422829588,0,0.686390532544379
"SHQ1",54.5357422829588,0,0.686390532544379
"QARS",54.5357422829588,0,0.686390532544379
"HSPA4L",52.6647116934877,-6.67876388888877e-06,0.827326519634212
"RASSF9",54.5357422829588,0,0.686390532544379
"HIST1H2BF",67.8199123603009,4.74186984999998e-05,0.0134480903711673
"COQ6",64.6498522483847,3.61029652777776e-05,0.0252824098977945
"YLPM1",48.4926265034806,-2.157129e-05,0.941904249596557
"MTERF1",54.5357422829588,0,0.686390532544379
"APEX1",54.8806853103513,1.23129629629637e-06,0.279182356105433
"AEN",54.5357422829588,0,0.686390532544379
"CCDC43",54.5357422829588,0,0.686390532544379
"IL20RA",50.8874211485638,-1.30229166666667e-05,0.893491124260355
"NR3C1",54.486996837247,-1.73999999999896e-07,0.693383539537386
"SLC25A20",54.5357422829588,0,0.686390532544379
"ARHGEF10L",78.5490986204056,8.57172181257015e-05,0.00107584722969334
"KCNK17",54.5357422829588,0,0.686390532544379
"LRRC4",54.5357422829588,0,0.686390532544379
"ASAP2",54.5357422829588,0,0.686390532544379
"SAP130",54.5357422829588,0,0.686390532544379
"NEMF",54.5357422829588,0,0.686390532544379
"TMEM117",45.5048634328233,-3.22363022222223e-05,0.971490048413125
