"","Overall","importance","pvalue"
"THBS3",92.2457181162168,0.000386930192986111,0
"LRFN4",44.8975520502483,8.43666330864201e-05,0.0117056856187291
"ENSA",31.6950191506261,0,0.729096989966555
"ADD3",46.5075688408831,9.46549388888891e-05,0.00836120401337792
"ADD2",34.7751758574142,1.96827724426807e-05,0.080267558528428
"TMEM143",41.0669808022803,5.98885725925924e-05,0.0167224080267558
"TMEM45B",36.0832108136347,2.80413583333337e-05,0.0551839464882943
"ACOT11",47.8913276473161,0.000103497414222222,0.00613154960981044
"MTG1",32.9549537096476,8.05121543434328e-06,0.151059085841695
"HDAC10",42.9820318989784,7.21261041666663e-05,0.0144927536231884
"ACAD9",72.8193355817368,0.000262792006780203,0
"NUP210",61.4263807403687,0.000189988912996633,0.000557413600891898
"LAG3",27.0848392321139,-2.94599044444446e-05,0.947603121516165
"CACHD1",49.7126212756797,0.000115135818190236,0.00445930880713485
"USP21",40.3919869984977,5.55752370370368e-05,0.020066889632107
"TRMT2A",26.97189022778,-3.01816695238093e-05,0.948717948717949
"KRT13",44.8011056845544,8.37503229276895e-05,0.0117056856187291
"SLC44A4",33.6628545935854,1.25748333333333e-05,0.120958751393534
"CBX5",39.0861371445682,4.72306143551588e-05,0.0250836120401338
"D2HGDH",31.4756162835041,-1.40202499999997e-06,0.760869565217391
"PEX19",31.6950191506261,0,0.729096989966555
"EIF4EBP2",47.1467197207657,9.87392315151514e-05,0.00780379041248602
"FBXW8",31.6950191506261,0,0.729096989966555
"SUV39H1",36.7264777515119,3.21519533333332e-05,0.0468227424749164
"TRIM43",33.366690782088,1.06822916666667e-05,0.132107023411371
"SPESP1",31.6950191506261,0,0.729096989966555
"C2CD4A",31.7028478637816,5.00269285712562e-08,0.269788182831661
"APCDD1",100,0.000436481491930917,0
"ISG20L2",46.0363627738455,9.16438447550505e-05,0.00891861761426982
"CDC42BPA",32.2482769244226,3.53541975308658e-06,0.199554069119287
"VWDE",41.437199799271,6.2254340625e-05,0.0156075808249722
"C4orf19",36.5418734273444,3.09722974747475e-05,0.0490523968784838
"ATN1",62.360688557214,0.000195959313174603,0.000557413600891898
"RBMS1",31.6950191506261,0,0.729096989966555
"CTC1",29.3504893689426,-1.498198e-05,0.894648829431438
"PIDD1",31.6950191506261,0,0.729096989966555
"COMMD4",31.6950191506261,0,0.729096989966555
"PKNOX1",48.2555481885374,0.000105824851010101,0.00613154960981044
"GPR89B",26.561094102504,-3.28067329292927e-05,0.954292084726867
"EFHD2",43.1531359849304,7.32194909999999e-05,0.0144927536231884
"GNL3L",31.6950191506261,0,0.729096989966555
"C12orf57",31.6950191506261,0,0.729096989966555
"MSTO1",31.1202607883276,-3.67281250000007e-06,0.802118171683389
"SLC1A3",41.108385186695,6.01531542857143e-05,0.0167224080267558
"LYSMD2",31.6950191506261,0,0.729096989966555
"ZNF629",33.8505432878785,1.37741988888889e-05,0.111482720178372
"APOM",31.6950191506261,0,0.729096989966555
"ERI3",34.1698226367208,1.5814453125e-05,0.096989966555184
"EEFSEC",30.7534516174851,-6.01679111111109e-06,0.82943143812709
"SFXN4",33.4593385372805,1.12743280000001e-05,0.127647714604236
"DDX54",29.2885741775364,-1.53776295526693e-05,0.900780379041249
"PDE9A",34.5225438809018,1.80684072727271e-05,0.0863991081382386
