"","Overall","importance","pvalue"
"CNPY2",70.1694010263681,0.000173106639309524,0.000548847420417164
"MERTK",48.0113248686553,5.95623194444443e-05,0.0175631174533479
"RALGPS1",48.4240029564268,6.1677e-05,0.0159165751920965
"MRPS25",41.6522396569794,2.69765479999999e-05,0.0669593852908892
"SMIM14",36.3877895658918,0,0.689352360043908
"NME4",35.6251607849387,-3.90792800000006e-06,0.78430296377607
"SNAP47",36.3877895658918,0,0.689352360043908
"UXT",59.6107321488166,0.000119001,0.00219538968166855
"HSD17B10",67.1681437751469,0.000157727338737374,0.000548847420417164
"TMEM231",36.5751067185818,9.59866666666809e-07,0.279363336992316
"ESRRG",39.8600828636675,1.77930239999999e-05,0.0894621295279913
"MED19",36.0931076997667,-1.51003416666673e-06,0.737650933040615
"KLF3",36.0856987001145,-1.54799999999988e-06,0.738748627881449
"HSPA1A",46.3939224155353,5.12742866666664e-05,0.0241492864983535
"FBXL3",79.2172651302033,0.000219470482839506,0
"GEM",48.0444140312628,5.9731877777778e-05,0.0175631174533479
"RABGAP1",47.4950512414028,5.69167857142856e-05,0.0181119648737651
"KCTD18",32.6458075532472,-1.91749861111112e-05,0.912733260153677
"MPG",36.1770284967448,-1.08000000000019e-06,0.725027442371021
"WDR24",36.3877895658918,0,0.689352360043908
"RAB14",36.3877895658918,0,0.689352360043908
"TBX1",38.0517836884686,8.526781818182e-06,0.161361141602634
"ETFB",31.4076633574671,-2.55195911031747e-05,0.930845225027442
"NME3",36.3877895658918,0,0.689352360043908
"TIMM22",36.3807641969203,-3.5999999999925e-08,0.692096597145993
"SH3BGRL",58.9587345851466,0.000115659978,0.0027442371020856
"MX2",44.3701709948571,4.09040055555556e-05,0.0373216245883644
"CYP4B1",37.386221343691,5.11624999999993e-06,0.198133918770582
"EMD",44.2479902878171,4.02779166666667e-05,0.0373216245883644
"TBKBP1",43.9469564798711,3.87353333333333e-05,0.0406147091108672
"GUK1",62.1019865308752,0.0001317669,0.00164654226125138
"ARL14",36.3877895658918,0,0.689352360043908
"PTPN3",36.3877895658918,0,0.689352360043908
"CNTRL",36.9620334681707,2.94258999999997e-06,0.233260153677278
"FAM3A",90.9237617888444,0.00027945792,0
"FGD1",36.3877895658918,0,0.689352360043908
"NDUFB11",70.7769381568496,0.000176219833333333,0.000548847420417164
"PDZD11",88.2893777805074,0.000265958582857143,0
"APOOL",56.591358825714,0.000103528867493987,0.00603732162458837
"VOPP1",42.5188876121186,3.14175000000001e-05,0.0543358946212953
"DACT2",60.8289831682562,0.000125243666666667,0.00219538968166855
"SLC44A4",36.965777946466,2.96177777777773e-06,0.233260153677278
"MSRB1",34.0442692146328,-1.20088685714286e-05,0.879253567508233
"GALNT2",50.5873621809618,7.27626714285716e-05,0.0109769484083425
"UNC119",36.2523725433116,-6.93915555555646e-07,0.712952799121844
"PLEKHA7",36.3877895658918,0,0.689352360043908
"DCTD",39.3666723689026,1.52646475e-05,0.102085620197585
"PQBP1",36.299145780315,-4.54236111111284e-07,0.706366630076839
"PDGFA",37.0944896446612,3.62133333333348e-06,0.221185510428101
"FAM102B",36.3877895658918,0,0.689352360043908
"PDCL",36.0734408948776,-1.61081250000006e-06,0.739846322722283
"DEF8",40.3838774395789,2.04770972222221e-05,0.0856201975850713
"SPATA2L",40.2499832714291,1.97909852083336e-05,0.0867178924259056
"MSRA",38.628804208166,1.14835999999998e-05,0.125137211855104
"UPRT",36.3877895658918,0,0.689352360043908
"SCO1",40.7663643195876,2.24370693939395e-05,0.079582875960483
"COL6A1",61.4320893767316,0.000128334155378788,0.00164654226125138
"FADS3",36.3877895658918,0,0.689352360043908
"GPR160",34.3843389524811,-1.02662539682541e-05,0.865532381997805
"SCAI",53.6211119054623,8.83084727272727e-05,0.00768386388583975
"ARHGEF25",36.3877895658918,0,0.689352360043908
"FUK",64.0105035780839,0.000141546687222222,0.000548847420417164
"RGR",34.2063710310288,-1.11782125e-05,0.873765093304061
"ZADH2",40.6676992216727,2.19314812121212e-05,0.0801317233809001
"SNX30",36.3877895658918,0,0.689352360043908
"LYPLAL1",52.4262279255464,8.21855454545453e-05,0.00933040614709113
"PDIK1L",35.7286323706433,-3.37770999999987e-06,0.775521405049396
"BMP1",36.3877895658918,0,0.689352360043908
"TMLHE",36.3877895658918,0,0.689352360043908
"FZD8",34.4009681681075,-1.01810411111112e-05,0.863885839736553
"ACSL4",39.2491023017225,1.46621848484845e-05,0.104829857299671
"FAM229B",36.3877895658918,0,0.689352360043908
"NDUFS6",41.0522746212678,2.39021555555554e-05,0.075192096597146
"NOS1AP",35.921222843343,-2.39082133333346e-06,0.75576289791438
"GAS6",29.4818409632718,-3.53880558730157e-05,0.954994511525796
"UBL4A",37.3637954552378,5.00133333333319e-06,0.20032930845225
