"","Overall","importance","pvalue"
"NKD1",34.7894038679274,0,0.703828828828829
"TMEM11",55.2059915769929,0.000167804603174603,0.00563063063063063
"CCDC142",44.808822006756,8.23499258928571e-05,0.0343468468468469
"PAOX",34.5154738245193,-2.25143999999999e-06,0.768018018018018
"FBXL8",34.7894038679274,0,0.703828828828829
"ZNF18",48.6001016870766,0.000113510577777778,0.0208333333333334
"RAVER1",29.9727432851363,-3.95882911111112e-05,0.920045045045045
"VAC14",49.8625915820293,0.000123887023580247,0.0197072072072072
"ZDHHC11",35.8378576575702,8.61727604166673e-06,0.161036036036036
"GEMIN6",68.7551502104915,0.000279165581818182,0.000563063063063085
"UQCC1",34.7894038679274,0,0.703828828828829
"CHTF18",77.1925144082504,0.000348512554545455,0
"SNX17",34.2555091984067,-4.38809777777771e-06,0.80518018018018
"SCAND1",33.8848038110254,-7.43493750000002e-06,0.831644144144144
"MLYCD",53.0819460744573,0.000150347003611111,0.00788288288288286
"DNPH1",40.7367177968257,4.88811679999999e-05,0.0675675675675675
"TBX3",34.7894038679274,0,0.703828828828829
"SPIN2B",34.6609188248631,-1.05602277777783e-06,0.743243243243243
"PPAN",39.5177638345767,3.88625454545455e-05,0.0822072072072072
"DDX28",43.7733641240924,7.38394636363637e-05,0.0416666666666666
"SLC30A3",34.7894038679274,0,0.703828828828829
"FXR2",67.0561207258638,0.000265201202828283,0.000563063063063085
"CCDC136",34.7894038679274,0,0.703828828828829
"TRADD",50.0427793452132,0.000125367992708333,0.017454954954955
"MON1B",34.7894038679274,0,0.703828828828829
"SRC",54.4698536101422,0.000161754261111111,0.00619369369369371
"USB1",34.7378379191432,-4.23822222222148e-07,0.724099099099099
"MRPL4",54.3626620296827,0.00016087325,0.00619369369369371
"GEMIN4",33.2263874263872,-1.2846483333333e-05,0.866554054054054
"AARS",34.7894038679274,0,0.703828828828829
"MEPCE",36.2932234276114,1.2359942222222e-05,0.13795045045045
"RAC3",35.0419143592791,2.07539199999984e-06,0.236486486486487
"ATP6V0D1",49.9356225936599,0.000124487267857143,0.0197072072072072
"WRAP53",42.1059818911131,6.01351944444444e-05,0.0557432432432432
"KDM6B",34.7894038679274,0,0.703828828828829
"POP7",34.0995173365818,-5.67020000000018e-06,0.816441441441441
"MRPL28",39.8784617192905,4.18271331845237e-05,0.0765765765765766
"ATP2A1",34.7894038679274,0,0.703828828828829
"LAMTOR4",36.8453327302995,1.68977466666667e-05,0.121621621621622
"KRI1",36.5915333504643,1.48117612500001e-05,0.126689189189189
"DESI1",34.7894038679274,0,0.703828828828829
"ATP5J2",32.6580776502184,-1.75174399999998e-05,0.879504504504504
"MRPL53",34.7894038679274,0,0.703828828828829
"EDC4",27.1067024036523,-6.3144375e-05,0.948198198198198
"SSC4D",37.490928567422,2.22039200000002e-05,0.109797297297297
"TRABD",49.7901610038693,0.000123291714285714,0.0197072072072072
"KIAA1755",35.0869643325885,2.44565920634932e-06,0.228603603603604
"PHF23",34.7894038679274,0,0.703828828828829
"SPNS1",34.7894038679274,0,0.703828828828829
"DDX56",34.7894038679274,0,0.703828828828829
"AAR2",34.5057015202519,-2.33175888888892e-06,0.769144144144144
"TMEM208",38.2685770402147,2.85954382716049e-05,0.0968468468468469
"CDC37",42.8753659397093,6.64587871428572e-05,0.0472972972972973
"GNL3L",30.4852438786991,-3.53760319444445e-05,0.912725225225225
"FBXL15",35.8988818107394,9.11883555555537e-06,0.156531531531532
"LRRC14",35.5232039938992,6.03112727272714e-06,0.181306306306306
"CREB3",54.6693946008899,0.000163394295050505,0.00619369369369371
"ZSWIM3",34.7894038679274,0,0.703828828828829
"MVD",34.7894038679274,0,0.703828828828829
"TRPC4AP",34.7894038679274,0,0.703828828828829
"METTL16",49.7691622694915,0.000123119125,0.0197072072072072
"RBM10",34.7894038679274,0,0.703828828828829
"PRMT7",34.1052774860472,-5.62285714285715e-06,0.814752252252252
"ZNF319",45.1813809437423,8.5412e-05,0.0326576576576577
"ZDHHC24",34.7894038679274,0,0.703828828828829
"PTCD1",45.6116504125449,8.8948398858586e-05,0.0298423423423423
"DVL2",50.3867092532695,0.000128194763888889,0.0163288288288288
"ELOF1",35.6792789561412,7.31391250000013e-06,0.169481981981982
"TBRG4",39.628815167793,3.977528e-05,0.079954954954955
"NECAB3",44.4741600125707,7.9599328e-05,0.035472972972973
"MED9",33.8583900176093,-7.6520333333332e-06,0.833896396396396
"KAT2A",34.7894038679274,0,0.703828828828829
"ATP13A1",34.7894038679274,0,0.703828828828829
"MED12",34.9785845161064,1.55488194444464e-06,0.243243243243243
"TERT",34.4981313945512,-2.39397799999996e-06,0.77027027027027
"TNFSF15",34.7894038679274,0,0.703828828828829
"IL17RA",33.8944315659777,-7.35580666666658e-06,0.831081081081081
"CELF6",34.7894038679274,0,0.703828828828829
"CES2",38.2282990316731,2.82643920000001e-05,0.0974099099099099
"PREB",34.7894038679274,0,0.703828828828829
"PIN4",34.1715198369442,-5.07840909090906e-06,0.811373873873874
"CBWD5",36.4930283444482,1.4002145378788e-05,0.129504504504504
"PHF8",36.3162162779233,1.25489212121213e-05,0.136261261261261
"EIF3G",34.7894038679274,0,0.703828828828829
"TMEM198",48.2338560229004,0.000110500392666667,0.0219594594594594
"NDUFB11",23.8112264273947,-9.023e-05,0.970720720720721
"TBX1",48.6354053816582,0.00011380074,0.0208333333333334
"ETFB",34.7894038679274,0,0.703828828828829
"LRWD1",34.6931503141986,-7.91111111110965e-07,0.732545045045045
"MED31",31.2273667577708,-2.92764996913579e-05,0.904279279279279
"ZNF462",74.57111115459,0.000326967155333333,0
"RPL15",79.7058085696971,0.000369169401587301,0
"DRD4",48.7214298323022,0.000114507777777778,0.0208333333333334
"SLC25A11",38.8091733784346,3.30386172839507e-05,0.0900900900900901
"WDR77",41.2959176608093,5.347725e-05,0.0613738738738738
"WDR24",30.7871406924527,-3.28947321428572e-05,0.90990990990991
"EEF1A1",36.0399147424642,1.02779898412699e-05,0.148085585585586
"USP21",34.3234562066928,-3.82963909090917e-06,0.798986486486487
"NFS1",37.3900145797479,2.13745046296299e-05,0.111486486486487
"DDX19A",33.6189050248972,-9.62036833333313e-06,0.847972972972973
"LAS1L",46.1074843950695,9.30236746031747e-05,0.0287162162162162
"FUK",38.6869671148022,3.20341999999998e-05,0.0912162162162162
"PCGF1",41.4271491263753,5.45558457142856e-05,0.0608108108108109
"HHIPL1",26.9262306675128,-6.4627678111111e-05,0.949887387387387
"GCDH",62.2785374349595,0.000225934089259259,0.000563063063063085
"ZC3H3",30.4482241062753,-3.56802986666664e-05,0.913288288288288
"DBN1",37.5840453638374,2.29692500000001e-05,0.106981981981982
"CNPY2",18.6118506295964,-0.00013296384,0.98704954954955
"RANBP10",34.7894038679274,0,0.703828828828829
"HSD17B10",34.7894038679274,0,0.703828828828829
"SMO",34.7894038679274,0,0.703828828828829
"TERF2IP",34.4593002345864,-2.71313257575745e-06,0.778153153153153
"APEX2",34.7894038679274,0,0.703828828828829
"B3GAT2",58.1435269002289,0.000191948302222222,0.00281531531531531
"DCTN1",45.8412010823673,9.08350833333334e-05,0.0292792792792793
"FAM3A",34.7894038679274,0,0.703828828828829
"COG4",34.6814469326657,-8.87301587301881e-07,0.73536036036036
"CCL28",34.7894038679274,0,0.703828828828829
"DHX38",33.1977324370169,-1.30819996296296e-05,0.867117117117117
"ROMO1",37.9326633515104,2.58345526604939e-05,0.100788288288288
"COPS6",34.8639902059616,6.13027555555812e-07,0.273085585585586
"UXT",38.0962280165009,2.71788960000001e-05,0.0990990990990991
"RHBDD3",50.8207300795874,0.000131761995277778,0.0140765765765766
"MLF2",32.4896469092001,-1.89017777777778e-05,0.883445945945946
"DLL1",43.6954238535917,7.31988699999999e-05,0.0422297297297297
"KDM5C",34.7894038679274,0,0.703828828828829
"MXD4",44.0371516151883,7.60075416666666e-05,0.0405405405405406
"CCDC94",27.9331956420332,-5.63513999999998e-05,0.943130630630631
"AARS2",49.1691447769828,0.000118187561574074,0.0202702702702703
"MDFI",33.0549319757316,-1.42556812987014e-05,0.872184684684685
