"","Overall","importance","pvalue"
"CDK13",54.921474563181,8.14867199999991e-06,0.0830653804930332
"MTA1",46.8967130503177,0,0.689174705251876
"MYLIP",48.294981856483,1.4198594999999e-06,0.241693461950697
"CCDC117",46.8967130503177,0,0.689174705251876
"HOXC8",57.4366211395686,1.07026549999998e-05,0.0530546623794212
"RCOR1",67.515401242758,2.0937061728395e-05,0.0133976420150054
"NUDCD3",47.1270760116798,2.33919999999888e-07,0.295284030010718
"RALA",46.8967130503177,0,0.689174705251876
"PPM1A",49.6055729950933,2.75068750000007e-06,0.19882100750268
"NRDE2",53.2443983275584,6.4457e-06,0.107717041800643
"AS3MT",44.6300950508065,-2.30161688888897e-06,0.787245444801715
"MAP3K11",46.3385657872651,-5.6676562499991e-07,0.722400857449089
"LYZ",45.6772232148439,-1.23832000000013e-06,0.751875669882101
"PANK1",75.6715908094028,2.92191911651234e-05,0.0037513397642015
"SREBF2",41.125737844204,-5.86008493827173e-06,0.883172561629153
"STK17A",46.6840960728977,-2.15899999999936e-07,0.703644158628081
"BTBD7",46.8967130503177,0,0.689174705251876
"YY1",47.0739496698154,1.79973333333416e-07,0.29903536977492
"SUMF2",40.9255645264794,-6.06334913580264e-06,0.886387995712755
"RP9",34.741054624465,-1.23433541666669e-05,0.962486602357985
"NSMCE4A",47.5016271069229,6.14254545454607e-07,0.277063236870311
"HOXC9",53.0040173276375,6.20160727272734e-06,0.110932475884244
"ADO",58.1817880045776,1.14593280000002e-05,0.0444801714898178
"MPLKIP",46.8967130503177,0,0.689174705251876
"STX1A",50.2088754466225,3.36330555555553e-06,0.182743837084673
"TECPR2",39.4245355226255,-7.58755555555557e-06,0.910503751339764
"HOXC10",46.8967130503177,0,0.689174705251876
"TIMM17A",46.8967130503177,0,0.689174705251876
"DDTL",46.8967130503177,0,0.689174705251876
"HOXA4",54.032650248771,7.24612333333341e-06,0.0959271168274384
"SAV1",46.8967130503177,0,0.689174705251876
"ELMSAN1",46.8967130503177,0,0.689174705251876
"KAZALD1",49.2185832332029,2.35772222222219e-06,0.211146838156484
"PLA2G4A",28.4633550166855,-1.87179878472223e-05,0.984458735262594
"RSPH1",72.8566848100588,2.63608201515153e-05,0.00535905680600213
"SETD3",50.1148835236311,3.26786230158738e-06,0.185423365487674
"MFSD8",54.0452080108077,7.258875e-06,0.0959271168274384
"SERPINF1",43.829671297298,-3.11440000000007e-06,0.810825294748124
"SPTLC2",42.9346591952944,-4.02323199999999e-06,0.831725616291533
"SLK",53.2096438607948,6.41040888888877e-06,0.107717041800643
"ATG14",54.8722489894853,8.09868633333366e-06,0.0836012861736335
"ERP27",46.9121564073453,1.56818181817897e-08,0.309217577706324
"AREL1",64.4736202101051,1.78483125000002e-05,0.0171489817792069
"ANKRD9",62.0821893920193,1.54199555555556e-05,0.0235798499464094
"ZDHHC24",46.1754516577015,-7.32398402777612e-07,0.729903536977492
"ST6GALNAC4",39.6985697113347,-7.30929000000002e-06,0.904608788853162
"LANCL2",46.8967130503177,0,0.689174705251876
"ALKBH1",54.341837398355,7.5600846472661e-06,0.0911039657020365
"CRNKL1",46.8967130503177,0,0.689174705251876
"ZMIZ2",46.8967130503177,0,0.689174705251876
"ENTPD5",52.7369739700347,5.9304404938274e-06,0.115755627009646
"RALGAPA2",46.8967130503177,0,0.689174705251876
"SLC25A29",47.7967653268951,9.13950000000163e-07,0.261521972132905
"TSPAN9",37.9229397456343,-9.11233749999996e-06,0.932475884244373
"SYNE1",54.4136024822778,7.63295785714302e-06,0.0884244372990354
"CEP41",65.999640279725,1.93978958730159e-05,0.015005359056806
"PPP1R13B",64.9690122843378,1.83513539321787e-05,0.0160771704180064
"VPS41",45.2483871031944,-1.67377777777777e-06,0.764737406216506
"SPATA5",51.068351780866,4.23605307936503e-06,0.160771704180064
"ZNF236",46.8967130503177,0,0.689174705251876
"LRRC75B",44.3792655579702,-2.55631944444445e-06,0.796355841371919
"FAM161B",42.0260028848701,-4.94591888888873e-06,0.857984994640943
"PLA2G12A",46.8967130503177,0,0.689174705251876
"HIST1H3J",46.8967130503177,0,0.689174705251876
"HTRA4",52.4742972499536,5.66370777777769e-06,0.120578778135048
"DHRS7",46.8978948028555,1.20000000003451e-09,0.310825294748124
"KIAA1109",46.8967130503177,0,0.689174705251876
"HOXA9",68.3202776987966,2.17543662962962e-05,0.0112540192926045
"XRN2",47.4052080367353,5.16346666666667e-07,0.281350482315113
"CHCHD6",47.0422734495698,1.47808000000138e-07,0.30117899249732
"DEGS2",42.277828332484,-4.69020499999995e-06,0.851554126473741
"GPC2",51.3597711125705,4.53197222222212e-06,0.152197213290461
"SIDT1",46.1199660736418,-7.88740740740757e-07,0.730975348338692
"RBM48",49.245719772959,2.38527777777775e-06,0.208467309753483
"TRIP11",46.8967130503177,0,0.689174705251876
"HOXC6",46.8967130503177,0,0.689174705251876
"SCRN3",46.8967130503177,0,0.689174705251876
"IL20RA",47.086012299423,1.92222222222149e-07,0.296891747052519
"LMTK2",44.927371685817,-1.99974999999997e-06,0.780814576634512
"RTN4RL1",46.8967130503177,0,0.689174705251876
"FH",35.6726427471413,-1.13973813749999e-05,0.955519828510182
"ZNF433",54.0869793156333,7.3012912962962e-06,0.0959271168274384
"ALG8",47.2701468522523,3.79200000000024e-07,0.288853161843516
"CWF19L1",46.8967130503177,0,0.689174705251876
"EGFR",28.851590094385,-1.83237580246915e-05,0.983922829581994
"KCNK17",46.8967130503177,0,0.689174705251876
"ATP5G3",46.8967130503177,0,0.689174705251876
"TOB2",46.8967130503177,0,0.689174705251876
"SLC29A3",46.8967130503177,0,0.689174705251876
"FOLH1",47.8229116017931,9.40500000000011e-07,0.260450160771704
"SOS2",49.3563588619282,2.49762524691355e-06,0.206323687031083
"HSD17B7",38.493639661129,-8.53282539682532e-06,0.923365487674169
"YLPM1",48.0240261878451,1.14471999999965e-06,0.252411575562701
"SPDEF",51.5007684151255,4.6751466666668e-06,0.14898177920686
"WARS",46.1087000327817,-8.0018074074073e-07,0.733118971061093
"MPC1",53.8822873228797,7.0934386507937e-06,0.0991425509110396
"RNF39",46.0289514584107,-8.81160714285789e-07,0.737406216505895
"HDHD2",39.644814742773,-7.36387500000002e-06,0.906216505894962
"EP300",46.8967130503177,0,0.689174705251876
"PLK4",47.7709292620382,8.87715000000178e-07,0.262057877813505
"HACL1",46.8967130503177,0,0.689174705251876
"SEC23IP",58.4986625376306,1.17810953984285e-05,0.0412647374062165
"BRD1",46.653468986294,-2.46999999999886e-07,0.705787781350482
"RASAL2",45.2144390731163,-1.70825000000008e-06,0.766881028938907
"NSUN5",48.379213730597,1.50539200000011e-06,0.241157556270096
"CEP76",46.9196095057369,2.32499999999192e-08,0.308145766345123
"SLC25A20",46.8967130503177,0,0.689174705251876
"MEF2C",46.8967130503177,0,0.689174705251876
"FANCM",46.636727492009,-2.6399999999982e-07,0.707931404072883
"WARS2",46.8967130503177,0,0.689174705251876
"PLEKHH1",65.9987580295501,1.93970000000001e-05,0.015005359056806
"ABHD17B",47.2550519331697,3.63871999999876e-07,0.288853161843516
"TOP1",47.2247281630506,3.33079999999875e-07,0.289924973204716
"RBBP9",57.390064466442,1.06553794444444e-05,0.0530546623794212
"MLXIPL",52.1670132621155,5.35167901234579e-06,0.133440514469453
"AVL9",46.8967130503177,0,0.689174705251876
"PIP5K1B",62.998127486507,1.63500366666667e-05,0.0209003215434084
"SORL1",50.1866780732085,3.34076543209871e-06,0.183279742765273
"RNASEH2C",56.9813845922054,1.02403891369047e-05,0.0578778135048231
"TRIM24",45.6686752048208,-1.247e-06,0.752411575562701
"HOXA5",45.0012134931396,-1.92476799999985e-06,0.776527331189711
"POLB",46.1104255582246,-7.98428571428422e-07,0.732047159699893
"ARID5B",46.8967130503177,0,0.689174705251876
"ALX4",46.8967130503177,0,0.689174705251876
"ATG2B",43.0213518452513,-3.93520072727282e-06,0.829046087888532
"FADS2",46.8967130503177,0,0.689174705251876
"KLHDC10",47.1709781184576,2.78499999999626e-07,0.290996784565916
"RRP7A",47.2241110256143,3.32453333333316e-07,0.289924973204716
"KIDINS220",54.0357274010734,7.24924799999993e-06,0.0959271168274384
"SLX4IP",46.8967130503177,0,0.689174705251876
"CDCA4",46.9938003677444,9.85864444447149e-08,0.302250803858521
"RNF133",46.8967130503177,0,0.689174705251876
"PCDHB11",47.5141787513012,6.26999999999933e-07,0.277063236870311
"YAE1D1",45.2219342291656,-1.70063911111118e-06,0.766345123258307
"FCGR2A",46.8967130503177,0,0.689174705251876
"DYNC1H1",46.8967130503177,0,0.689174705251876
"PSEN1",54.0564765683631,7.27031755555574e-06,0.0959271168274384
"FAM160B1",46.8967130503177,0,0.689174705251876
"MTCP1",30.725306310987,-1.64211097222222e-05,0.979635584137192
"GOLGA4",46.8967130503177,0,0.689174705251876
"PNMT",56.3388690493764,9.5879525e-06,0.0637727759914255
"AQP11",43.3514554370147,-3.60000000000005e-06,0.823151125401929
"RMND1",46.8967130503177,0,0.689174705251876
