"","Overall","importance","pvalue"
"PTPN14",73.0309904849343,0.000105305334325397,0.00168634064080941
"NSUN3",59.6691034517104,5.84892444444445e-05,0.0118043844856661
"RHBDL3",51.7790906228426,3.08449791666667e-05,0.0449690837549185
"PKN3",42.9755547398762,0,0.69814502529511
"TTI1",61.5805506378708,6.51863885714286e-05,0.00843170320404718
"PCDHB6",48.2675265610282,1.85415e-05,0.0927487352445194
"USH1C",34.5700371805004,-2.94504409876544e-05,0.951658234963463
"HAND1",42.9755547398762,0,0.69814502529511
"COL3A1",35.2106807356453,-2.72058159444444e-05,0.944912872400225
"RALGAPB",70.9539643051862,9.80280505050506e-05,0.00224845418774589
"DISP1",47.6563161597664,1.64e-05,0.103991006183249
"CCDC87",47.1105024529933,1.44876306250001e-05,0.114671163575042
"ISL2",43.6960038378362,2.52424000000007e-06,0.250140528386734
"ANKRD20A4",49.6709142439598,2.34585542857144e-05,0.0691399662731872
"KCNH3",42.9755547398762,0,0.69814502529511
"UBXN7",42.9755547398762,0,0.69814502529511
"SHF",47.2287685617789,1.49020000000002e-05,0.110736368746487
"SLIT1",42.9755547398762,0,0.69814502529511
"BMP5",44.4008968961474,4.99397624999998e-06,0.206295671725689
"POLA2",52.7785446711976,3.43467697777777e-05,0.0410342889263631
"FUNDC2",42.9755547398762,0,0.69814502529511
"TPK1",53.157377587779,3.56740879797981e-05,0.0399100618324901
"CCNO",51.8183723568825,3.09826107142857e-05,0.0449690837549185
"POU4F1",42.8883742611022,-3.05454545454609e-07,0.704328274311411
"SAMD11",42.9755547398762,0,0.69814502529511
"NOTCH2",41.7223077800015,-4.39100571428575e-06,0.785834738617201
"TAF3",42.9755547398762,0,0.69814502529511
"KRT23",36.6589095512155,-2.2131651626984e-05,0.926363125351321
"MYT1",43.5122707738101,1.8804938271606e-06,0.261382799325464
"TET1",35.2070050535753,-2.72186944444446e-05,0.945474985947161
"SLC10A4",42.9755547398762,0,0.69814502529511
"ZIC1",43.2746732977413,1.04802272727289e-06,0.278808319280495
"RPRD1B",48.7261640131533,2.01484296296299e-05,0.0826306913996627
"SOGA1",80.7407621532667,0.000132318088024691,0.000562113546936471
"LRCH3",45.762643020932,9.7651308641975e-06,0.146149522203485
"CACNA2D1",38.1038525035284,-1.7069e-05,0.899943788645306
"TTBK2",42.9755547398762,0,0.69814502529511
"PCDHB15",77.4461559309214,0.000120774764791667,0.000562113546936471
"LHX2",42.9755547398762,0,0.69814502529511
"ST8SIA5",42.5736268582308,-1.40823611111118e-06,0.727937043282743
"PCDHB10",56.3279609220028,4.67828717901233e-05,0.0241708825182687
"ZNF775",62.5591234593354,6.86150175555555e-05,0.00674536256323777
"HOXD10",45.0127667187018,7.13778666666665e-06,0.177627880831928
"CCDC136",51.4792098072307,2.97942857142859e-05,0.0477796514896009
"TMEM37",42.3347257742183,-2.2452746666668e-06,0.745362563237774
"SMYD2",42.9755547398762,0,0.69814502529511
"ADAM33",41.3733301058478,-5.61371999999993e-06,0.801573917931422
"GATAD1",86.3187412878726,0.000151861672839506,0
"HOXD11",42.9755547398762,0,0.69814502529511
"TUBB2B",42.9755547398762,0,0.69814502529511
"CENPH",42.9755547398762,0,0.69814502529511
"ZBTB12",41.0451687725941,-6.76350000000014e-06,0.816188870151771
"CHRNA3",42.9755547398762,0,0.69814502529511
"PADI2",42.9755547398762,0,0.69814502529511
"RBM12",33.9021889599971,-3.17903831111113e-05,0.955593029792018
