"","Overall","importance","pvalue"
"ZNF18",61.9468651626464,0.000170695903492063,0.00580168776371304
"GEMIN6",70.9607900603419,0.000255806326960317,0.00210970464135019
"CCDC142",38.9207788232304,-4.67188166666668e-05,0.914556962025316
"PAOX",43.8687027975438,0,0.681962025316456
"GEMIN4",61.3276732505004,0.000164849428571429,0.00843881856540085
"MEPCE",43.3011933860762,-5.35848333333333e-06,0.78006329113924
"UQCC1",60.2740118967429,0.000154900647654321,0.0100210970464135
"FBXL8",43.4046787549139,-4.38136363636366e-06,0.770042194092827
"USP21",45.4321665481746,1.47623885714285e-05,0.170358649789029
"GNL3L",99.9368089937212,0.000529400934174603,0
"MLYCD",44.4215456345145,5.22e-06,0.22204641350211
"ETFB",54.9696637248303,0.000104816436363636,0.0263713080168776
"AGBL5",43.8687027975438,0,0.681962025316456
"TRIB2",68.9682850855564,0.000236992886190476,0.00263713080168781
"SPIN2B",37.9326219409251,-5.60490974999999e-05,0.927215189873418
"DRD4",44.8845144424712,9.59139999999992e-06,0.192510548523207
"SLC35D1",45.8931167131999,1.91147283333333e-05,0.150316455696203
"GPR89B",43.8687027975438,0,0.681962025316456
"ZBTB37",43.8687027975438,0,0.681962025316456
"RPP25L",38.4939382593668,-5.07490900000003e-05,0.920358649789029
"TBX3",43.8687027975438,0,0.681962025316456
"B9D1",44.0268706061798,1.49343702380955e-06,0.273206751054852
"SLC30A3",43.8687027975438,0,0.681962025316456
"RAVER1",40.6249308716618,-3.06280344444443e-05,0.879746835443038
"HEXIM2",43.8687027975438,0,0.681962025316456
"SNX17",56.8025628525372,0.000122122862,0.0205696202531646
"KRT13",43.2575894371009,-5.77019638888876e-06,0.782700421940928
"METTL16",63.1810858379629,0.000182349544444444,0.004746835443038
"MSTO1",43.8687027975438,0,0.681962025316456
"RBPMS2",43.8687027975438,0,0.681962025316456
"CCDC136",83.5988889192921,0.000375136580753968,0.000527426160337519
"AVEN",50.0619143400128,5.84769523809525e-05,0.0701476793248945
"ZDHHC11",43.8687027975438,0,0.681962025316456
"MON1B",43.866678766723,-1.91111111111919e-08,0.683016877637131
"IL17RA",43.9729307139676,9.84130909090775e-07,0.289556962025316
"PPAN",43.8482743418865,-1.92887619047566e-07,0.689345991561181
"ZC3H3",54.8378007378283,0.000103571372222222,0.0263713080168776
"FAM136A",47.72081001331,3.63720000000001e-05,0.102848101265823
"TERF2IP",43.8687027975438,0,0.681962025316456
"TIMM8A",43.7424597589098,-1.19199999999986e-06,0.717827004219409
"SLC25A11",53.6037541476543,9.1919375e-05,0.0348101265822784
"POP7",72.6503526752351,0.000271759354222222,0.00158227848101267
"LRRC14",41.9709454229577,-1.79188240000001e-05,0.844409282700422
"SFXN4",42.6728355195392,-1.12915041558443e-05,0.820675105485232
"DDX28",45.7724449959144,1.79753333333335e-05,0.155063291139241
"ABHD16B",44.0909555830414,2.09853409090899e-06,0.264240506329114
