"","Overall","importance","pvalue"
"ZFP91",59.1515100117413,5.84041416825396e-05,0.00864553314121042
"SP1",43.703852057346,1.0297362222222e-05,0.129682997118156
"ZNF407",63.2487636824287,7.11637249999999e-05,0.0051873198847262
"SLC29A2",43.0677603035564,8.31645833333328e-06,0.146397694524496
"FBXO45",41.5691099017502,3.64939200000003e-06,0.213832853025937
"DIP2B",25.1806313444353,-4.73872716790125e-05,0.985590778097983
"SCYL2",39.5809643777005,-2.54204999999996e-06,0.767723342939481
"CIDEB",45.0191548021141,1.43934510437709e-05,0.102593659942363
"FAM111B",80.9239672587522,0.000126207481333333,0
"LRRCC1",52.8440099960899,3.87614545454544e-05,0.024207492795389
"SPOPL",40.7141961186531,9.87037037037064e-07,0.269164265129683
"EIF1AD",45.6457158880022,1.63446747222225e-05,0.0968299711815562
"GPR160",40.3972468090647,0,0.709510086455331
"TBKBP1",73.844469958788,0.000104160656092593,0.000576368876080702
"KLF11",74.4717168407037,0.000106114015462963,0.000576368876080702
"PBDC1",40.3972468090647,0,0.709510086455331
"LPL",39.7829726445508,-1.91296000000007e-06,0.753314121037464
"SLC26A10",40.3972468090647,0,0.709510086455331
"PPCS",56.6898829952771,5.07381933333333e-05,0.0121037463976945
"IL1RN",69.0151319947041,8.91212308888891e-05,0.0011527377521614
"C11orf80",51.1012030132515,3.33340407968576e-05,0.0328530259365994
"ARHGEF25",41.2450106914588,2.64008888888889e-06,0.229971181556196
"SLAIN2",40.544101971346,4.5733333333331e-07,0.280691642651297
"SLC25A40",40.1534396478429,-7.59259259259126e-07,0.72507204610951
"ZNF675",47.663023386805,2.26269323456791e-05,0.0628242074927954
"KLF3",40.3972468090647,0,0.709510086455331
"LIN54",40.3972468090647,0,0.709510086455331
"SLC41A1",60.4871796502375,6.25636566666667e-05,0.00749279538904901
"ABHD17A",59.5637382628607,5.96878944444443e-05,0.00864553314121042
"CDCA4",62.4999777812672,6.88318713095237e-05,0.00576368876080691
"SNX15",38.1574419667196,-6.97515428571416e-06,0.838040345821326
"CTSB",27.724497495938,-3.94652159027782e-05,0.979827089337176
"TRIM24",40.3972468090647,0,0.709510086455331
"ALG10B",40.3972468090647,0,0.709510086455331
"SLC38A2",40.9401332555977,1.69064583333345e-06,0.254178674351585
"GNPTAB",39.5028660714875,-2.78526214285724e-06,0.772334293948127
"SLPI",89.9288949125682,0.000154250442277778,0
"COPS5",38.8928026636177,-4.6851090909088e-06,0.806916426512968
"ASAP2",35.8941502172498,-1.40234510157127e-05,0.895677233429395
"FABP5",40.3972468090647,0,0.709510086455331
"SLC26A5",40.3972468090647,0,0.709510086455331
"CXADR",40.3972468090647,0,0.709510086455331
"PAWR",29.3991684426281,-3.424999e-05,0.968876080691643
"POLD3",43.6208389300688,1.00388444444446e-05,0.131412103746398
"KLRG2",37.2428653567548,-9.82331000000003e-06,0.867435158501441
"MTA2",60.4187807489548,6.235065021164e-05,0.00806916426512971
"CHST10",40.3972468090647,0,0.709510086455331
"NTPCR",32.6728004936582,-2.4055312232143e-05,0.941210374639769
"WLS",50.8222336084276,3.246528e-05,0.0351585014409221
"TMEM259",40.3972468090647,0,0.709510086455331
"PLEKHF2",41.2986471668221,2.80712249999993e-06,0.227665706051873
"SPCS2",40.2899954441916,-3.34000000000056e-07,0.718155619596542
"ZNF148",62.1178608573516,6.76418906249998e-05,0.00576368876080691
