"","Overall","importance","pvalue"
"TSPAN6",27.3337944029094,-1.52573928571427e-05,0.918086500655308
"CALR",100,0.000212874507619047,0
"C16orf74",32.1936883674031,0,0.72870249017038
"BPI",32.1936883674031,0,0.72870249017038
"UNC119",32.1936883674031,0,0.72870249017038
"CAV1",32.2804515784915,2.72388740740759e-07,0.26867627785059
"ECH1",37.779347742517,1.75358968888888e-05,0.0655307994757536
"CAV2",30.2912212189517,-5.97270000000005e-06,0.832896461336828
"ZFP36L2",58.5445648237106,8.27272523148148e-05,0.000655307994757548
"B3GNT4",34.289823212362,6.58070999999993e-06,0.157273918741809
"TMEM134",34.6730273081552,7.78375999999992e-06,0.1435124508519
"AKNA",33.0573443155875,2.71140444444451e-06,0.222149410222805
"EXTL3",32.1936883674031,0,0.72870249017038
"CTSA",43.5460913533115,3.56402986349207e-05,0.0144167758846658
"FADD",51.5132353054178,6.06527466666666e-05,0.00196592398427264
"CLEC7A",50.5292090064972,5.75634455555556e-05,0.00262123197903019
"MAFB",32.1936883674031,0,0.72870249017038
"CLCF1",51.8231855874847,6.16258199999999e-05,0.00196592398427264
"DCTN6",32.1936883674031,0,0.72870249017038
"IFNGR1",45.5565006740443,4.19518776599328e-05,0.009829619921363
"PPP1R14B",35.764329660322,1.12098488888892e-05,0.111402359108781
"USP9X",70.5185547207923,0.000120318991818182,0
"PDIA3",27.8570257385535,-1.36147343750002e-05,0.908256880733945
"CRTAC1",39.482284679621,2.28821818181819e-05,0.0432503276539974
"VPS35",34.3639738569938,6.81350222222221e-06,0.155963302752294
"DEGS1",45.691146670856,4.2374592e-05,0.00917431192660545
"STIP1",32.1936883674031,0,0.72870249017038
"TRAK1",32.1936883674031,0,0.72870249017038
"GTF3C5",49.0227455252296,5.28339791666665e-05,0.00327653997378763
"PRDM13",34.2705562124951,6.52022222222226e-06,0.159239842726081
"CLCN3",32.1936883674031,0,0.72870249017038
"PLOD3",32.1936883674031,0,0.72870249017038
"SPEF2",37.0184027467056,1.51469483174602e-05,0.0825688073394495
