"","Overall","importance","pvalue"
"RABGAP1",66.7139237127648,9.60944994285715e-05,0.00701565029681595
"VOPP1",50.7082569537547,3.26804833333334e-05,0.0658391797085807
"FUK",42.4597188865372,0,0.693470048569887
"DACT2",44.1652101576081,6.75711000000012e-06,0.20831084727469
"SDHC",42.4597188865372,0,0.693470048569887
"SLC44A4",46.0757434502424,1.43265909090911e-05,0.147328656233135
"ETFB",43.6120580398052,4.56553636363655e-06,0.234214786832164
"NME3",45.558063126537,1.22755555555556e-05,0.165677280086346
"CUEDC2",52.2981738043911,3.8979690625e-05,0.0539665407447383
"ZBTB43",41.111120419306,-5.34311042424229e-06,0.775499190501889
"TBX1",56.2075052848026,5.44683555555554e-05,0.0296815974096061
"PAOX",64.6334199139894,8.78516e-05,0.00863464651915813
"RAB14",42.4597188865372,0,0.693470048569887
"UXT",61.6364668017811,7.59777533333332e-05,0.0129519697787371
"ACYP1",58.985151895888,6.54733158333334e-05,0.0199676200755532
"FGD1",42.4597188865372,0,0.693470048569887
"PEMT",45.7963451510029,1.32196224514991e-05,0.157582298974636
"FIS1",43.5944429940468,4.49574603174607e-06,0.234214786832164
"NME4",52.9683154322877,4.16347735164142e-05,0.0496492174851592
"SNX30",58.9853606863738,6.54741430555554e-05,0.0199676200755532
"SPATA2L",42.4597188865372,0,0.693470048569887
"RALGPS1",37.2240232456977,-2.07436836363637e-05,0.889368591473287
"FBXL3",41.4897191643937,-3.84311250000002e-06,0.752293577981651
"ADA",50.9899364925601,3.37964900000001e-05,0.0647598488936859
"SULT1E1",45.9187328456075,1.37045191666667e-05,0.153264975715057
"GOLGA1",81.5593958480464,0.000154911856,0.00107933081489475
"UROS",34.4988590532095,-3.154071e-05,0.930922827846735
"EREG",65.4714053662456,9.11716755555554e-05,0.00863464651915813
"TIMM22",46.0025031921987,1.40364150000001e-05,0.15056664867782
"MSTO1",45.1914668565762,1.08231111111114e-05,0.172153264975715
"FKBP15",55.31299820682,5.09243428571429e-05,0.032379924446843
"GPR89A",49.5930541056332,2.826208e-05,0.0809498111171074
"HSD17B10",42.4597188865372,0,0.693470048569887
"SNAP47",41.8089137542101,-2.57847222222218e-06,0.735563950350782
"PTPN3",39.3364263569293,-1.23743999999999e-05,0.835402050728548
"MERTK",41.5295560104775,-3.68528000000001e-06,0.750674581759309
"TMEM231",31.1262272548622,-4.49029853968255e-05,0.955747436589315
"CYP4B1",52.5969807359327,4.01635555555555e-05,0.0518078791149488
"USF1",58.4968592027296,6.35387134722223e-05,0.02266594711279
"EIF5A",41.7296532961336,-2.89249999999996e-06,0.741500269832704
"PDCL",50.0806066722763,3.019375e-05,0.0755531570426335
"PSMB10",42.9216464524342,1.83014444444418e-06,0.278467350242849
"CNPY2",42.4597188865372,0,0.693470048569887
"ARL14",52.1326241752811,3.83237875000002e-05,0.0561252023745278
"ESRRG",75.3905752469512,0.000130471156666667,0.0021586616297895
"CHCHD5",50.1637169741101,3.05230307539681e-05,0.0739341608202915
"SLC25A11",42.4597188865372,0,0.693470048569887
"NODAL",48.2830189054998,2.30717561904763e-05,0.0992984349703184
"DPM3",41.8778607475331,-2.30530611111113e-06,0.730706961683756
"GABARAP",38.8576547693321,-1.427128e-05,0.852671343766864
"PEX19",47.0904787233346,1.83469444444446e-05,0.124123043712898
"MRPS25",47.6923957001373,2.07317231250002e-05,0.111171073934161
"SLC7A5",41.5279516673933,-3.69163636363634e-06,0.751214247166757
"EGF",44.3199856753261,7.3703263888889e-06,0.203993524015111
"SMIM14",53.0469675613292,4.19463911111113e-05,0.0496492174851592
