"","Overall","importance","pvalue"
"DEPTOR",63.9876194773085,7.67853956666664e-05,0.00284738041002275
"RPS17",96.4031888160951,0.000171430185357363,0
"SIVA1",45.4042098111001,2.25268114285715e-05,0.0723234624145785
"JUND",38.2683575425037,1.69203200000001e-06,0.269362186788155
"RNF181",37.6888414296918,0,0.695330296127563
"NDUFV2",37.6888414296918,0,0.695330296127563
"NOP10",37.444106676702,-7.14560000000031e-07,0.706150341685649
"NACC1",36.1978582405722,-4.35327199999991e-06,0.776765375854214
"DNAJB1",49.2912013185767,3.38757866666668e-05,0.0364464692482915
"LPL",48.9070314151836,3.27541133333333e-05,0.0404328018223234
"TRPM4",100,0.000181931911688312,0
"POP7",35.0288968422341,-7.76632652777787e-06,0.823462414578588
"MXRA5",49.6665275653843,3.4971638888889e-05,0.0335990888382688
"STYXL1",34.2888152848542,-9.92716666666671e-06,0.846810933940774
"RAB15",66.3008319857009,8.35393572916663e-05,0.00113895216400917
"RFXANK",30.4809815114175,-2.10450225000001e-05,0.921412300683371
"TMEM5",55.4487132529578,5.18540740740743e-05,0.0119589977220956
"RAB3D",61.9601194165414,7.08656379464287e-05,0.00341685649202739
"POLR2J",38.6765297756127,2.88378571428582e-06,0.252847380410023
"COPE",43.0785480661577,1.57365013636364e-05,0.109339407744875
"CD8B",35.8235444914069,-5.44616799999997e-06,0.793280182232346
"MXD1",44.7060791617494,2.04884567171717e-05,0.0831435079726651
"MPP7",39.2671024788022,4.6081e-06,0.221526195899772
"DEFB1",52.1793727252249,4.23084744444449e-05,0.0227790432801822
"MIF",70.8137552536621,9.67158858024693e-05,0.000569476082004527
"MAF1",37.6888414296918,0,0.695330296127563
"APCDD1L",37.4610461283504,-6.65101333333418e-07,0.70501138952164
"POLR2K",36.9573569894019,-2.13573885714302e-06,0.736902050113895
"NDUFAF1",37.6888414296918,0,0.695330296127563
"IL12RB2",47.2038224639402,2.7781198888889e-05,0.0501138952164009
"INO80B",63.9523669974055,7.66824678571429e-05,0.00341685649202739
"SCRIB",53.0348242428357,4.48061640000001e-05,0.0199316628701595
"EMC4",50.4026445228617,3.71209034567903e-05,0.030751708428246
"MRPL35",54.2085614117144,4.82331625000003e-05,0.0136674259681093
"ZNF341",37.6888414296918,0,0.695330296127563
"SUSD1",30.4710458407715,-2.1074032e-05,0.921981776765376
"SWSAP1",36.9181782963067,-2.2501301587301e-06,0.739179954441913
"BABAM1",19.3569816149139,-5.35241259740262e-05,0.989179954441913
"YWHAG",27.6377482432828,-2.93465029365079e-05,0.953872437357631
"MATN4",37.6888414296918,0,0.695330296127563
"SLURP1",25.9058324733196,-3.44032336111111e-05,0.965831435079727
"KLF10",50.5505221853662,3.75526666666668e-05,0.0284738041002278
"TTF2",35.8966224201686,-5.23279999999993e-06,0.78872437357631
"USE1",37.6888414296918,0,0.695330296127563
"SNRPD3",48.4289532793564,3.13582530864198e-05,0.0415717539863326
