"","Overall","importance","pvalue"
"POLR2L",12.5046082008026,0.000101037240253086,0
"RFXANK",5.95972517376426,1.70052836706351e-05,0.0318602261048304
"ULK1",8.36482561572363,4.78851779453264e-05,0.00256937307297023
"KIAA2013",4.63525770933354,0,0.730729701952723
"ILVBL",4.63525770933354,0,0.730729701952723
"JUNB",12.059088019507,9.53170566567458e-05,0
"NDUFAF1",4.40592822214067,-2.94443849206383e-06,0.853031860226105
"AP4M1",4.7331707808737,1.25713888888868e-06,0.204008221993834
"TMEM5",10.71532609914,7.80640449706789e-05,0
"CASZ1",4.84033926306967,2.63311111111109e-06,0.158273381294964
"FOXO6",4.80564468770802,2.1876557777778e-06,0.170092497430627
"ZBTB17",4.5765046740332,-7.54349999999793e-07,0.768242548818088
"NOP10",4.63525770933354,0,0.730729701952723
"SCRIB",3.23033388202796,-1.80382899999998e-05,0.971736896197328
"MIIP",4.62620881364202,-1.16181818181849e-07,0.73792394655704
"PPP1R16A",4.63525770933354,0,0.730729701952723
"INO80B",4.82609653656902,2.45024395061733e-06,0.161356628982528
"CSRP2",10.3604568910689,7.35077597380951e-05,0
"JUND",10.3980042557427,7.39898429938273e-05,0
"DDA1",5.45067346702004,1.04693974305552e-05,0.0596094552929085
"TYRO3",4.89773409705929,3.37002270723086e-06,0.138232271325797
"RILPL2",4.59302421905499,-5.42250000000077e-07,0.754881808838643
"ZC3H3",4.51972607520235,-1.4833495454547e-06,0.803699897225077
"CTBP1",8.48176778044187,4.93866377678571e-05,0.00256937307297023
"TRA2A",4.63525770933354,0,0.730729701952723
"APCDD1L",6.27477973144136,2.10503752028219e-05,0.0200411099691675
"ASAP3",4.84101919993113,2.6418410493827e-06,0.158273381294964
"FAM32A",8.41885504676514,4.857888e-05,0.00256937307297023
"HHIPL2",14.2075445950266,0.000122901813928571,0
"CPTP",4.63525770933354,0,0.730729701952723
"MED30",4.63525770933354,0,0.730729701952723
"PNPLA2",10.9021719061612,8.04630211904762e-05,0
"ACAD9",4.73678309731519,1.30351863580236e-06,0.203494347379239
"MAEA",4.63525770933354,0,0.730729701952723
"DCAF15",4.90301124434054,3.43777777777765e-06,0.137204522096608
"BID",2.01149054557834,-3.36874299320991e-05,0.992291880781089
"IFT122",55.0830613505287,0.000647716334691358,0
"COPE",5.58536434827671,1.21987390000002e-05,0.0483042137718397
"C2orf68",9.79454590158494,6.62418380246914e-05,0
"POP7",4.26501303657534,-4.75369600000009e-06,0.89054470709147
"KLF10",8.29124480485237,4.69404491428571e-05,0.00308324768756418
"PNKP",4.63525770933354,0,0.730729701952723
"BCL11B",8.03357193947351,4.36321004761904e-05,0.00359712230215825
"NSMCE2",4.63525770933354,0,0.730729701952723
"KIFC2",4.63525770933354,0,0.730729701952723
"ARHGAP39",4.63525770933354,0,0.730729701952723
"TSPAN18",4.33963236404219,-3.79563333333333e-06,0.870503597122302
"PTRHD1",4.82563266866597,2.44428819444442e-06,0.161870503597122
"DEPTOR",4.63525770933354,0,0.730729701952723
"TSSC4",7.27110255007007,3.38424992929296e-05,0.00770811921891057
"GPATCH3",3.06882252660281,-2.01119886666665e-05,0.974820143884892
"MATN4",4.63525770933354,0,0.730729701952723
"MAF1",4.63525770933354,0,0.730729701952723
"SDHB",4.69639979403238,7.85023809523944e-07,0.230729701952724
"ARID1A",4.63525770933354,0,0.730729701952723
"DDX49",4.56112459597822,-9.51820000000048e-07,0.778520041109969
"EXOSC4",5.28713506572235,8.36967283950618e-06,0.0724563206577595
"SYDE1",4.63525770933354,0,0.730729701952723
"C11orf1",4.87251295707256,3.0462e-06,0.146454265159301
"SSU72",4.83630314247524,2.58128999999996e-06,0.159301130524152
"EMC4",5.1438160252059,6.52955142857148e-06,0.0878725590955807
"TTF2",9.39427161042118,6.11025816442201e-05,0
"BABAM1",4.60365420747398,-4.05768000000029e-07,0.749229188078109
"PREB",4.53946615618725,-1.22990000000001e-06,0.794964028776978
"KLHL26",6.27605816521543,2.10667894444443e-05,0.0200411099691675
"MRPL20",4.63525770933354,0,0.730729701952723
"MXD1",4.04161333330214,-7.62200000000002e-06,0.921891058581706
"CD8B",6.04052347624971,1.80426802777776e-05,0.0282631038026722
"PCBP1",4.16081244308207,-6.09156249999998e-06,0.906988694758479
"PGD",4.5856102846343,-6.37440000000211e-07,0.763617677286742
"EFHD2",4.89171628560385,3.29275799999995e-06,0.140287769784173
"KLRG2",23.0098562162336,0.00023591765621677,0
"NDUFV2",4.63525770933354,0,0.730729701952723
"GLI4",4.2658374474596,-4.74311111111114e-06,0.889516957862282
"RAB15",32.8728207864905,0.000362551578796917,0
"PNKD",4.62656793726446,-1.11570909090863e-07,0.736896197327852
"CDKN1B",4.63525770933354,0,0.730729701952723
"SLC35C1",5.57706906856623,1.20922331111111e-05,0.0488180883864338
"OLFML2B",9.61421741311182,6.39265398518516e-05,0
"SNX15",4.63525770933354,0,0.730729701952723
"HGH1",4.54153531812066,-1.20333333333344e-06,0.79136690647482
"UST",4.99847651845387,4.66348857142851e-06,0.112538540596095
"C3orf67",4.65884997885163,3.0290909090902e-07,0.255909558067831
"HEXIM1",4.63525770933354,0,0.730729701952723
"PIH1D1",5.0073290501643,4.77714920634931e-06,0.10945529290853
"MAN1A2",3.9180419668794,-9.20857437499989e-06,0.933196300102775
"KLF13",12.9408887618122,0.000106638793253968,0
"SIVA1",4.63525770933354,0,0.730729701952723
"TTC31",7.04434379318332,3.09310672727272e-05,0.00976361767728673
"AURKAIP1",5.21888568251931,7.49339603174604e-06,0.0801644398766701
"PCGF3",4.63525770933354,0,0.730729701952723
"POLR2J",5.38919550371098,9.68006116247788e-06,0.0632065775950668
"AKR7A2",4.91009962463793,3.52878787878774e-06,0.135662898252826
"USE1",4.58803467000757,-6.06312499999984e-07,0.76207605344296
"MPP7",4.63525770933354,0,0.730729701952723
"RHBDD2",7.50435300476204,3.68372804067461e-05,0.00616649537512848
"ABCA3",5.08163369875132,5.73117160493819e-06,0.0971223021582733
"MEPCE",4.63525770933354,0,0.730729701952723
"C1orf174",11.0589521243984,8.24759751940034e-05,0
"SPRYD7",6.13071399150619,1.92006666666666e-05,0.026207605344296
"MAD2L2",4.53364290622906,-1.30466666666673e-06,0.797019527235355
"RB1",4.70126579234149,8.47500000000112e-07,0.226618705035971
"PEX14",6.061626007259,1.83136227777774e-05,0.0277492291880781
"ACAT1",5.43274948994013,1.02392654545456e-05,0.0611510791366906
"RBM38",4.68616482811138,6.53613636363737e-07,0.23535457348407
"ARPC1A",4.63525770933354,0,0.730729701952723
"TMSB10",7.56617582995586,3.76310444726629e-05,0.00565262076053441
"EVA1B",4.63525770933354,0,0.730729701952723
"RPS4X",4.90874172384318,3.51135333333352e-06,0.136690647482014
"TXNL4A",4.63525770933354,0,0.730729701952723
"DNAJC11",4.76966729637157,1.72572993827158e-06,0.18705035971223
"ELOF1",4.78479814517455,1.91999999999992e-06,0.178314491264132
"MYO1F",3.06394672393255,-2.01745907386361e-05,0.97584789311408
"ILKAP",4.63525770933354,0,0.730729701952723
"SH3BP1",4.88127106789352,3.15864833333324e-06,0.143884892086331
"BMF",4.71147177131635,9.78538000000029e-07,0.220452209660843
"MRPL53",4.63525770933354,0,0.730729701952723
"NDUFA10",5.51649417555901,1.13144916666665e-05,0.0539568345323741
"ZFAND2B",4.63525770933354,0,0.730729701952723
"LCK",6.21099435909736,2.02314133333334e-05,0.0236382322713258
"NAGPA",3.91797385480227,-9.20944888888875e-06,0.933710174717369
"MFN2",4.46019960005782,-2.24763000000006e-06,0.832476875642343
"ADAD2",4.24844644862476,-4.96640000000004e-06,0.894141829393628
"PPP1R8",5.24860097181244,7.87492063492068e-06,0.0760534429599178
"NAA50",4.63525770933354,0,0.730729701952723
"THAP7",6.91019625786927,2.92087019047622e-05,0.0107913669064749
"SWSAP1",4.5611149381584,-9.51944000000093e-07,0.779033915724563
"THSD1",4.29794412833998,-4.33088262626269e-06,0.878725590955807
"DCTN1",4.63525770933354,0,0.730729701952723
"ARID1B",4.32329974456518,-4.00533333333342e-06,0.872045220966084
"CC2D1A",4.91409110259753,3.58003580808086e-06,0.134121274409044
"HAUS2",3.99483651380969,-8.22258333333337e-06,0.927029804727646
"LPL",8.84896415795849,5.41011956790125e-05,0.00102774922918802
"LYPLA2",6.13739869514538,1.92864938271604e-05,0.026207605344296
"MCM2",4.49118983035914,-1.84973600000005e-06,0.817060637204522
"HRCT1",4.63525770933354,0,0.730729701952723
"ZNF341",4.83924985308239,2.61912380952389e-06,0.158273381294964
"VPS28",4.2732452375684,-4.64799999999999e-06,0.886433710174717
"CDAN1",4.63525770933354,0,0.730729701952723
"RNF181",3.48229441045139,-1.48032839506174e-05,0.962487153134635
"ADAMTS1",4.04671628528908,-7.55648148148147e-06,0.920349434737924
"SLURP1",4.63525770933354,0,0.730729701952723
"UBE4B",4.63525770933354,0,0.730729701952723
"LIG1",4.63525770933354,0,0.730729701952723
"TECR",4.48162363702881,-1.97255957671993e-06,0.823741007194245
"CYBRD1",4.63525770933354,0,0.730729701952723
"C8orf76",4.63525770933354,0,0.730729701952723
"E2F1",5.82055221478763,1.52183951964087e-05,0.0369989722507709
"NUPL2",4.22028614676941,-5.32795959595944e-06,0.898766700924974
"TOMM22",4.72446311014175,1.14533817283946e-06,0.21120246659815
"ZMYND10",8.43476799861359,4.87831917460317e-05,0.00256937307297023
"CAMTA1",4.37790768230786,-3.30420363636352e-06,0.860226104830421
"FBXL6",4.63525770933354,0,0.730729701952723
"NACC1",5.76225844236885,1.44699418271605e-05,0.039568345323741
"AUP1",4.63525770933354,0,0.730729701952723
"PRKACA",5.68872372922159,1.35258048888889e-05,0.0436793422404933
"C19orf57",4.68446028200577,6.3172839506187e-07,0.236896197327852
"SF3B5",4.63525770933354,0,0.730729701952723
"DNAJB1",7.53678360448095,3.72536677946129e-05,0.00565262076053441
"DTYMK",7.18729226192419,3.27664307878788e-05,0.0087358684480987
"C1orf122",4.22880715087604,-5.21855555555573e-06,0.897225077081192
"KDM2B",4.82806920924778,2.47557175925928e-06,0.161356628982528
"LPCAT4",6.64879594877346,2.58524953333334e-05,0.0143884892086331
"SEMA4C",4.00166613715064,-8.13489550000002e-06,0.925488180883864
"LRRC20",4.65558707929386,2.61015625000027e-07,0.257451181911614
"SGPP1",3.78714903624586,-1.08891527777777e-05,0.94398766700925
"RPS27A",4.63525770933354,0,0.730729701952723
"PRICKLE1",4.63525770933354,0,0.730729701952723
"LSM3",4.58768515818161,-6.10800000000022e-07,0.762589928057554
"CHRAC1",6.36946530707393,2.22660751851853e-05,0.0190133607399794
"EFS",4.63525770933354,0,0.730729701952723
"RSC1A1",4.63525770933354,0,0.730729701952723
"ADCK5",4.63525770933354,0,0.730729701952723
"ZBTB2",4.64044575859782,6.661111111117e-08,0.266700924974306
"ENTPD8",5.3033158703001,8.57742363690472e-06,0.0709146968139774
"ZKSCAN1",4.86579921458845,2.96000000000007e-06,0.146968139773895
"TMX3",4.63525770933354,0,0.730729701952723
