"","Overall","importance","pvalue"
"RAB11FIP1",60.2159362482297,0.000354328219285714,0.0023446658851114
"ZNF326",49.869444272575,0.000202621751206349,0.0175849941383353
"SH3BGRL",31.6139523684403,-6.50512152777778e-05,0.941383352872216
"RIOK3",35.2231198816196,-1.21314374999999e-05,0.830011723329426
"ARL14",36.0363474468802,-2.07407407407434e-07,0.706330597889801
"MERTK",48.3903005006101,0.000180933658473625,0.0211019929660023
"ACYP1",36.6948589138781,9.44808249999984e-06,0.18757327080891
"UNC119",52.4296920430997,0.000240161638888889,0.0105509964830012
"NME4",43.4922750574984,0.000109115873055556,0.0351699882766706
"PRPF4",51.5876076372586,0.0002278144925,0.0123094958968347
"RABGAP1",36.050492783619,0,0.702227432590856
"GPD1L",74.7314399152868,0.000567163236111111,0
"MSRB2",36.050492783619,0,0.702227432590856
"ORAI3",36.050492783619,0,0.702227432590856
"SEMA4G",47.8786304659686,0.000173431245679012,0.0228604923798359
"DACT2",36.050492783619,0,0.702227432590856
"DEGS1",43.8780725152223,0.000114772666666667,0.0334114888628371
"GPM6B",32.7387067081812,-4.85593928571428e-05,0.92379835873388
"DIS3L2",36.050492783619,0,0.702227432590856
"CNPY2",37.8227827048596,2.59863773148148e-05,0.107854630715123
"UROS",36.050492783619,0,0.702227432590856
"SNX30",36.2037874144669,2.24769777777767e-06,0.259085580304807
"PDZD11",36.050492783619,0,0.702227432590856
"ZNF644",36.050492783619,0,0.702227432590856
"PDCL",50.2007007538388,0.000207478832323232,0.0158264947245017
"ETFB",49.1503675695914,0.0001920782175,0.0199296600234466
"P2RY2",36.050492783619,0,0.702227432590856
"SMIM14",37.3910858291625,1.96565789206349e-05,0.128956623681125
"PTPN3",64.7740398352765,0.000421161866666667,0.0011723329425557
"SART1",36.1917922975065,2.07181818181823e-06,0.260257913247362
"PEMT",36.0861754059237,5.23199999999946e-07,0.287221570926143
"CXADR",35.9804779134775,-1.02659999999988e-06,0.723329425556858
"ESRRG",36.0022394026307,-7.07519999999961e-07,0.71746776084408
"TUBB4B",55.8249795640953,0.00028994538,0.00644783118405623
"CCDC113",36.050492783619,0,0.702227432590856
"PDIK1L",29.7927292817431,-9.175508e-05,0.959554513481829
"CALB2",37.9932424303001,2.84857599999999e-05,0.101406799531067
"NOS1AP",39.5711129065114,5.16214428571429e-05,0.0726846424384525
"CRABP1",39.6435032943138,5.26828741212124e-05,0.0720984759671747
"SEC16B",35.2808186470282,-1.12854236111108e-05,0.825908558030481
"TBKBP1",43.7909336237468,0.000113494984,0.0339976553341149
"ARL4D",36.050492783619,0,0.702227432590856
"FAM102B",36.4470616033143,5.81472977777819e-06,0.21746776084408
"PLEKHA7",36.050492783619,0,0.702227432590856
"CYP4B1",64.3065119139009,0.000414306692,0.0011723329425557
"TMEM55A",38.1357377027767,3.0575111111111e-05,0.0967174677608441
"CES3",36.050492783619,0,0.702227432590856
"CUEDC2",21.4241238869547,-0.000214460589285714,0.985345838218054
"SLC25A29",36.050492783619,0,0.702227432590856
"SCAI",35.6344605319506,-6.10011428571422e-06,0.785463071512309
"NUP188",36.050492783619,0,0.702227432590856
"EREG",36.8476781932601,1.16888103896104e-05,0.172332942555686
"OAZ3",24.1806972698103,-0.000174042057777777,0.977725674091442
"RPS26",37.1919131708331,1.67361899999998e-05,0.143610785463071
"RALGPS1",35.6013227711973,-6.5860000000002e-06,0.788980070339977
"NELFB",43.6915404704454,0.000112037622,0.0345838218053928
"SYNE2",52.1093717767338,0.000235464911111111,0.0117233294255569
"RANBP9",36.050492783619,0,0.702227432590856
"FOXI1",33.7628617186897,-3.35426181111107e-05,0.909730363423212
"SET",41.4009716728189,7.84519290909091e-05,0.0486518171160609
"ABCD3",29.8825724209602,-9.0437746031746e-05,0.958382180539273
"EIF3D",40.8940478085944,7.10191074922841e-05,0.0545134818288394
"CNTRL",46.0854732787171,0.0001471389,0.0257913247362251
"C1orf21",35.9334618453014,-1.71597777777777e-06,0.733294255568582
"ROR1",53.2663212177341,0.000252428797407408,0.00996483001172332
"FZD8",36.050492783619,0,0.702227432590856
"GEM",35.1233081122331,-1.35949375e-05,0.838218053927315
"MED19",48.6231669333615,0.000184348085714286,0.0205158264947245
"TMEM50A",35.0061034979992,-1.53134618181816e-05,0.85052754982415
"EXOC6",36.050492783619,0,0.702227432590856
"TBX1",50.5361209419699,0.000212396964206349,0.0158264947245017
"EGF",59.3789263096375,0.000342055477777778,0.00351699882766709
"KLF3",39.4272089425293,4.95114366666667e-05,0.0762016412661196
"FUK",36.050492783619,0,0.702227432590856
"SLC30A1",35.0859395922228,-1.4142857142857e-05,0.841735052754982
"CPNE5",37.0863647651842,1.51885760000001e-05,0.151230949589683
"PRKAG1",54.1060593731967,0.000264741541666667,0.00879249706916763
"SLC35A3",37.1098441246539,1.55328444444445e-05,0.148300117233294
"GALNT2",40.6224378875833,6.70366e-05,0.0574443141852286
"AKR1B1",43.7531924305864,0.0001129416,0.0339976553341149
"FGD1",41.066112815575,7.35420277777776e-05,0.0515826494724502
"ERP27",36.050492783619,0,0.702227432590856
"TCTEX1D4",36.050492783619,0,0.702227432590856
"LRRC8A",48.4114148689289,0.00018124325,0.0211019929660023
"SLC44A4",44.1056070190024,0.000118108913968254,0.0334114888628371
"MX2",34.9344557232515,-1.63640044444446e-05,0.856389214536929
"GBP2",35.2429351920151,-1.18408935396823e-05,0.82883939038687
"ZADH2",40.4458991594752,6.44480833333334e-05,0.0592028135990621
"ASPM",36.050492783619,0,0.702227432590856
"HSD17B10",47.4045583123248,0.000166480115555556,0.0240328253223916
"HSPA1A",40.7728220951897,6.92416234074076e-05,0.0550996483001173
"ASB8",34.7923925161818,-1.84470203535356e-05,0.865181711606096
"FAM107B",55.1184772489281,0.000279586219506172,0.00762016412661193
"RRAGB",38.339008980365,3.35555964444445e-05,0.0902696365767878
"ZMIZ1",35.9588284440244,-1.34403750000001e-06,0.728018757327081
"GALNT12",37.7125521687535,2.4370111111111e-05,0.115474794841735
"KCTD18",34.7123403196271,-1.96207936507937e-05,0.871043376318875
"C9orf78",36.050492783619,0,0.702227432590856
"SHISA4",36.0314109631758,-2.79789090908977e-07,0.708675263774912
"BTN3A3",36.050492783619,0,0.702227432590856
"KCNK3",46.5939729370123,0.000154594826835979,0.0252051582649473
"FMO4",36.0868535160462,5.33142857142899e-07,0.287221570926143
"B4GALNT3",36.050492783619,0,0.702227432590856
"PER2",38.9993909875409,4.32385133333331e-05,0.0808909730363423
"GALR3",35.8984998291617,-2.22861181818179e-06,0.740914419695193
"MYB",35.9183891531454,-1.93698262626274e-06,0.735052754982415
"FKBP15",53.0481183693093,0.000249229376430976,0.00996483001172332
"SEC61A1",47.7596709730686,0.000171686990277778,0.0228604923798359
"MAPKAP1",36.050492783619,0,0.702227432590856
"KCTD14",36.050492783619,0,0.702227432590856
"PRDX3",36.050492783619,0,0.702227432590856
"THEG",36.4535126015861,5.90931818181817e-06,0.216881594372802
"CLU",36.050492783619,0,0.702227432590856
"TIMM22",36.050492783619,0,0.702227432590856
"DGUOK",40.8487252345516,7.03545607407408e-05,0.0545134818288394
"CRTAP",35.7424934122754,-4.51607142857147e-06,0.76905041031653
"TMPPE",62.7691523512931,0.000391765004444445,0.0011723329425557
"POLR3A",36.050492783619,0,0.702227432590856
"GTF3C5",35.3071199746548,-1.08997777777777e-05,0.822977725674091
"FIS1",32.4944384839408,-5.2141e-05,0.927901524032825
"MAP9",34.3623882972142,-2.47519999999999e-05,0.886869871043376
"ZNF367",34.6360777808177,-2.07390007142858e-05,0.876318874560375
"VOPP1",35.5776441270273,-6.93319047619068e-06,0.791910902696366
"PLGRKT",34.5535985938473,-2.19483600000001e-05,0.878663540445487
"SLC25A25",36.050492783619,0,0.702227432590856
"TDRKH",35.7424149273076,-4.51722222222206e-06,0.769636576787808
"WDR5",32.6020684386789,-5.0562865079365e-05,0.925556858147714
