"","Overall","importance","pvalue"
"SCD5",52.4594992625036,2.47141625e-05,0.134615384615385
"DYNLRB1",53.1752570593103,2.96009875396828e-05,0.114219114219114
"CHRNA10",61.896367380977,8.91442303571428e-05,0.0273892773892774
"SLC16A6",91.4625250270162,0.000291006704166667,0.000582750582750591
"TRAK1",42.7663830396127,-4.14654352380954e-05,0.92016317016317
"ST6GALNAC4",57.0911961851436,5.63369999999999e-05,0.0582750582750583
"PRIMPOL",49.5498778038764,4.84876800000023e-06,0.238927738927739
"KCTD12",48.8396941012217,0,0.711538461538462
"THBS2",60.4005916831086,7.89318454320986e-05,0.0343822843822844
"GSR",67.5379261107287,0.000127661883376623,0.0128205128205128
"ACAA2",55.6540961482174,4.65252222222221e-05,0.0699300699300699
"CARM1",96.4824116450111,0.000325279900673401,0.000582750582750591
"GAL3ST2",55.0167916086158,4.21740355555555e-05,0.0786713286713286
"TRIM46",84.3474243056474,0.0002424284665,0.000582750582750591
"PHF12",51.1727149786372,1.59286631493505e-05,0.171328671328671
"MAP3K15",42.6939652331407,-4.19598666666667e-05,0.921328671328671
"RPN2",39.2602583622469,-6.54034460317463e-05,0.956293706293706
"BBS2",55.3148566628286,4.420907e-05,0.0734265734265734
"MYCN",39.5604928227733,-6.33535999999999e-05,0.952214452214452
"PRDX2",58.9502699800881,6.90297969381311e-05,0.039044289044289
"FBXL12",48.8396941012217,0,0.711538461538462
"BRD4",55.9616372959681,4.86249545454547e-05,0.0670163170163171
"PLK3",48.8396941012217,0,0.711538461538462
"NNT",63.394719907879,9.93742085416669e-05,0.0221445221445221
"KIDINS220",86.7819901872941,0.000259050426560045,0.000582750582750591
"FOXD2",47.1085447926983,-1.18193945299148e-05,0.811771561771562
"SMARCE1",48.8396941012217,0,0.711538461538462
"PLSCR4",56.1318022385241,4.9786753e-05,0.0664335664335665
"ERGIC3",50.7436223481817,1.299904e-05,0.185897435897436
"SCARB2",49.7003749667847,5.87628500000004e-06,0.227855477855478
"SAP130",51.0189719632472,1.48789851428572e-05,0.175407925407925
"TRAPPC12",79.7241561084822,0.000210863175989899,0.00116550116550118
"PAX8",66.3074548059152,0.00011926086,0.013986013986014
"IER5",49.9644942977225,7.67955555555555e-06,0.214452214452214
"TCTEX1D4",48.8396941012217,0,0.711538461538462
"NCOA6",48.8396941012217,0,0.711538461538462
"MOB3C",81.0751673492236,0.000220087183873016,0.00116550116550118
"MAP7D1",73.7737957890733,0.000170237185,0.00466200466200462
"SLC41A2",53.0262796548811,2.85838466666668e-05,0.118298368298368
"LRRC56",64.4117060807267,0.000106317665555556,0.0186480186480187
"DLK1",46.2625336103109,-1.75955225e-05,0.835081585081585
"CAMK1G",48.8396941012217,0,0.711538461538462
"RWDD2A",48.8396941012217,0,0.711538461538462
"CD164",48.8396941012217,0,0.711538461538462
"C18orf8",58.3398040739847,6.4861850617284e-05,0.0454545454545454
"SRC",53.0926285886705,2.90368429629631e-05,0.115967365967366
"TMCC3",38.8332040595049,-6.83191525308642e-05,0.95979020979021
"SLC6A7",48.8396941012217,0,0.711538461538462
"SRP14",49.7501099776147,6.21585000000024e-06,0.224941724941725
"RAB9B",48.8396941012217,0,0.711538461538462
"SLC1A4",62.9132031492406,9.6086660486111e-05,0.0244755244755245
"TMED1",42.2988046287749,-4.46578194444445e-05,0.927738927738928
"CALR",54.0021773542766,3.52467727777774e-05,0.0944055944055944
"CHST14",48.8396941012217,0,0.711538461538462
"CRIM1",48.8396941012217,0,0.711538461538462
"CCDC114",53.5484562090594,3.21489988333332e-05,0.106643356643357
"TLCD1",54.8894804460205,4.13048206060602e-05,0.081002331002331
"TMEM11",48.8396941012217,0,0.711538461538462
"FAM110D",50.066647741883,8.37700658024687e-06,0.212121212121212
"MADCAM1",46.3763172254778,-1.68186666666668e-05,0.832750582750583
"TRPC4AP",48.8396941012217,0,0.711538461538462
"EFHD1",48.3220803062987,-3.53399999999993e-06,0.751165501165501
"ARMC3",51.132012179535,1.56507654320988e-05,0.173076923076923
"ASIC4",48.9586760277893,8.12347222222343e-07,0.277972027972028
"NEBL",51.1973400044143,1.60967901234568e-05,0.171328671328671
"ZNF561",52.3244409489733,2.37920540000001e-05,0.136946386946387
"RCOR2",47.6058794531283,-8.42384999999979e-06,0.788461538461538
"AHSA1",48.8396941012217,0,0.711538461538462
"KALRN",50.9686869756514,1.45356651851851e-05,0.176573426573427
"ARL17A",64.0831806566477,0.000104074663417508,0.0209790209790209
"ILDR2",56.5229518974354,5.2457321111111e-05,0.0611888111888111
"SPATA18",50.0272374350219,8.10793333333337e-06,0.213869463869464
"ZNF433",43.8088672721306,-3.43478906249999e-05,0.901515151515151
"DNAJC17",49.3451198212104,3.45078611111105e-06,0.249417249417249
"EDEM2",57.8861908739208,6.17648136666666e-05,0.0495337995337995
"YWHAG",44.7656194879888,-2.781568e-05,0.878205128205128
"PPARGC1B",52.7264716995786,2.65369125925927e-05,0.128787878787879
"NPR3",50.9865654715656,1.46577303333333e-05,0.175990675990676
"TMEM9",54.6556928513141,3.97086394999999e-05,0.0844988344988346
"LYZ",51.0445590474358,1.50536805555554e-05,0.175407925407925
"TLE4",45.9767713227014,-1.954656e-05,0.844405594405594
"MYOM2",34.6113465114069,-9.71438181818183e-05,0.976689976689977
"CBX5",48.8396941012217,0,0.711538461538462
"ACSL5",42.8618294996183,-4.08137760416669e-05,0.918414918414918
"TBC1D8",62.1247190516436,9.07032977777778e-05,0.0268065268065268
"ADPRHL2",53.5670885110881,3.22762105808081e-05,0.106643356643357
"PLXDC2",69.2195887367395,0.000139143408364197,0.0110722610722611
"BTNL9",44.6558808857648,-2.85649185714285e-05,0.881701631701632
"TOP1",48.8396941012217,0,0.711538461538462
"SNAP23",48.8396941012217,0,0.711538461538462
"ZMAT3",74.3331151201901,0.000174055928888889,0.00466200466200462
"MOGAT2",60.722637642432,8.11306091269843e-05,0.0332167832167832
"TFAP2E",48.8396941012217,0,0.711538461538462
"TPPP",64.3049424084946,0.000105588738271605,0.0198135198135199
"RASL11B",57.4964742573726,5.91040296296297e-05,0.0547785547785548
"HEY2",54.0841542518955,3.58064687499999e-05,0.0932400932400932
"IL12A",54.9293526750168,4.15770476190478e-05,0.0798368298368298
"PTPRR",51.7042924603347,1.95580000000002e-05,0.155594405594406
"ZNF24",64.8265267539906,0.000109149847142857,0.0186480186480187
"STIP1",48.8396941012217,0,0.711538461538462
"TMEM199",44.6317414541998,-2.87297301587301e-05,0.883449883449883
"ANXA13",48.8396941012217,0,0.711538461538462
"SPRY4",49.0591164852259,1.4981028571428e-06,0.26981351981352
"ADI1",81.70931841137,0.000224416840222222,0.00116550116550118
"ATP13A1",38.5695494804923,-7.01192499999999e-05,0.961538461538462
"SMPD1",48.9423510784706,7.00888888889084e-07,0.278554778554779
"GSS",48.8396941012217,0,0.711538461538462
"PLPPR1",36.8231248114711,-8.20429368121693e-05,0.968531468531469
"EIF4H",48.8396941012217,0,0.711538461538462
"DNMT1",47.5166490092743,-9.03306944444449e-06,0.790792540792541
"DLGAP4",53.7288684616234,3.33807606349208e-05,0.1002331002331
"PHF20",56.7784303878526,5.42015964646465e-05,0.0594405594405595
"FADS2",53.8396821381659,3.41373392592592e-05,0.0990675990675991
"RASSF9",54.8985388427753,4.13666666666668e-05,0.081002331002331
"ACSS2",57.6801764336477,6.03582533333333e-05,0.0524475524475524
"TTC39C",53.8147975313918,3.39674399999998e-05,0.0990675990675991
"GADD45GIP1",100,0.000349296179544753,0
"DISC1",48.8396941012217,0,0.711538461538462
"ZNF85",59.7261399716594,7.4327037037037e-05,0.0361305361305362
"GALNT1",47.0863675339145,-1.19708094135804e-05,0.812354312354312
"FARSA",56.2377516065592,5.05101206349208e-05,0.0652680652680653
"FOLH1",48.8396941012217,0,0.711538461538462
"ZNF136",55.2601593556286,4.3835625e-05,0.074009324009324
"DNAH5",49.4076292799741,3.87756845238108e-06,0.246503496503496
"SMAD7",48.8396941012217,0,0.711538461538462
"CXorf57",71.2533314068741,0.000153028754285714,0.00699300699300698
"MAN1A1",62.2696628123921,9.16928990123456e-05,0.0262237762237763
"BATF3",79.5566409647187,0.000209719468994709,0.00116550116550118
"ADAM17",46.5402398558279,-1.56994875000001e-05,0.827505827505828
"ASF1A",68.2140351540643,0.000132278007178933,0.0110722610722611
"EIF3G",51.4936982601915,1.81201714285715e-05,0.162587412587413
"GSTM2",41.9435015327487,-4.70836457142856e-05,0.931235431235431
"NDRG3",69.438036937405,0.00014063486,0.0104895104895105
"FOSB",57.1127821418054,5.64843777777777e-05,0.0576923076923077
