"","logFC","AveExpr","t","P.Value","adj.P.Val","B","shift"
"TRIPTOLIDE_Broad",0.97227536231884,0.895041666666667,16.2899515280315,8.39879354464525e-13,1.25142023815214e-10,19.5577808964566,-0.00935714285714285
"MG132_Broad",0.900615942028985,0.7235,15.2267872719067,2.85193523279102e-12,2.12469174842931e-10,18.3389497466232,0.0117857142857143
"DAPORINAD_Broad",0.954340579710145,0.777166666666667,13.0209316277401,4.62310414535517e-11,2.2961417255264e-09,15.5394078408809,-0.00771428571428574
"GMX1778_Broad",0.935702898550724,0.760208333333333,12.7616939813777,6.57551002669552e-11,2.44937748494408e-09,15.1835312526552,-0.0159285714285715
"STAUROSPORINE_Custom Clinical",0.786644927536232,0.823375,12.3434825226386,1.17501552251057e-10,3.5015462570815e-09,14.596344683958,0.00742857142857144
"PLICAMYCIN_NCI_Onc_AOD",0.826985507246377,0.724958333333333,11.8000791943217,2.55755744206901e-10,6.35126764780471e-09,13.8082828037142,-0.00650000000000003
"HOMOHARRINGTONINE_Broad",0.744963768115942,0.801708333333333,11.6212558006186,3.32357732263137e-10,7.07447172960106e-09,13.5425083220831,-0.0348571428571428
"DINACICLIB_Broad",0.852855072463768,0.847041666666667,11.2668536298262,5.63750664017204e-10,1.04998561173204e-08,13.0060267245193,-0.0292142857142857
"OMACETAXINEMEPESUCCINATE_NCI_Onc_AOD",0.740992753623188,0.790458333333333,10.86683130083,1.03915784256362e-09,1.72038353935533e-08,12.3844368313555,-0.0269285714285714
"CARFILZOMIB_NCI_Onc_AOD",0.867833333333333,0.470958333333333,10.7281392145709,1.2895672516927e-09,1.92145520502212e-08,12.1648381319135,-0.0632857142857143
"BREFELDINA_Broad",0.812673913043478,0.694166666666667,10.5410561935255,1.73110688896521e-09,2.34486296778014e-08,11.865210290145,0.0532142857142857
"FLAVOPIRIDOLALVOCIDIB_Broad",0.711688405797101,0.729541666666667,10.401543901284,2.16148494564162e-09,2.68384380750502e-08,11.6391856814429,-0.00664285714285715
"LBH589_Custom Clinical",0.624036231884058,0.737875,9.85519451455552,5.26496095573617e-09,6.03445524926684e-08,10.7322265114779,0.0982857142857143
