"","pathway","RMSE"
"1","BIOCARTA_FEEDER_PATHWAY","0.298241418243962"
"2","BIOCARTA_PROTEASOME_PATHWAY","0.360778292449578"
"3","BIOCARTA_KREB_PATHWAY","0.285465328182575"
"4","ST_INTERFERON_GAMMA_PATHWAY","0.286599290824828"
"5","ST_WNT_CA2_CYCLIC_GMP_PATHWAY","0.422719577610224"
"6","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","1.12257545379625"
"7","ST_TUMOR_NECROSIS_FACTOR_PATHWAY","0.652405014691971"
"8","ST_ERK1_ERK2_MAPK_PATHWAY","0.436369218004105"
"9","ST_GA12_PATHWAY","0.370834779507812"
"10","ST_G_ALPHA_S_PATHWAY","0.328571584686779"
"11","ST_G_ALPHA_I_PATHWAY","0.628286697809827"
"12","ST_IL_13_PATHWAY","0.276470535498518"
"13","ST_P38_MAPK_PATHWAY","0.515212733003375"
"14","ST_JAK_STAT_PATHWAY","0.264088633034781"
"15","ST_GRANULE_CELL_SURVIVAL_PATHWAY","0.627218555270355"
"16","ST_ADRENERGIC","1.34691612289183"
"17","ST_INTEGRIN_SIGNALING_PATHWAY","0.569128433479144"
"18","ST_GAQ_PATHWAY","0.616128675327312"
"19","ST_GA13_PATHWAY","0.404574676665963"
"20","ST_STAT3_PATHWAY","0.240270833596236"
"21","ST_T_CELL_SIGNAL_TRANSDUCTION","0.852832784280804"
"22","ST_TYPE_I_INTERFERON_PATHWAY","0.314571149647233"
"23","ST_PAC1_RECEPTOR_PATHWAY","0.294290688088878"
"24","ST_B_CELL_ANTIGEN_RECEPTOR","0.622760060766472"
"25","ST_INTERLEUKIN_4_PATHWAY","0.400135954320858"
"26","ST_WNT_BETA_CATENIN_PATHWAY","0.483209162194648"
"27","ST_JNK_MAPK_PATHWAY","0.412283161869768"
"28","ST_FAS_SIGNALING_PATHWAY","0.818687650160727"
"29","ST_MYOCYTE_AD_PATHWAY","0.468709518161639"
"30","ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","0.368943778214104"
"31","REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND","0.288679109629891"
"32","BIOCARTA_RELA_PATHWAY","0.343612036593511"
"33","BIOCARTA_NO1_PATHWAY","0.679253908115608"
"34","BIOCARTA_CSK_PATHWAY","0.387327483132926"
"35","BIOCARTA_SRCRPTP_PATHWAY","0.279376451466029"
"36","BIOCARTA_AMI_PATHWAY","0.432466081358861"
"37","BIOCARTA_GRANULOCYTES_PATHWAY","0.405017206476853"
"38","BIOCARTA_LYM_PATHWAY","0.387280865781945"
"39","BIOCARTA_ARAP_PATHWAY","0.396642529320051"
"40","BIOCARTA_AGR_PATHWAY","0.662037760617593"
"41","BIOCARTA_AKAP95_PATHWAY","0.298479303268884"
"42","BIOCARTA_AKT_PATHWAY","0.374910329699759"
"43","BIOCARTA_ALK_PATHWAY","0.417824736550795"
"44","BIOCARTA_AT1R_PATHWAY","0.453401035606072"
"45","BIOCARTA_ACE2_PATHWAY","0.277078705330909"
"46","BIOCARTA_ASBCELL_PATHWAY","0.267073743506461"
"47","BIOCARTA_DNAFRAGMENT_PATHWAY","0.282489212626379"
"48","BIOCARTA_CHEMICAL_PATHWAY","0.356722983241932"
"49","BIOCARTA_SPPA_PATHWAY","0.312555853163394"
"50","BIOCARTA_ATM_PATHWAY","0.357283679084385"
"51","BIOCARTA_AGPCR_PATHWAY","0.252519568296872"
"52","BIOCARTA_BCELLSURVIVAL_PATHWAY","0.342056198297951"
"53","BIOCARTA_BLYMPHOCYTE_PATHWAY","0.313526987003173"
"54","BIOCARTA_BCR_PATHWAY","0.401495148502909"
"55","BIOCARTA_BIOPEPTIDES_PATHWAY","0.622126250447838"
"56","BIOCARTA_RANKL_PATHWAY","0.320022732363924"
"57","BIOCARTA_CACAM_PATHWAY","0.227260159674478"
"58","BIOCARTA_CDMAC_PATHWAY","0.359749479523902"
"59","BIOCARTA_CARM_ER_PATHWAY","0.286763704760319"
"60","BIOCARTA_CASPASE_PATHWAY","0.41485720059766"
"61","BIOCARTA_CBL_PATHWAY","0.317813891501997"
"62","BIOCARTA_CCR3_PATHWAY","0.36395560519672"
"63","BIOCARTA_CD40_PATHWAY","0.277200571925361"
