"","genes","estimate","p","p.adj"
"1","1-Mar",-0.373555109473149,0.209,0.799799752781211
"2","10-Sep",0.359850482703443,0.498,0.878264136996427
"3","11-Sep",-0.698807765364077,0.163,0.794227212681638
"4","2-Mar",-0.309227333151256,0.595,0.907460579586618
"5","2-Sep",1.23823799815399,0.104,0.78961743772242
"6","3-Mar",1.68280077006391,0.0178,0.730920038535645
"7","3-Sep",-0.434708133747036,0.678,0.930488703810071
"8","5-Mar",-0.767123597520507,0.152,0.792093192573717
"9","5-Sep",1.03595268745835,0.103,0.78961743772242
"10","6-Mar",1.01682267724329,0.218,0.799799752781211
"11","6-Sep",0.62928668898022,0.468,0.872120682964688
"12","7-Mar",-0.115615474500894,0.884,0.975797196333667
"13","7-Sep",0.230274721737937,0.699,0.936407812353986
"14","8-Mar",-0.524908884066221,0.414,0.852083333333333
"15","8-Sep",0.331289112253392,0.495,0.877873392680514
"16","9-Mar",0.659382880044318,0.252,0.819672801635992
"17","9-Sep",0.887828496794714,0.178,0.797609970674487
"18","A1BG",0.61075701970619,0.523,0.887370510845087
"19","A2M",0.923400351743353,0.321,0.829708429051069
"20","A2ML1",-1.5840566416649,0.169,0.795539296284117
"21","A4GALT",-0.611029290162269,0.333,0.831370196487567
"22","AAAS",-0.654740696239422,0.214,0.799799752781211
"23","AACS",-0.474681429951578,0.177,0.797530689329556
"24","AADAT",-0.942350866597775,0.0599,0.774334519572954
"25","AAED1",-0.072147968950323,0.931,0.985088698351689
"26","AAGAB",0.606681062348473,0.125,0.790011037527594
"27","AAK1",-0.0632126490095981,0.856,0.969817174515236
"28","AAMDC",0.606824531401736,0.44,0.860582046727695
"29","AAMP",0.504676497280691,0.132,0.79117538688283
"30","AAR2",0.61138171260067,0.365,0.838849452120057
"31","AARD",0.0783078894639863,0.791,0.953295407010792
"32","AARS",0.375817197152693,0.427,0.857534371492705
"33","AARS2",0.405874531211523,0.561,0.89959840932004
"34","AARSD1",-0.309530696016927,0.587,0.904944819457838
"35","AASDH",-0.700417039341347,0.289,0.827964478333643
"36","AASDHPPT",-1.09629336976925,0.124,0.78961743772242
"37","AASS",0.805652741901072,0.224,0.799799752781211
"38","AATF",-0.973571173977902,0.327,0.829708429051069
"39","AATK",0.751990415113863,0.23,0.801472736124635
"40","ABAT",1.5929197296852,0.0414,0.765429305912596
"41","ABCA1",-1.21871933847666,0.24,0.807236842105263
"42","ABCA10",-0.273250409795767,0.631,0.917813509693053
"43","ABCA12",-0.361452194069931,0.426,0.856246840775063
"44","ABCA13",0.687206632509204,0.364,0.838849452120057
"45","ABCA2",1.00893695747758,0.298,0.827964478333643
"46","ABCA3",-0.21850458640888,0.775,0.94959556620731
"47","ABCA4",-1.90226168885823,0.107,0.78961743772242
"48","ABCA5",-0.752003459982241,0.268,0.823619579218549
"49","ABCA6",-0.11738450281876,0.812,0.957473879062114
"50","ABCA7",0.594139964526011,0.215,0.799799752781211
"51","ABCB10",-1.07989570232404,0.132,0.79117538688283
"52","ABCB6",0.336474753136207,0.464,0.869848088004191
"53","ABCB7",1.09229876682122,0.172,0.79579185520362
"54","ABCB8",0.0547798342130469,0.909,0.980331878386514
"55","ABCB9",0.251425213059258,0.626,0.917721583392694
"56","ABCC1",-0.649011537675729,0.277,0.825639367816092
"57","ABCC10",-0.062233848730802,0.913,0.98075904247336
"58","ABCC11",-0.508722917169925,0.451,0.866182061579652
"59","ABCC2",-1.29125596321653,0.317,0.828913595933926
"60","ABCC3",0.0910784830229355,0.871,0.971283399548181
"61","ABCC4",-0.863008085960536,0.249,0.814728
"62","ABCC5",-0.455826507304483,0.171,0.79579185520362
"63","ABCC6",0.661710464373494,0.347,0.835121889710827
"64","ABCC9",-0.710430489503421,0.502,0.878960571289062
"65","ABCD1",0.737683513516993,0.258,0.820705622932745
"66","ABCD3",0.500384939368196,0.133,0.79117538688283
"67","ABCD4",-0.361549908937682,0.601,0.910211066440965
"68","ABCE1",-0.835978015785302,0.248,0.813501374885426
"69","ABCF1",0.351050635446746,0.749,0.94574711122872
"70","ABCF2",-0.984973342401751,0.0374,0.765429305912596
"71","ABCF3",-0.879023836088543,0.137,0.79117538688283
"72","ABCG1",0.00475452490040656,0.995,0.998137701471619
"73","ABCG2",0.130500791795452,0.912,0.98075904247336
"74","ABHD1",0.614827408721399,0.317,0.828913595933926
"75","ABHD10",-0.447679243356763,0.297,0.827964478333643
"76","ABHD11",-0.602702175455924,0.305,0.827964478333643
"77","ABHD12",-1.04393331206497,0.265,0.823483996539792
"78","ABHD13",-1.69178412472006,0.0153,0.730920038535645
"79","ABHD14A",1.20702756145185,0.207,0.799799752781211
"80","ABHD14B",0.288146693402936,0.613,0.913977189876054
"81","ABHD15",0.014052418898253,0.986,0.996863479059256
"82","ABHD16A",0.146272159632071,0.853,0.968180700919759
"83","ABHD16B",1.19852725939525,0.121,0.78961743772242
"84","ABHD17A",0.874980729312392,0.117,0.78961743772242
"85","ABHD17B",-0.0874563696512069,0.884,0.975797196333667
"86","ABHD17C",-0.773210562049924,0.538,0.894479674796748
"87","ABHD18",-0.62997626398089,0.329,0.830254950061328
"88","ABHD2",0.847723409830847,0.147,0.79117538688283
"89","ABHD3",-0.2842543698378,0.634,0.917813509693053
"90","ABHD4",0.211847988115234,0.844,0.966239603326935
"91","ABHD5",0.0757683086816371,0.834,0.962954508791741
"92","ABHD6",-0.246365457106039,0.722,0.939072324186807
"93","ABHD8",0.005094938635268,0.991,0.997480312192378
"94","ABI1",-0.575148475797607,0.229,0.800521367521368
"95","ABI2",-0.471843377636034,0.222,0.799799752781211
"96","ABL1",0.351723904692161,0.491,0.877873392680514
"97","ABL2",-0.713937968855582,0.339,0.833907099184783
"98","ABLIM1",-0.50785440597422,0.165,0.794227212681638
"99","ABLIM2",-0.583167134937466,0.455,0.868096094895375
"100","ABLIM3",0.808901561641547,0.159,0.794227212681638
"101","ABR",-0.817456757097685,0.328,0.829708429051069
"102","ABRACL",-0.0867154919238485,0.907,0.980050196256039
"103","ABRAXAS1",-1.33436459551239,0.0199,0.730920038535645
"104","ABRAXAS2",-0.798263953012781,0.371,0.839007405073263
"105","ABT1",-0.613429934301489,0.462,0.869629191321499
"106","ABTB1",-0.6985711010895,0.271,0.823994265080714
"107","ABTB2",0.989525666884332,0.173,0.796283185840708
"108","ACAA1",1.2435853108335,0.0433,0.767252306273063
"109","ACAA2",-0.147546438540652,0.689,0.933911087965155
"110","ACACA",-0.69045171164675,0.362,0.838849452120057
"111","ACACB",0.371433447905003,0.212,0.799799752781211
"112","ACAD10",-0.585277062283884,0.323,0.829708429051069
"113","ACAD11",-0.289059261795747,0.471,0.872120682964688
"114","ACAD8",1.07431436146794,0.207,0.799799752781211
"115","ACAD9",-0.509738243882239,0.482,0.875612944162437
"116","ACADL",-0.442788737286511,0.484,0.876281080398839
"117","ACADM",-0.523622494382929,0.375,0.839446168166305
"118","ACADS",-0.490753350715946,0.312,0.828777138615699
"119","ACADSB",-0.86258533405732,0.291,0.827964478333643
"120","ACADVL",-0.347529203935237,0.157,0.794227212681638
"121","ACAP2",0.537439037643485,0.254,0.820029318899414
"122","ACAP3",0.458773999094414,0.445,0.863469028942386
"123","ACAT1",-0.216758323464614,0.802,0.954333333333333
"124","ACAT2",0.373538924150502,0.539,0.8946875
"125","ACBD3",0.329045278091626,0.708,0.938623416258208
"126","ACBD4",0.977829606941695,0.137,0.79117538688283
"127","ACBD5",-0.319881353162734,0.0811,0.78961743772242
"128","ACBD6",-0.458642921829934,0.475,0.873763171421229
"129","ACBD7",0.858824006880283,0.0489,0.767252306273063
"130","ACCS",-0.247014503746977,0.721,0.938880651323569
"131","ACD",0.368652856817893,0.266,0.823483996539792
