depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_5,lineage_6,lineage_4,DOXORUBICIN (GDSC1:133),PEVONEDISTAT (GDSC1:1529)
ACH-002089,201T,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.4226106126490403,
ACH-001002,451LU,Skin,Melanoma,Cutaneous Melanoma,,,,0.6813992522162331,
ACH-000973,639V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,Bladder Transitional Cell,,,0.350722224958834,0.7670492160316076
ACH-000757,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.3781062805163477,
ACH-002209,ALLPO,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.5698373964290973,0.9364015693573556
ACH-002210,ARH77,Myeloid,Non-Cancerous,Immortalized Blood,,,,0.6774536938004303,0.8455212563123221
ACH-002211,BALL1,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,,0.9797047280005414
ACH-002212,BB30HNC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,,,,0.4341241450619939,
ACH-002213,BB49HNC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,,0.9466202581036548
ACH-002090,BB65RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.6150247995621329,0.7100917894709229
ACH-002216,BE13,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,0.4492622479422339,
ACH-002217,BE2M17,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.8836141512265239,0.9757642665925534
ACH-001016,BECKER,CNS/Brain,Diffuse Glioma,Astrocytoma,,,,0.8439751433945099,0.7844911357477731
ACH-001331,BICR10,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.93146860822831,
ACH-000245,BL41,Lymphoid,Non-Hodgkin Lymphoma,Burkitt Lymphoma,B-cell Burkitt,,,0.6532241318242138,0.8217173166275686
ACH-001453,BPH1,Prostate,Non-Cancerous,"Hyperplasia, Prostate",,,,0.4648309727126526,0.8765613522583118
ACH-000818,BT483,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ERpos HER2neg,Luminal,,0.93764320962213,
ACH-001021,C3A,Liver,Hepatoblastoma,Hepatoblastoma,,,,0.8344678748569205,0.9656089220669272
ACH-002091,CAL39,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,,,,0.6577578504523152,0.8341044796073123
ACH-000857,CAL851,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ERneg HER2neg,Basal A,,0.4851753050222194,0.8977432424335765
ACH-000963,CCK81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,MSI,,0.9353095470253,
