"","Overall","importance","pvalue"
"ZBTB2",56.4442403163504,2.13066967592592e-05,0.00236266981689304
"EFHD2",46.633202167187,1.3144650793651e-05,0.0100413467217956
"STAT5B",47.7708297906388,1.40910714285714e-05,0.00886001181334906
"UST",30.0622409162536,-6.41142857142674e-07,0.771411695215594
"AHI1",30.8329149674652,0,0.722976963969285
"ZNF26",30.5123731755171,-2.66666666666859e-07,0.743059657412876
"KANSL1L",29.3584227245052,-1.22666666666649e-06,0.812167749556999
"RCC2",29.75749725548,-8.9466666666671e-07,0.787359716479622
"HIST1H4F",45.5710258839882,1.22610000000001e-05,0.0106320141760189
"ZNF84",41.9684591126331,9.26393535353554e-06,0.0224453632604843
"HBS1L",56.8375356346357,2.1633888888889e-05,0.00177200236266983
"D2HGDH",30.8329149674652,0,0.722976963969285
"KPNA5",62.2737908669914,2.61564444444444e-05,0
"MED28",30.8329149674652,0,0.722976963969285
"PKNOX1",30.8329149674652,0,0.722976963969285
"LRRC46",30.8329149674652,0,0.722976963969285
"PNKP",30.8329149674652,0,0.722976963969285
"CLASRP",32.9252515144045,1.74066666666639e-06,0.161252215002953
"FBXO30",26.0095241933927,-4.01269841269825e-06,0.907265209686946
"SHF",28.982747744342,-1.53920000000007e-06,0.830478440637921
"TOMM22",31.9868654184776,9.60000000000072e-07,0.206733608978145
"CCNL1",66.5478102154092,2.97121071428572e-05,0
"MED13L",30.8329149674652,0,0.722976963969285
"SF3A1",30.8329149674652,0,0.722976963969285
"TRAF3IP1",33.0867244420987,1.87500000000007e-06,0.155345540460721
"TMEM143",30.8329149674652,0,0.722976963969285
"MED25",56.6972986006584,2.15172222222222e-05,0.00177200236266983
"MAMDC2",30.8329149674652,0,0.722976963969285
"CTSE",30.4350615480785,-3.30984126984069e-07,0.749556999409333
"RFXANK",30.8329149674652,0,0.722976963969285
"ARID1B",33.194406450331,1.96458333333327e-06,0.151210868281158
"TBX4",24.3964357851521,-5.35466666666662e-06,0.934435912581217
"NR4A2",25.4104163203471,-4.51111111111113e-06,0.918487891317188
"PLAGL2",43.5521277511681,1.05814285714287e-05,0.0177200236266982
"CASZ1",30.8329149674652,0,0.722976963969285
"METTL25",30.8329149674652,0,0.722976963969285
"EFNB1",34.7725739291247,3.27750000000027e-06,0.111636148848199
"ZER1",53.8475485111619,1.91464444444445e-05,0.00413467217956287
"ZNF10",30.8329149674652,0,0.722976963969285
"REEP6",30.8329149674652,0,0.722976963969285
"TSC1",28.8028169517951,-1.68888888888907e-06,0.835203780271707
"MYO1F",25.9857888368936,-4.03244444444439e-06,0.90785587714117
"USE1",34.3515896381655,2.92727272727267e-06,0.122858830478441
"RABL6",35.7781485897234,4.11406250000002e-06,0.0903721204961606
"SLC39A12",13.6682454462912,-1.42797142857143e-05,0.991730655640874
"CDKN1B",35.468910904407,3.85679999999988e-06,0.0980507974010632
"AGBL5",30.8329149674652,0,0.722976963969285
"MEGF6",30.8329149674652,0,0.722976963969285
"RPSA",29.0355019114451,-1.4953124999999e-06,0.828706438275251
"AMOT",31.824591136304,8.25000000000076e-07,0.217956290608388
"SLC25A36",46.3491410839415,1.29083333333333e-05,0.0100413467217956
"CIR1",39.8349305170811,7.48900000000008e-06,0.0366213821618429
"WIZ",68.344318170164,3.12066666666666e-05,0
"CHD4",21.580102177466,-7.69764444444454e-06,0.965150620200827
"MIEF1",30.8329149674652,0,0.722976963969285
"ZC3H4",30.8329149674652,0,0.722976963969285
"FBXO42",33.614759804727,2.31428571428571e-06,0.135853514471353
"C2orf49",61.5232333572072,2.55320370370373e-05,0.000590667454223315
"MAP2K5",30.8329149674652,0,0.722976963969285
"BBS1",48.1364435321086,1.43952345679013e-05,0.00826934435912585
"SNRPA1",30.8329149674652,0,0.722976963969285
"SPEN",35.4058109170715,3.80430555555566e-06,0.0992321323095098
"ACIN1",30.8329149674652,0,0.722976963969285
"SUMO4",44.4759749872461,1.135e-05,0.0147666863555818
"DMAP1",46.7157607584818,1.32133333333333e-05,0.0100413467217956
"CCNT2",31.1574635318124,2.69999999999992e-07,0.256940342587124
"ZNF219",39.8244387093538,7.48027160493825e-06,0.0366213821618429
"C1orf53",30.8329149674652,0,0.722976963969285
"PSMD11",31.9025562492413,8.89861111111223e-07,0.213230950974601
"ING5",24.5234504702113,-5.24900000000006e-06,0.93325457767277
"TAF11",30.8329149674652,0,0.722976963969285
"YPEL1",34.5832539332552,3.12000000000001e-06,0.117542823390431
"EPC2",42.7998085335187,9.9555555555555e-06,0.0194920259893679
"DNMT3A",37.8672045917613,5.85200000000019e-06,0.0567040756054341
"FBLN7",26.0292957071966,-3.99624999999992e-06,0.904902539870053
"DDX49",30.8329149674652,0,0.722976963969285
"SLC12A6",17.8950468899693,-1.07633333333335e-05,0.983461311281748
"ADAD2",32.2066655043846,1.14285714285711e-06,0.19314825753101
"DCAF15",30.8329149674652,0,0.722976963969285
"HIST1H3H",28.2103003060734,-2.18181818181828e-06,0.859421145894861
"APOM",36.2600881823823,4.51499999999982e-06,0.0815121086828116
"VAV2",31.3885207401747,4.62222222222142e-07,0.242173656231542
"KRT33A",30.2694625988071,-4.68749999999796e-07,0.759007678676905
"COL9A2",30.8329149674652,0,0.722976963969285
"SIRT1",36.5545859537344,4.75999999999988e-06,0.0761961015948022
"CRIPT",34.5979454320527,3.13222222222209e-06,0.116952155936208
"ZNF44",29.9284147181151,-7.52476190476248e-07,0.77790903721205
"CROCC",30.8329149674652,0,0.722976963969285
"CTR9",36.8731243594828,5.02500000000006e-06,0.0708800945067927
"KCNMB4",38.8871952855551,6.70055555555549e-06,0.0460720614294152
"NINL",42.8463634128254,9.99428571428562e-06,0.0194920259893679
"IRF2BP1",31.4339308273674,4.99999999999945e-07,0.238038984051979
"CBFA2T2",29.7558945465203,-8.96000000000008e-07,0.788541051388069
"SPICE1",43.5938172639897,1.06161111111112e-05,0.0171293561724749
"XRN1",31.4098901929711,4.79999999999814e-07,0.240401653868872
"KEL",30.2414529181153,-4.92051948051797e-07,0.761370348493798
"ADORA2B",43.2018213642536,1.02900000000001e-05,0.0177200236266982
"ANAPC2",30.8493063090988,1.36363636362713e-08,0.275841701122268
"MEPCE",28.3279402229836,-2.08395061728406e-06,0.854695806261075
"PNISR",43.7574398568755,1.07522328042329e-05,0.0171293561724749
"GNG5",25.144557431716,-4.73228571428574e-06,0.923213230950975
"SIAH2",30.8329149674652,0,0.722976963969285
"HYI",35.6109910536878,3.97499999999984e-06,0.0956881275841701
"TAB1",30.8329149674652,0,0.722976963969285
"MAU2",30.8329149674652,0,0.722976963969285
"HOXB7",46.057848730509,1.26660000000001e-05,0.0106320141760189
"LIG1",31.7344387573186,7.50000000000028e-07,0.222681630242174
"SYDE1",35.9020544486979,4.21714285714292e-06,0.0880094506792676
"AKAP8",33.1999928156955,1.96923076923072e-06,0.150620200826934
"MLX",38.8674137018207,6.68409876543219e-06,0.0466627288836385
"MTOR",30.8329149674652,0,0.722976963969285
"KIF3C",30.8329149674652,0,0.722976963969285
"SNIP1",30.8329149674652,0,0.722976963969285
"CCR7",47.5331423279489,1.38933333333333e-05,0.00945067926757237
"SRRM1",45.1706412020381,1.19279100529102e-05,0.0106320141760189
"SLCO2A1",41.9667337721542,9.26249999999995e-06,0.0224453632604843
"N4BP2",30.8329149674652,0,0.722976963969285
"CCDC9",30.8329149674652,0,0.722976963969285
"SURF6",30.8329149674652,0,0.722976963969285
"NAGLU",30.8329149674652,0,0.722976963969285
"DRD4",46.1065532750078,1.27065185185187e-05,0.0106320141760189
"FAM160A2",30.8329149674652,0,0.722976963969285
"ATN1",33.2904020390653,2.04444444444429e-06,0.147666863555818
"TVP23B",31.0983235711982,2.20800000000132e-07,0.26166568222091
"SUZ12",30.8329149674652,0,0.722976963969285
"SF3A3",43.9222807788687,1.08893680555555e-05,0.0165386887182516
"FBXL13",36.2465223958304,4.50371428571428e-06,0.0826934435912581
"PARP16",44.527662351198,1.13930000000002e-05,0.0141760189013586
"PRDM15",30.8329149674652,0,0.722976963969285
"ZKSCAN1",30.8329149674652,0,0.722976963969285
"MEAF6",32.996572063113,1.7999999999998e-06,0.15888954518606
"CLCN5",37.5874984885168,5.61930555555579e-06,0.0608387477849971
"TMC8",34.2628032043165,2.85340909090914e-06,0.123449497932664
"HHEX",30.2920006935531,-4.50000000000061e-07,0.757235676314235
"SREK1",27.2428468976491,-2.98666666666669e-06,0.878322504430006
"ACE",30.8329149674652,0,0.722976963969285
"PER2",32.8082537603438,1.64333333333322e-06,0.167158889545186
"ZBTB17",29.5216076367694,-1.09090909090903e-06,0.80153573538098
"BICD1",30.8329149674652,0,0.722976963969285
"PCDHB6",29.2428199208346,-1.32283950617307e-06,0.817483756645009
"LGI4",35.2864424893409,3.70500000000007e-06,0.10100413467218
"PRPF38A",64.4342091549503,2.79537500000002e-05,0
"PITPNM2",25.4261762917847,-4.49799999999989e-06,0.917306556408742
"RPRD2",29.2702737317192,-1.30000000000008e-06,0.814530419373892
"C19orf44",53.7405342983292,1.90574166666666e-05,0.00413467217956287
"RAC2",34.0955724926487,2.71428571428567e-06,0.126993502658004
"SCAF1",28.1350215519042,-2.24444444444427e-06,0.861783815711754
"PLA2G6",34.5234385452938,3.07023809523832e-06,0.121677495569994
"BCL11A",30.8329149674652,0,0.722976963969285
"ISY1",27.1400064060659,-3.07222222222214e-06,0.878913171884229
"SHPRH",37.0434121864549,5.16666666666654e-06,0.0685174246898996
"NDOR1",31.7483823252682,7.61599999999918e-07,0.22209096278795
"G6PC3",30.8329149674652,0,0.722976963969285
"ACOX2",30.8329149674652,0,0.722976963969285
"ULK1",30.4241756157935,-3.40040404040343e-07,0.750738334317779
"TRMT11",46.4578963347808,1.29988095238094e-05,0.0100413467217956
"MED23",28.7226815038085,-1.75555555555551e-06,0.839929119905493
"IFT172",29.6542370067884,-9.80571428571331e-07,0.795038393384525
"STX16",50.0233513741439,1.5965e-05,0.00472533963378619
"NAB1",31.0252400426341,1.6000000000016e-07,0.264619019492026
"C11orf84",33.0733685341008,1.86388888888889e-06,0.156526875369167
"CHST14",31.6442863783335,6.75000000000203e-07,0.22740696987596
"CNOT3",33.637655647009,2.3333333333333e-06,0.135262847017129
"FAM227A",25.1053673816767,-4.76488888888893e-06,0.924394565859421
"LRFN4",30.8329149674652,0,0.722976963969285
"CRLF3",30.8329149674652,0,0.722976963969285
"SYMPK",30.8329149674652,0,0.722976963969285
"DNAJB4",40.063182984764,7.67888888888901e-06,0.0366213821618429
"CAMK1",30.8329149674652,0,0.722976963969285
"FAM193A",30.8329149674652,0,0.722976963969285
"CTTNBP2NL",66.0581683183074,2.93047619047619e-05,0
"DDA1",30.8329149674652,0,0.722976963969285
"PARS2",30.8329149674652,0,0.722976963969285
"DHX34",30.9674280408721,1.11904761904924e-07,0.268753691671589
"C3orf58",33.6076048540139,2.30833333333336e-06,0.135853514471353
"ZNF180",33.2744417290082,2.03116666666681e-06,0.148257531010041
"FNBP4",31.153456759413,2.66666666666637e-07,0.25812167749557
"ALX3",28.7808751029417,-1.70714285714291e-06,0.836975782634377
"C1orf109",36.471712544608,4.69105555555549e-06,0.0785587714116952
"MRI1",30.8329149674652,0,0.722976963969285
